"FacultyI","FacultyJ","XDIndicator"
"--nVNvIAAAAJ","VuvKPiQAAAAJ",1
"mAbA6EoAAAAJ","-0nYQVIAAAAJ",0
"mAbA6EoAAAAJ","8vsRBCgAAAAJ",0
"-0nYQVIAAAAJ","8vsRBCgAAAAJ",0
"-0nYQVIAAAAJ","5NAFTkAAAAAJ",0
"u-w6khsAAAAJ","nzTXeNsAAAAJ",0
"u-w6khsAAAAJ","jv-19EoAAAAJ",0
"u-w6khsAAAAJ","-0nYQVIAAAAJ",0
"nzTXeNsAAAAJ","jv-19EoAAAAJ",0
"nzTXeNsAAAAJ","-0nYQVIAAAAJ",0
"jv-19EoAAAAJ","-0nYQVIAAAAJ",0
"-234SKAAAAAJ","RKvl6OoAAAAJ",0
"-234SKAAAAAJ","8iofTEAAAAAJ",0
"YadECXsAAAAJ","-31-oa0AAAAJ",0
"Fz-5bdcAAAAJ","-31-oa0AAAAJ",0
"Fz-5bdcAAAAJ","H15F-wYAAAAJ",0
"-31-oa0AAAAJ","H15F-wYAAAAJ",0
"UjpbO6IAAAAJ","-6cOYcYAAAAJ",1
"Db4BCX8AAAAJ","-6cOYcYAAAAJ",1
"-6cOYcYAAAAJ","wCxzFrMAAAAJ",1
"Db4BCX8AAAAJ","-6cOYcYAAAAJ",1
"-aQaHIoAAAAJ","0vsEnW8AAAAJ",0
"-cwEbxUAAAAJ","qDkQrKwAAAAJ",2
"2X5Wru0AAAAJ","-cwEbxUAAAAJ",2
"-D2TBHUAAAAJ","zwr9wPEAAAAJ",0
"Y2HTFXAAAAAJ","-D2TBHUAAAAJ",2
"Y2HTFXAAAAAJ","PogsVkYAAAAJ",1
"-D2TBHUAAAAJ","PogsVkYAAAAJ",2
"-DEyRIgAAAAJ","izDottUAAAAJ",0
"-DEyRIgAAAAJ","ICe2FxkAAAAJ",0
"-DfTtxgAAAAJ","XrIr0nYAAAAJ",1
"-DfTtxgAAAAJ","t_DFZvgAAAAJ",1
"XrIr0nYAAAAJ","t_DFZvgAAAAJ",1
"-DfTtxgAAAAJ","XrIr0nYAAAAJ",1
"f0NoTC0AAAAJ","-DfTtxgAAAAJ",1
"f0NoTC0AAAAJ","2eM6GocAAAAJ",1
"f0NoTC0AAAAJ","XrIr0nYAAAAJ",1
"-DfTtxgAAAAJ","2eM6GocAAAAJ",1
"-DfTtxgAAAAJ","XrIr0nYAAAAJ",1
"2eM6GocAAAAJ","XrIr0nYAAAAJ",1
"-DfTtxgAAAAJ","XrIr0nYAAAAJ",1
"-DfTtxgAAAAJ","XrIr0nYAAAAJ",1
"KzmHyt8AAAAJ","-DfTtxgAAAAJ",1
"KzmHyt8AAAAJ","XrIr0nYAAAAJ",1
"-DfTtxgAAAAJ","XrIr0nYAAAAJ",1
"c8mdOEgAAAAJ","-Dg42W8AAAAJ",0
"QH90248AAAAJ","-E5k6m4AAAAJ",1
"QH90248AAAAJ","xe0eVksAAAAJ",1
"-E5k6m4AAAAJ","xe0eVksAAAAJ",1
"-had2Q8AAAAJ","SxRtS5sAAAAJ",0
"-HwCwkAAAAAJ","kiV7yTQAAAAJ",0
"-HwCwkAAAAAJ","kiV7yTQAAAAJ",0
"Kh9REfEAAAAJ","0oj4N0sAAAAJ",0
"Kh9REfEAAAAJ","-iLn_XwAAAAJ",0
"Kh9REfEAAAAJ","G4Np3c0AAAAJ",0
"0oj4N0sAAAAJ","-iLn_XwAAAAJ",0
"0oj4N0sAAAAJ","G4Np3c0AAAAJ",0
"-iLn_XwAAAAJ","G4Np3c0AAAAJ",0
"-iLn_XwAAAAJ","OZMQ0J0AAAAJ",0
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"-jW6ADwAAAAJ","hwc6A1MAAAAJ",1
"-jW6ADwAAAAJ","hTyZBhMAAAAJ",1
"hwc6A1MAAAAJ","hTyZBhMAAAAJ",1
"-m5wrTkAAAAJ","5TzQdR4AAAAJ",1
"WfGLzyAAAAAJ","-o3I0zUAAAAJ",0
"zuuO2YMAAAAJ","-o3I0zUAAAAJ",0
"zuuO2YMAAAAJ","-o3I0zUAAAAJ",0
"PiddTHsAAAAJ","iRaegw8AAAAJ",0
"PiddTHsAAAAJ","xYLmV7YAAAAJ",0
"PiddTHsAAAAJ","-o3I0zUAAAAJ",0
"iRaegw8AAAAJ","xYLmV7YAAAAJ",0
"iRaegw8AAAAJ","-o3I0zUAAAAJ",0
"xYLmV7YAAAAJ","-o3I0zUAAAAJ",0
"-OdJO1UAAAAJ","8CRLlesAAAAJ",0
"-OdJO1UAAAAJ","6UTCD84AAAAJ",0
"gqB23VMAAAAJ","XGiiygQAAAAJ",1
"gqB23VMAAAAJ","-PWcE1YAAAAJ",1
"XGiiygQAAAAJ","-PWcE1YAAAAJ",1
"-PWcE1YAAAAJ","a8jIPIkAAAAJ",1
"rW1Bio0AAAAJ","-PWcE1YAAAAJ",1
"-PWYRzIAAAAJ","2rMImAgAAAAJ",0
"-PWYRzIAAAAJ","2rMImAgAAAAJ",0
"-PWYRzIAAAAJ","2rMImAgAAAAJ",0
"X0XWAGkAAAAJ","-pyztDMAAAAJ",1
"tu39-p8AAAAJ","-rcrelQAAAAJ",2
"LGp68QwAAAAJ","-S8_yskAAAAJ",0
"LGp68QwAAAAJ","lNFZCgwAAAAJ",0
"-S8_yskAAAAJ","lNFZCgwAAAAJ",0
"-teHhxwAAAAJ","K70yTUsAAAAJ",0
"-u5lh-0AAAAJ","Le4ScQcAAAAJ",0
"kBGGEjUAAAAJ","kWnv_YkAAAAJ",1
"kBGGEjUAAAAJ","-vC_l2kAAAAJ",1
"kWnv_YkAAAAJ","-vC_l2kAAAAJ",1
"5pKTRxEAAAAJ","-wT1eCwAAAAJ",1
"PJUjtoQAAAAJ","-XpZ4fgAAAAJ",1
"PJUjtoQAAAAJ","d1KEK84AAAAJ",1
"-XpZ4fgAAAAJ","d1KEK84AAAAJ",1
"h0gtwxIAAAAJ","-XpZ4fgAAAAJ",1
"-XpZ4fgAAAAJ","5wgTi1AAAAAJ",1
"h0gtwxIAAAAJ","-XpZ4fgAAAAJ",1
"PJUjtoQAAAAJ","-XpZ4fgAAAAJ",1
"PJUjtoQAAAAJ","d1KEK84AAAAJ",1
"-XpZ4fgAAAAJ","d1KEK84AAAAJ",1
"-XpZ4fgAAAAJ","5wgTi1AAAAAJ",1
"PJUjtoQAAAAJ","-XpZ4fgAAAAJ",1
"PJUjtoQAAAAJ","d1KEK84AAAAJ",1
"-XpZ4fgAAAAJ","d1KEK84AAAAJ",1
"zdnAkgsAAAAJ","-XpZ4fgAAAAJ",1
"-XpZ4fgAAAAJ","5wgTi1AAAAAJ",1
"-XpZ4fgAAAAJ","5wgTi1AAAAAJ",1
"p4urLfMAAAAJ","-XXZGEoAAAAJ",0
"p4urLfMAAAAJ","-XXZGEoAAAAJ",0
"neO3vFYAAAAJ","-yrzguMAAAAJ",1
"-ZqZyP0AAAAJ","Iiut4KYAAAAJ",1
"_h642WsAAAAJ","008lr2cAAAAJ",1
"Zc7YEbgAAAAJ","008lr2cAAAAJ",1
"_h642WsAAAAJ","008lr2cAAAAJ",1
"00H10pgAAAAJ","CwLbzcIAAAAJ",0
"00M1AqQAAAAJ","e4I7ihkAAAAJ",1
"U6OVPVMAAAAJ","00M1AqQAAAAJ",1
"00M1AqQAAAAJ","e4I7ihkAAAAJ",1
"U6OVPVMAAAAJ","00M1AqQAAAAJ",1
"01EOkNEAAAAJ","qRAMJHgAAAAJ",0
"jGboazkAAAAJ","01U4ahgAAAAJ",0
"jGboazkAAAAJ","rcs6IKwAAAAJ",2
"01U4ahgAAAAJ","rcs6IKwAAAAJ",2
"8Mv9l1oAAAAJ","05cijuQAAAAJ",0
"8Mv9l1oAAAAJ","PySbfcEAAAAJ",0
"05cijuQAAAAJ","PySbfcEAAAAJ",0
"05UuCNQAAAAJ","Jc7sf8YAAAAJ",0
"jRd24DQAAAAJ","05UuCNQAAAAJ",0
"06hgT8gAAAAJ","uy1OB3YAAAAJ",1
"UEI2g60AAAAJ","07ds-DAAAAAJ",1
"UEI2g60AAAAJ","07ds-DAAAAAJ",1
"UEI2g60AAAAJ","AH5j40kAAAAJ",1
"07ds-DAAAAAJ","AH5j40kAAAAJ",1
"07ds-DAAAAAJ","xYfYnG4AAAAJ",1
"07ds-DAAAAAJ","55B-xqUAAAAJ",1
"xYfYnG4AAAAJ","55B-xqUAAAAJ",1
"UEI2g60AAAAJ","07ds-DAAAAAJ",1
"UEI2g60AAAAJ","AH5j40kAAAAJ",1
"07ds-DAAAAAJ","AH5j40kAAAAJ",1
"07ds-DAAAAAJ","xYfYnG4AAAAJ",1
"UEI2g60AAAAJ","07ds-DAAAAAJ",1
"UEI2g60AAAAJ","07ds-DAAAAAJ",1
"UEI2g60AAAAJ","BFE6IQwAAAAJ",1
"UEI2g60AAAAJ","AH5j40kAAAAJ",1
"07ds-DAAAAAJ","BFE6IQwAAAAJ",1
"07ds-DAAAAAJ","AH5j40kAAAAJ",1
"BFE6IQwAAAAJ","AH5j40kAAAAJ",1
"UEI2g60AAAAJ","07ds-DAAAAAJ",1
"Z6EHuGcAAAAJ","07ds-DAAAAAJ",1
"Z6EHuGcAAAAJ","xYfYnG4AAAAJ",1
"07ds-DAAAAAJ","xYfYnG4AAAAJ",1
"07ds-DAAAAAJ","55B-xqUAAAAJ",1
"UEI2g60AAAAJ","07ds-DAAAAAJ",1
"UEI2g60AAAAJ","AH5j40kAAAAJ",1
"07ds-DAAAAAJ","AH5j40kAAAAJ",1
"07ds-DAAAAAJ","AH5j40kAAAAJ",1
"07ds-DAAAAAJ","55B-xqUAAAAJ",1
"AH5j40kAAAAJ","55B-xqUAAAAJ",1
"_17pBNsAAAAJ","099CBXIAAAAJ",0
"SfWhUQEAAAAJ","0ahvXiEAAAAJ",0
"SfWhUQEAAAAJ","0ahvXiEAAAAJ",0
"SfWhUQEAAAAJ","0ahvXiEAAAAJ",0
"0Bi5CMgAAAAJ","SDY9FwUAAAAJ",1
"FNXlCHUAAAAJ","0cy3s0AAAAAJ",0
"0dIBL4AAAAAJ","Yw2PquQAAAAJ",2
"8ZpV-lkAAAAJ","0DpK1EMAAAAJ",1
"nVksQusAAAAJ","0ESwQagAAAAJ",0
"55pOyCkAAAAJ","0fq5QeIAAAAJ",2
"55pOyCkAAAAJ","0fq5QeIAAAAJ",2
"0fVKnEcAAAAJ","A2t0N8AAAAAJ",0
"0iJRaawAAAAJ","KWiJaj8AAAAJ",1
"2FbkAzYAAAAJ","0irVeiQAAAAJ",1
"d_rxnzAAAAAJ","0irVeiQAAAAJ",1
"d_rxnzAAAAAJ","0irVeiQAAAAJ",1
"d_rxnzAAAAAJ","0irVeiQAAAAJ",1
"d_rxnzAAAAAJ","0irVeiQAAAAJ",1
"2FbkAzYAAAAJ","0irVeiQAAAAJ",1
"N_9p2rMAAAAJ","0j1TcuMAAAAJ",0
"0Kvq4bUAAAAJ","9OukeycAAAAJ",1
"0Kvq4bUAAAAJ","9OukeycAAAAJ",1
"8iQk0DIAAAAJ","0lcJYs8AAAAJ",1
"ahCv50cAAAAJ","0LS98DEAAAAJ",1
"0NdRYeoAAAAJ","_wlHRTUAAAAJ",0
"0NdRYeoAAAAJ","zZFIS2oAAAAJ",0
"0OdjAAkAAAAJ","q6CI9VcAAAAJ",0
"0OdjAAkAAAAJ","q6CI9VcAAAAJ",0
"0OdjAAkAAAAJ","q6CI9VcAAAAJ",0
"Kh9REfEAAAAJ","0oj4N0sAAAAJ",0
"Kh9REfEAAAAJ","-iLn_XwAAAAJ",0
"Kh9REfEAAAAJ","G4Np3c0AAAAJ",0
"0oj4N0sAAAAJ","-iLn_XwAAAAJ",0
"0oj4N0sAAAAJ","G4Np3c0AAAAJ",0
"-iLn_XwAAAAJ","G4Np3c0AAAAJ",0
"0oj4N0sAAAAJ","G4Np3c0AAAAJ",0
"q0nuNrEAAAAJ","BUJPA5QAAAAJ",1
"q0nuNrEAAAAJ","0pdiFKEAAAAJ",1
"BUJPA5QAAAAJ","0pdiFKEAAAAJ",1
"mah-B4IAAAAJ","0RMteS0AAAAJ",1
"mah-B4IAAAAJ","0RMteS0AAAAJ",1
"mah-B4IAAAAJ","0RMteS0AAAAJ",1
"mah-B4IAAAAJ","0RMteS0AAAAJ",1
"0tJWcp4AAAAJ","0cq9zpQAAAAJ",0
"Vj55OEUAAAAJ","0U8U6t0AAAAJ",2
"Vj55OEUAAAAJ","0U8U6t0AAAAJ",2
"0uj4niwAAAAJ","_OtwyTsAAAAJ",0
"0uj4niwAAAAJ","eT0-xbEAAAAJ",0
