"FacultyI","FacultyJ","XDIndicator"
"-had2Q8AAAAJ","nwNHXf4AAAAJ",0
"Lb4-GKsAAAAJ","-UyfaYEAAAAJ",0
"Lb4-GKsAAAAJ","puOEoqoAAAAJ",0
"-UyfaYEAAAAJ","puOEoqoAAAAJ",0
"-YvgZDEAAAAJ","MTZaRW4AAAAJ",1
"-YvgZDEAAAAJ","MTZaRW4AAAAJ",1
"EBnjjY8AAAAJ","05UuCNQAAAAJ",0
"hmq4rGIAAAAJ","0RMteS0AAAAJ",1
"hmq4rGIAAAAJ","0RMteS0AAAAJ",1
"0VzUxIcAAAAJ","y2fSlecAAAAJ",1
"0VzUxIcAAAAJ","y2fSlecAAAAJ",1
"WYctQAQAAAAJ","0y6JDD4AAAAJ",1
"WYctQAQAAAAJ","0y6JDD4AAAAJ",1
"sc9YppcAAAAJ","1s3GeggAAAAJ",2
"1z3mv7EAAAAJ","qRAMJHgAAAAJ",0
"1z3mv7EAAAAJ","qRAMJHgAAAAJ",0
"ID4wZFwAAAAJ","2ftJYXMAAAAJ",1
"FJ-huxgAAAAJ","2i7uayYAAAAJ",1
"FJ-huxgAAAAJ","2i7uayYAAAAJ",1
"2kXsgI4AAAAJ","Zc018qEAAAAJ",1
"VGoSakQAAAAJ","2oSSsLYAAAAJ",1
"q_n7d6EAAAAJ","2oy3OXYAAAAJ",1
"NhY4TT4AAAAJ","30fyS8EAAAAJ",1
"NhY4TT4AAAAJ","30fyS8EAAAAJ",1
"NhY4TT4AAAAJ","30fyS8EAAAAJ",1
"aiMWCUwAAAAJ","3xIRwTgAAAAJ",0
"aiMWCUwAAAAJ","3xIRwTgAAAAJ",0
"aiMWCUwAAAAJ","3xIRwTgAAAAJ",0
"3_WYcR4AAAAJ","CZyWk8kAAAAJ",1
"41m5j04AAAAJ","j7WSgbwAAAAJ",1
"41m5j04AAAAJ","j7WSgbwAAAAJ",1
"41m5j04AAAAJ","j7WSgbwAAAAJ",1
"4OOz4DcAAAAJ","QKDzX08AAAAJ",0
"uc8_eH0AAAAJ","4uiMIaEAAAAJ",2
"hKeWP2sAAAAJ","4veQB4cAAAAJ",0
"4XyoYbAAAAAJ","xfwOz_kAAAAJ",1
"4XyoYbAAAAAJ","xfwOz_kAAAAJ",1
"4XyoYbAAAAAJ","HKGYvu4AAAAJ",1
"xfwOz_kAAAAJ","HKGYvu4AAAAJ",1
"4XyoYbAAAAAJ","xfwOz_kAAAAJ",1
"4XyoYbAAAAAJ","vUDs6oEAAAAJ",2
"usw1MV0AAAAJ","54w2_AcAAAAJ",1
"56qcx4MAAAAJ","izMnGyMAAAAJ",1
"tp07xT0AAAAJ","5m-oAesAAAAJ",1
"628Jn7UAAAAJ","tI8OPH0AAAAJ",1
"KWiJaj8AAAAJ","6P4bGWAAAAAJ",1
"KWiJaj8AAAAJ","6P4bGWAAAAAJ",1
"KWiJaj8AAAAJ","6P4bGWAAAAAJ",1
"KWiJaj8AAAAJ","6P4bGWAAAAAJ",1
"KWiJaj8AAAAJ","6P4bGWAAAAAJ",1
"KWiJaj8AAAAJ","6P4bGWAAAAAJ",1
"6t7Zm4oAAAAJ","7cys8kgAAAAJ",0
"7btxQB0AAAAJ","u0BOuAsAAAAJ",1
"7btxQB0AAAAJ","u0BOuAsAAAAJ",1
"7btxQB0AAAAJ","u0BOuAsAAAAJ",1
"7btxQB0AAAAJ","u0BOuAsAAAAJ",1
"7btxQB0AAAAJ","u0BOuAsAAAAJ",1
"7btxQB0AAAAJ","u0BOuAsAAAAJ",1
"7btxQB0AAAAJ","u0BOuAsAAAAJ",1
"7eC3KMkAAAAJ","9HNdszIAAAAJ",1
"t-VqN7sAAAAJ","7K34d7cAAAAJ",1
"Wj4ZBFIAAAAJ","7lVfIWYAAAAJ",1
"tp07xT0AAAAJ","7lVfIWYAAAAJ",1
"tp07xT0AAAAJ","5m-oAesAAAAJ",1
"7lVfIWYAAAAJ","5m-oAesAAAAJ",1
"8ExiKC0AAAAJ","7vK1GRIAAAAJ",1
"85KkItgAAAAJ","9EJnQ4IAAAAJ",0
"8ExiKC0AAAAJ","7vK1GRIAAAAJ",1
"8fztli4AAAAJ","D_JpQnAAAAAJ",1
"8odG5jkAAAAJ","izMnGyMAAAAJ",1
"8odG5jkAAAAJ","izMnGyMAAAAJ",1
"8odG5jkAAAAJ","izMnGyMAAAAJ",1
"TUgQVOYAAAAJ","8v3hRYcAAAAJ",0
"l_K1pgUAAAAJ","9bAg9PwAAAAJ",0
"85KkItgAAAAJ","9EJnQ4IAAAAJ",0
"7eC3KMkAAAAJ","9HNdszIAAAAJ",1
"TOmDIqIAAAAJ","9MSpWOUAAAAJ",1
"9s9o-JcAAAAJ","CZyWk8kAAAAJ",1
"9s9o-JcAAAAJ","CZyWk8kAAAAJ",1
"9s9o-JcAAAAJ","CZyWk8kAAAAJ",1
"gg4kYgwAAAAJ","9VDFIQoAAAAJ",1
"gg4kYgwAAAAJ","9VDFIQoAAAAJ",1
"gg4kYgwAAAAJ","9VDFIQoAAAAJ",1
"_WxLkC8AAAAJ","A1NhsZgAAAAJ",0
"sAkg9T8AAAAJ","A2fiOI0AAAAJ",1
"a7LHl00AAAAJ","QgGaAdsAAAAJ",0
"pKuBFaQAAAAJ","a7VNhCIAAAAJ",1
"pKuBFaQAAAAJ","a7VNhCIAAAAJ",1
"pKuBFaQAAAAJ","a7VNhCIAAAAJ",1
"A9tBw58AAAAJ","I4iKZSkAAAAJ",1
"A9tBw58AAAAJ","I4iKZSkAAAAJ",1
"A9tBw58AAAAJ","I4iKZSkAAAAJ",1
"aiMWCUwAAAAJ","3xIRwTgAAAAJ",0
"aiMWCUwAAAAJ","3xIRwTgAAAAJ",0
"aiMWCUwAAAAJ","3xIRwTgAAAAJ",0
"AppFY_IAAAAJ","EBnjjY8AAAAJ",0
"cYmUpBQAAAAJ","ArqLh94AAAAJ",0
"cYmUpBQAAAAJ","ArqLh94AAAAJ",0
"ATOfqHEAAAAJ","vX45evgAAAAJ",1
"ATOfqHEAAAAJ","vX45evgAAAAJ",1
"aucB85kAAAAJ","LYt_4uIAAAAJ",1
"Py54GcEAAAAJ","axOnEnQAAAAJ",1
"aYoIn9UAAAAJ","vqCQtQEAAAAJ",0
"aYoIn9UAAAAJ","vqCQtQEAAAAJ",0
"b053OdAAAAAJ","VFMbBPgAAAAJ",1
"b053OdAAAAAJ","Q_4d9N0AAAAJ",1
"wtZwMSgAAAAJ","bAa___kAAAAJ",1
"bAipNH8AAAAJ","Uph176YAAAAJ",1
"xdGKgtcAAAAJ","BbzYzsgAAAAJ",1
"xdGKgtcAAAAJ","BbzYzsgAAAAJ",1
"LAPAOIUAAAAJ","uczqEdUAAAAJ",2
"LAPAOIUAAAAJ","BFNNvUYAAAAJ",0
"uczqEdUAAAAJ","BFNNvUYAAAAJ",2
"NjfTEZsAAAAJ","BMcwwBgAAAAJ",0
"orHlhhQAAAAJ","bRjJOrMAAAAJ",1
"bWL2gvUAAAAJ","NQLfHBIAAAAJ",0
"C1VwgssAAAAJ","fIoDWp8AAAAJ",1
"x8Cp75oAAAAJ","CfnktjkAAAAJ",0
"x8Cp75oAAAAJ","CfnktjkAAAAJ",0
"DQaARsgAAAAJ","CK_GLC8AAAAJ",1
"Z6nLCukAAAAJ","cl7CnNYAAAAJ",1
"VVPS_0UAAAAJ","CoxGqVsAAAAJ",0
"VVPS_0UAAAAJ","g5tssnkAAAAJ",0
"CoxGqVsAAAAJ","g5tssnkAAAAJ",0
"VVPS_0UAAAAJ","CoxGqVsAAAAJ",0
"oD0ISLcAAAAJ","CpBXPVoAAAAJ",1
"oD0ISLcAAAAJ","CpBXPVoAAAAJ",1
"7eC3KMkAAAAJ","CXAN0i0AAAAJ",1
"cYmUpBQAAAAJ","ArqLh94AAAAJ",0
"cYmUpBQAAAAJ","ArqLh94AAAAJ",0
"CZyWk8kAAAAJ","GUAoEcAAAAAJ",1
