"FacultyI","FacultyJ","XDIndicator"
"-234SKAAAAAJ","RKvl6OoAAAAJ",0
"-31-oa0AAAAJ","eMc-6hoAAAAJ",0
"YPzKczYAAAAJ","-6cOYcYAAAAJ",1
"-cwEbxUAAAAJ","Ws0GjboAAAAJ",1
"-cwEbxUAAAAJ","UT5I0hAAAAAJ",1
"Ws0GjboAAAAJ","UT5I0hAAAAAJ",1
"ujDhg2sAAAAJ","-D2TBHUAAAAJ",2
"ujDhg2sAAAAJ","-D2TBHUAAAAJ",2
"-DEyRIgAAAAJ","-had2Q8AAAAJ",0
"-GT5PAkAAAAJ","gNMqz_4AAAAJ",1
"-had2Q8AAAAJ","n-FCqMEAAAAJ",0
"sILsSIsAAAAJ","-had2Q8AAAAJ",0
"sILsSIsAAAAJ","PBo0rn4AAAAJ",0
"-had2Q8AAAAJ","PBo0rn4AAAAJ",0
"sILsSIsAAAAJ","-had2Q8AAAAJ",0
"-iLn_XwAAAAJ","GAOlOs4AAAAJ",0
"-iLn_XwAAAAJ","GAOlOs4AAAAJ",0
"NcIqQ88AAAAJ","-IMW-w0AAAAJ",1
"NcIqQ88AAAAJ","CZyWk8kAAAAJ",1
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"-IMW-w0AAAAJ","PVdTviYAAAAJ",1
"CZyWk8kAAAAJ","PVdTviYAAAAJ",1
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"JoAxSpgAAAAJ","-Jbd9DsAAAAJ",1
"JoAxSpgAAAAJ","-Jbd9DsAAAAJ",1
"JoAxSpgAAAAJ","-Jbd9DsAAAAJ",1
"MwIL3roAAAAJ","-Jbd9DsAAAAJ",1
"JoAxSpgAAAAJ","-Jbd9DsAAAAJ",1
"-m5wrTkAAAAJ","NHZdlVkAAAAJ",1
"-m5wrTkAAAAJ","NHZdlVkAAAAJ",1
"8GA4R2wAAAAJ","dShqnssAAAAJ",1
"8GA4R2wAAAAJ","-m5wrTkAAAAJ",1
"8GA4R2wAAAAJ","NHZdlVkAAAAJ",1
"dShqnssAAAAJ","-m5wrTkAAAAJ",1
"dShqnssAAAAJ","NHZdlVkAAAAJ",1
"-m5wrTkAAAAJ","NHZdlVkAAAAJ",1
"dShqnssAAAAJ","-m5wrTkAAAAJ",1
"dShqnssAAAAJ","-m5wrTkAAAAJ",1
"-MQXqOkAAAAJ","01EOkNEAAAAJ",0
"VBXG4CwAAAAJ","7BM1uyYAAAAJ",1
"VBXG4CwAAAAJ","-o3I0zUAAAAJ",2
"7BM1uyYAAAAJ","-o3I0zUAAAAJ",2
"H4rKFc8AAAAJ","-PWcE1YAAAAJ",1
"H4rKFc8AAAAJ","-PWcE1YAAAAJ",1
"XGiiygQAAAAJ","-PWcE1YAAAAJ",1
"2kkddh0AAAAJ","-vC_l2kAAAAJ",1
"2kkddh0AAAAJ","19kNRU0AAAAJ",1
"-vC_l2kAAAAJ","19kNRU0AAAAJ",1
"UEI2g60AAAAJ","-vC_l2kAAAAJ",1
"2kkddh0AAAAJ","-vC_l2kAAAAJ",1
"2kkddh0AAAAJ","19kNRU0AAAAJ",1
"-vC_l2kAAAAJ","19kNRU0AAAAJ",1
"OsoQ-dcAAAAJ","-wT1eCwAAAAJ",1
"-XpZ4fgAAAAJ","B8O_SVkAAAAJ",1
"-XpZ4fgAAAAJ","IXiAPMoAAAAJ",1
"B8O_SVkAAAAJ","IXiAPMoAAAAJ",1
"-XpZ4fgAAAAJ","d1KEK84AAAAJ",1
"-XpZ4fgAAAAJ","d1KEK84AAAAJ",1
"UPOVXrQAAAAJ","-XXZGEoAAAAJ",0
"PVdueKUAAAAJ","-XXZGEoAAAAJ",0
"neO3vFYAAAAJ","-yrzguMAAAAJ",1
"neO3vFYAAAAJ","-yrzguMAAAAJ",1
"neO3vFYAAAAJ","-yrzguMAAAAJ",1
"neO3vFYAAAAJ","-yrzguMAAAAJ",1
"-YvgZDEAAAAJ","S6P75HkAAAAJ",1
"-YvgZDEAAAAJ","16posrQAAAAJ",1
"-YvgZDEAAAAJ","AQ6AppgAAAAJ",1
"S6P75HkAAAAJ","16posrQAAAAJ",1
"S6P75HkAAAAJ","AQ6AppgAAAAJ",1
"16posrQAAAAJ","AQ6AppgAAAAJ",1
"Nc8U6E4AAAAJ","-YZ5mIIAAAAJ",0
"Nc8U6E4AAAAJ","wil5NhcAAAAJ",0
"Nc8U6E4AAAAJ","w3uEh7oAAAAJ",0
"-YZ5mIIAAAAJ","wil5NhcAAAAJ",0
"-YZ5mIIAAAAJ","w3uEh7oAAAAJ",0
"wil5NhcAAAAJ","w3uEh7oAAAAJ",0
"Nc8U6E4AAAAJ","-YZ5mIIAAAAJ",0
"Nc8U6E4AAAAJ","wil5NhcAAAAJ",0
"-YZ5mIIAAAAJ","wil5NhcAAAAJ",0
"-YZ5mIIAAAAJ","wil5NhcAAAAJ",0
"Nc8U6E4AAAAJ","-YZ5mIIAAAAJ",0
"Nc8U6E4AAAAJ","-YZ5mIIAAAAJ",0
"Nc8U6E4AAAAJ","wil5NhcAAAAJ",0
"Nc8U6E4AAAAJ","w3uEh7oAAAAJ",0
"-YZ5mIIAAAAJ","wil5NhcAAAAJ",0
"-YZ5mIIAAAAJ","w3uEh7oAAAAJ",0
"wil5NhcAAAAJ","w3uEh7oAAAAJ",0
"00H10pgAAAAJ","85qG4oIAAAAJ",0
"0zrqo3B-66wC","00M1AqQAAAAJ",1
"0zrqo3B-66wC","00M1AqQAAAAJ",1
"02nHF0gAAAAJ","hgOSI1EAAAAJ",1
"6Ff2c8wAAAAJ","02_kT4YAAAAJ",1
"6Ff2c8wAAAAJ","02_kT4YAAAAJ",1
"03uVItYAAAAJ","esPRxUoAAAAJ",0
"H9g7NyAAAAAJ","05cijuQAAAAJ",0
"wQzELzEAAAAJ","05UuCNQAAAAJ",0
"wQzELzEAAAAJ","05UuCNQAAAAJ",0
"kEM42bEAAAAJ","07ds-DAAAAAJ",1
"lBzZU1IAAAAJ","07ds-DAAAAAJ",1
"07ds-DAAAAAJ","xYfYnG4AAAAJ",1
"kEM42bEAAAAJ","07ds-DAAAAAJ",1
"07Z4HAQAAAAJ","BnxU9TEAAAAJ",1
"0DpK1EMAAAAJ","juRk4lQAAAAJ",1
"0DpK1EMAAAAJ","juRk4lQAAAAJ",1
"0DpK1EMAAAAJ","juRk4lQAAAAJ",1
"0DpK1EMAAAAJ","juRk4lQAAAAJ",1
"0DpK1EMAAAAJ","juRk4lQAAAAJ",1
"0DpK1EMAAAAJ","juRk4lQAAAAJ",1
"nVksQusAAAAJ","0ESwQagAAAAJ",0
"0fq5QeIAAAAJ","NzQu5SwAAAAJ",1
"0fq5QeIAAAAJ","NzQu5SwAAAAJ",1
"0fq5QeIAAAAJ","NzQu5SwAAAAJ",1
"hKeWP2sAAAAJ","0fq5QeIAAAAJ",2
"DpLFv4gAAAAJ","F9kqUXkAAAAJ",1
"DpLFv4gAAAAJ","NoNHPb4AAAAJ",1
"DpLFv4gAAAAJ","0irVeiQAAAAJ",1
"DpLFv4gAAAAJ","MYsIXF4AAAAJ",1
"F9kqUXkAAAAJ","NoNHPb4AAAAJ",1
"F9kqUXkAAAAJ","0irVeiQAAAAJ",1
"F9kqUXkAAAAJ","MYsIXF4AAAAJ",1
"NoNHPb4AAAAJ","0irVeiQAAAAJ",1
"NoNHPb4AAAAJ","MYsIXF4AAAAJ",1
"0irVeiQAAAAJ","MYsIXF4AAAAJ",1
"F9kqUXkAAAAJ","0irVeiQAAAAJ",1
"F9kqUXkAAAAJ","0irVeiQAAAAJ",1
"h6jljQQAAAAJ","0lcJYs8AAAAJ",1
"rXYLXJMAAAAJ","0lcJYs8AAAAJ",1
"0OdjAAkAAAAJ","q6CI9VcAAAAJ",0
"i28fU0MAAAAJ","0Qr2IGwAAAAJ",1
"i28fU0MAAAAJ","0Qr2IGwAAAAJ",1
"mah-B4IAAAAJ","0RMteS0AAAAJ",1
"mah-B4IAAAAJ","0RMteS0AAAAJ",1
"mah-B4IAAAAJ","0RMteS0AAAAJ",1
"0VFi-vAAAAAJ","fUTN90MAAAAJ",1
"qPDhlWkAAAAJ","0VFi-vAAAAAJ",1
"0VFi-vAAAAAJ","nXBQn7gAAAAJ",1
"0VFi-vAAAAAJ","tu39-p8AAAAJ",1
"0VFi-vAAAAAJ","nXBQn7gAAAAJ",1
"tu39-p8AAAAJ","nXBQn7gAAAAJ",1
"aKkIMogAAAAJ","0VFi-vAAAAAJ",1
"qPDhlWkAAAAJ","0VFi-vAAAAAJ",1
"qPDhlWkAAAAJ","jIp_uw0AAAAJ",1
"0VFi-vAAAAAJ","jIp_uw0AAAAJ",1
"qPDhlWkAAAAJ","0VFi-vAAAAAJ",1
"0VFi-vAAAAAJ","nXBQn7gAAAAJ",1
"0VFi-vAAAAAJ","nXBQn7gAAAAJ",1
"0vWWXXUAAAAJ","3XYmsKQAAAAJ",1
"0vWWXXUAAAAJ","3XYmsKQAAAAJ",1
"0VzUxIcAAAAJ","y2fSlecAAAAJ",1
"0VzUxIcAAAAJ","pAI5S50AAAAJ",1
"0zVOVQ0AAAAJ","LiAGLcwAAAAJ",1
"NJ9c4ygAAAAJ","0zZnyMEAAAAJ",1
"XYy_Nm4AAAAJ","0zZnyMEAAAAJ",1
"XYy_Nm4AAAAJ","0zZnyMEAAAAJ",1
"d97bGd8AAAAJ","0zZnyMEAAAAJ",1
"d97bGd8AAAAJ","0zZnyMEAAAAJ",1
"XYy_Nm4AAAAJ","0zZnyMEAAAAJ",1
"yvvjnhIAAAAJ","8GA4R2wAAAAJ",1
"yvvjnhIAAAAJ","10HSX90AAAAJ",1
"8GA4R2wAAAAJ","10HSX90AAAAJ",1
"yvvjnhIAAAAJ","8GA4R2wAAAAJ",1
"yvvjnhIAAAAJ","10HSX90AAAAJ",1
"8GA4R2wAAAAJ","10HSX90AAAAJ",1
"8GA4R2wAAAAJ","10HSX90AAAAJ",1
"yvvjnhIAAAAJ","8GA4R2wAAAAJ",1
"yvvjnhIAAAAJ","10HSX90AAAAJ",1
"8GA4R2wAAAAJ","10HSX90AAAAJ",1
"8GA4R2wAAAAJ","10HSX90AAAAJ",1
"8GA4R2wAAAAJ","10HSX90AAAAJ",1
"-YvgZDEAAAAJ","S6P75HkAAAAJ",1
"-YvgZDEAAAAJ","16posrQAAAAJ",1
"-YvgZDEAAAAJ","AQ6AppgAAAAJ",1
"S6P75HkAAAAJ","16posrQAAAAJ",1
"S6P75HkAAAAJ","AQ6AppgAAAAJ",1
"16posrQAAAAJ","AQ6AppgAAAAJ",1
"2kkddh0AAAAJ","-vC_l2kAAAAJ",1
"2kkddh0AAAAJ","19kNRU0AAAAJ",1
"-vC_l2kAAAAJ","19kNRU0AAAAJ",1
"2kkddh0AAAAJ","-vC_l2kAAAAJ",1
"2kkddh0AAAAJ","19kNRU0AAAAJ",1
"-vC_l2kAAAAJ","19kNRU0AAAAJ",1
"19qSWk8AAAAJ","ikn-xhYAAAAJ",1
"19qSWk8AAAAJ","HriWXcEAAAAJ",1
"19qSWk8AAAAJ","zHCTHbYAAAAJ",1
"ikn-xhYAAAAJ","HriWXcEAAAAJ",1
"ikn-xhYAAAAJ","zHCTHbYAAAAJ",1
"HriWXcEAAAAJ","zHCTHbYAAAAJ",1
"19qSWk8AAAAJ","6vXTtDQAAAAJ",1
"1a17o2YAAAAJ","n3qeflAAAAAJ",0
"67kghxAAAAAJ","1Aa3qxIAAAAJ",1
"BD8llAEAAAAJ","1CR0meYAAAAJ",1
"BteJZfwAAAAJ","lsYXBx8AAAAJ",2
"BteJZfwAAAAJ","Vm3QdpkAAAAJ",0
"BteJZfwAAAAJ","1CR0meYAAAAJ",2
"lsYXBx8AAAAJ","Vm3QdpkAAAAJ",2
"lsYXBx8AAAAJ","1CR0meYAAAAJ",1
"Vm3QdpkAAAAJ","1CR0meYAAAAJ",2
"LXVfPc8AAAAJ","lsYXBx8AAAAJ",2
"LXVfPc8AAAAJ","1CR0meYAAAAJ",2
"lsYXBx8AAAAJ","1CR0meYAAAAJ",1
"1DpUSnsAAAAJ","R5nkatMAAAAJ",0
"1hEE9ZsAAAAJ","gEMiMt0AAAAJ",1
"bxi6JXYAAAAJ","1HYDaVIAAAAJ",1
"EnCwNycAAAAJ","1HYDaVIAAAAJ",1
"bxi6JXYAAAAJ","1HYDaVIAAAAJ",1
"bxi6JXYAAAAJ","1HYDaVIAAAAJ",1
"woqUivYAAAAJ","1KRXBIwAAAAJ",1
"1l_zPXQAAAAJ","NjfTEZsAAAAJ",0
"1l_zPXQAAAAJ","8v1PvG1CERwC",0
"NjfTEZsAAAAJ","8v1PvG1CERwC",0
"1nr7TU0AAAAJ","RhFhIIgAAAAJ",2
"PQJuazcAAAAJ","1P6HeqQAAAAJ",0
"1vk3NxsAAAAJ","Lk38PP0AAAAJ",0
"1WIPsm0AAAAJ","TeWDBlIAAAAJ",0
"AlypgX0AAAAJ","1wq5H9oAAAAJ",0
"AlypgX0AAAAJ","1wq5H9oAAAAJ",0
"aiFvpucAAAAJ","2-jY1SQAAAAJ",1
"aiFvpucAAAAJ","yx0wJlIAAAAJ",1
"2-jY1SQAAAAJ","yx0wJlIAAAAJ",1
"aiFvpucAAAAJ","2-jY1SQAAAAJ",1
"aiFvpucAAAAJ","yx0wJlIAAAAJ",1
"2-jY1SQAAAAJ","yx0wJlIAAAAJ",1
"aiFvpucAAAAJ","2-jY1SQAAAAJ",1
