"FacultyI","FacultyJ","XDIndicator"
"1wq5H9oAAAAJ","vivnVgIAAAAJ",0
"1wq5H9oAAAAJ","vivnVgIAAAAJ",0
"1z3mv7EAAAAJ","nwNHXf4AAAAJ",0
"1z3mv7EAAAAJ","nwNHXf4AAAAJ",0
"1z3mv7EAAAAJ","nwNHXf4AAAAJ",0
"1z3mv7EAAAAJ","kMK1IvwAAAAJ",0
"1z3mv7EAAAAJ","kMK1IvwAAAAJ",0
"1z3mv7EAAAAJ","nwNHXf4AAAAJ",0
"1z3mv7EAAAAJ","nwNHXf4AAAAJ",0
"2SF6AXQAAAAJ","Wj4ZBFIAAAAJ",2
"56qcx4MAAAAJ","izMnGyMAAAAJ",1
"56qcx4MAAAAJ","izMnGyMAAAAJ",1
"7PeekG0AAAAJ","zLS4alQAAAAJ",0
"blwKAkUAAAAJ","OOLe2TIAAAAJ",2
"blwKAkUAAAAJ","HaI6LesAAAAJ",1
"BnxU9TEAAAAJ","fez4ulcAAAAJ",1
"bWTPrLEAAAAJ","rXYLXJMAAAAJ",1
"d1KEK84AAAAJ","avq8-1QAAAAJ",1
"DknsgF8AAAAJ","zAo6f24AAAAJ",2
"fez4ulcAAAAJ","BnxU9TEAAAAJ",1
"GglcIVYAAAAJ","p2Kq0Q4AAAAJ",0
"HaI6LesAAAAJ","blwKAkUAAAAJ",1
"HaI6LesAAAAJ","blwKAkUAAAAJ",1
"HaI6LesAAAAJ","blwKAkUAAAAJ",1
"HBgEJU0AAAAJ","lR-CRA0AAAAJ",0
"HBgEJU0AAAAJ","lR-CRA0AAAAJ",0
"HBgEJU0AAAAJ","lR-CRA0AAAAJ",0
"HBgEJU0AAAAJ","lR-CRA0AAAAJ",0
"izMnGyMAAAAJ","56qcx4MAAAAJ",1
"izMnGyMAAAAJ","56qcx4MAAAAJ",1
"Jr0P0Z4AAAAJ","R8yXxqkAAAAJ",0
"kMK1IvwAAAAJ","1z3mv7EAAAAJ",0
"kMK1IvwAAAAJ","1z3mv7EAAAAJ",0
"KRuCIOQAAAAJ","cYmUpBQAAAAJ",0
"lB5lqocAAAAJ","A2t0N8AAAAAJ",0
"lR-CRA0AAAAJ","HBgEJU0AAAAJ",0
"lR-CRA0AAAAJ","HBgEJU0AAAAJ",0
"lR-CRA0AAAAJ","HBgEJU0AAAAJ",0
"lR-CRA0AAAAJ","HBgEJU0AAAAJ",0
"NdNSXFkAAAAJ","QWORzTUAAAAJ",0
"NdNSXFkAAAAJ","FA3SUH4AAAAJ",0
"nK3RdOIAAAAJ","q92q8SMAAAAJ",2
"nwNHXf4AAAAJ","1z3mv7EAAAAJ",0
"nwNHXf4AAAAJ","1z3mv7EAAAAJ",0
"oFiuaXEAAAAJ","vL6ubpMAAAAJ",1
"OOLe2TIAAAAJ","blwKAkUAAAAJ",2
"pK034F0AAAAJ","PqtYDZQAAAAJ",0
"pK034F0AAAAJ","PqtYDZQAAAAJ",0
"pKuBFaQAAAAJ","rNTIQXYAAAAJ",1
"QWORzTUAAAAJ","FA3SUH4AAAAJ",0
"R8yXxqkAAAAJ","Jr0P0Z4AAAAJ",0
"R8yXxqkAAAAJ","Jr0P0Z4AAAAJ",0
"R8yXxqkAAAAJ","Jr0P0Z4AAAAJ",0
"rNTIQXYAAAAJ","pKuBFaQAAAAJ",1
"rXYLXJMAAAAJ","_pPy-pAAAAAJ",1
"rXYLXJMAAAAJ","_pPy-pAAAAAJ",1
"rXYLXJMAAAAJ","bWTPrLEAAAAJ",1
"SbHBJa3S3XgC","A9tBw58AAAAJ",1
"UF1_VRcAAAAJ","7P3t1woAAAAJ",0
"vivnVgIAAAAJ","1wq5H9oAAAAJ",0
"vivnVgIAAAAJ","1wq5H9oAAAAJ",0
"vL6ubpMAAAAJ","oFiuaXEAAAAJ",1
"zAo6f24AAAAJ","DknsgF8AAAAJ",2
"_pPy-pAAAAAJ","rXYLXJMAAAAJ",1
"_pPy-pAAAAAJ","gb2r2ssAAAAJ",1
"_pPy-pAAAAAJ","rXYLXJMAAAAJ",1
