"FacultyI","FacultyJ","XDIndicator"
"2pW1g5IAAAAJ","gUEkPQEAAAAJ",1
"2pW1g5IAAAAJ","gUEkPQEAAAAJ",1
"2pW1g5IAAAAJ","gUEkPQEAAAAJ",1
"2pW1g5IAAAAJ","gUEkPQEAAAAJ",1
"2PxFftgAAAAJ","jQNt6RwAAAAJ",1
"2s9_ZWgAAAAJ","xe0eVksAAAAJ",1
"2s9_ZWgAAAAJ","xe0eVksAAAAJ",1
"2s9_ZWgAAAAJ","xe0eVksAAAAJ",1
"2s9_ZWgAAAAJ","L7jhqMIAAAAJ",1
"2s9_ZWgAAAAJ","UNxLPX8AAAAJ",1
"2s9_ZWgAAAAJ","WHOHV3AAAAAJ",1
"2s9_ZWgAAAAJ","QH90248AAAAJ",1
"2s9_ZWgAAAAJ","pdpOwtkAAAAJ",1
"2SXzngsAAAAJ","4q6YakgAAAAJ",0
"2SXzngsAAAAJ","blg0nusAAAAJ",0
"2SXzngsAAAAJ","4q6YakgAAAAJ",0
"2SXzngsAAAAJ","blg0nusAAAAJ",0
"2vQRGrYAAAAJ","in6eBIwAAAAJ",1
"2vQRGrYAAAAJ","in6eBIwAAAAJ",1
"2vQRGrYAAAAJ","in6eBIwAAAAJ",1
"2vQRGrYAAAAJ","ZnT-QpMAAAAJ",1
"3-PRZG0AAAAJ","tRerdSIAAAAJ",1
"3-PRZG0AAAAJ","fIoDWp8AAAAJ",1
"3-PRZG0AAAAJ","jevPwGEAAAAJ",1
"3-PRZG0AAAAJ","3EbevY4AAAAJ",1
"3-PRZG0AAAAJ","jevPwGEAAAAJ",1
"3-PRZG0AAAAJ","jevPwGEAAAAJ",1
"30fyS8EAAAAJ","SKVnHakAAAAJ",1
"35uGc_MAAAAJ","95xNBicAAAAJ",0
"37frPb8AAAAJ","XGiiygQAAAAJ",1
"37frPb8AAAAJ","qLuAbhMAAAAJ",1
"37frPb8AAAAJ","gqB23VMAAAAJ",1
"37frPb8AAAAJ","XGiiygQAAAAJ",1
"37frPb8AAAAJ","qLuAbhMAAAAJ",1
"398l2V8AAAAJ","UYnvOrsAAAAJ",0
"3lB8Y8kAAAAJ","wCfYkMkAAAAJ",1
"3lB8Y8kAAAAJ","7BM1uyYAAAAJ",1
"3oyf5I4AAAAJ","zCO_h3cAAAAJ",1
"3pZs3j0AAAAJ","J8YyZugAAAAJ",1
"3X9nW80AAAAJ","VDMARucAAAAJ",1
"3XYmsKQAAAAJ","UmwJklEAAAAJ",1
"3XYmsKQAAAAJ","UmwJklEAAAAJ",1
"3yPEc4YAAAAJ","fkGi-JMAAAAJ",1
"3yPEc4YAAAAJ","gqB23VMAAAAJ",1
"3_WYcR4AAAAJ","cbTB5-EAAAAJ",1
"3_WYcR4AAAAJ","ZTkRs84AAAAJ",1
"3_WYcR4AAAAJ","o5YQMkMAAAAJ",1
"3_WYcR4AAAAJ","o5YQMkMAAAAJ",1
"3_WYcR4AAAAJ","ZTkRs84AAAAJ",1
"3_WYcR4AAAAJ","ZTkRs84AAAAJ",1
"3_WYcR4AAAAJ","urTiL7QAAAAJ",1
"3_WYcR4AAAAJ","cbTB5-EAAAAJ",1
"3_WYcR4AAAAJ","cbTB5-EAAAAJ",1
"3_WYcR4AAAAJ","ZTkRs84AAAAJ",1
"46HLWf8AAAAJ","pPB_WK0AAAAJ",1
"46HLWf8AAAAJ","pPB_WK0AAAAJ",1
"4BrebIYAAAAJ","C6DtGmMAAAAJ",1
"4LCdnkYAAAAJ","UwFA1KoAAAAJ",1
"4Mj-BjwAAAAJ","JWXlepgAAAAJ",1
"4Mj-BjwAAAAJ","JWXlepgAAAAJ",1
"4Mj-BjwAAAAJ","JWXlepgAAAAJ",1
"4Mj-BjwAAAAJ","JWXlepgAAAAJ",1
"4Mj-BjwAAAAJ","JWXlepgAAAAJ",1
"4Mj-BjwAAAAJ","JWXlepgAAAAJ",1
"4n8JCSgAAAAJ","55fqxgwAAAAJ",1
"4n8JCSgAAAAJ","bqlarqIAAAAJ",2
"4n8JCSgAAAAJ","55fqxgwAAAAJ",1
"4n8JCSgAAAAJ","bqlarqIAAAAJ",2
"4n8JCSgAAAAJ","uSfaEgUAAAAJ",1
"4pWpdEIAAAAJ","n7Z3EDsAAAAJ",1
"4pWpdEIAAAAJ","n7Z3EDsAAAAJ",1
"4pWpdEIAAAAJ","BbzZlWsAAAAJ",1
"4pWpdEIAAAAJ","n7Z3EDsAAAAJ",1
"4q6YakgAAAAJ","zwr9wPEAAAAJ",0
"4q6YakgAAAAJ","OOLe2TIAAAAJ",0
"4q6YakgAAAAJ","ujDhg2sAAAAJ",2
"4q6YakgAAAAJ","Ff6era8AAAAJ",2
"4q6YakgAAAAJ","OMVTRscAAAAJ",2
"4q6YakgAAAAJ","PogsVkYAAAAJ",2
"4q6YakgAAAAJ","blg0nusAAAAJ",0
"4q6YakgAAAAJ","blg0nusAAAAJ",0
"4q6YakgAAAAJ","2SXzngsAAAAJ",0
"4q6YakgAAAAJ","blg0nusAAAAJ",0
"4q6YakgAAAAJ","blg0nusAAAAJ",0
"4q6YakgAAAAJ","blg0nusAAAAJ",0
"4q6YakgAAAAJ","2SXzngsAAAAJ",0
"4q6YakgAAAAJ","blg0nusAAAAJ",0
"4q6YakgAAAAJ","zwr9wPEAAAAJ",0
"4q6YakgAAAAJ","zwr9wPEAAAAJ",0
"4q6YakgAAAAJ","blg0nusAAAAJ",0
"4Ts9jNQAAAAJ","lc0ARagAAAAJ",1
"4UyniXYAAAAJ","ex9BQiIAAAAJ",1
"4UyniXYAAAAJ","ex9BQiIAAAAJ",1
"4uypulQAAAAJ","S5B0QmMAAAAJ",1
"4VJre9IAAAAJ","tCq7Wx0AAAAJ",1
"4VJre9IAAAAJ","hc1m_BQAAAAJ",1
"4VJre9IAAAAJ","tCq7Wx0AAAAJ",1
"4VJre9IAAAAJ","tCq7Wx0AAAAJ",1
"4VJre9IAAAAJ","tCq7Wx0AAAAJ",1
"4XyoYbAAAAAJ","xfwOz_kAAAAJ",1
"4XyoYbAAAAAJ","xfwOz_kAAAAJ",1
"4yuKD_AAAAAJ","HriWXcEAAAAJ",1
"53RlhUcAAAAJ","nFdbcvsAAAAJ",1
"53RlhUcAAAAJ","nFdbcvsAAAAJ",1
"53RlhUcAAAAJ","C1skWKgAAAAJ",1
"53RlhUcAAAAJ","nFdbcvsAAAAJ",1
"53RlhUcAAAAJ","nFdbcvsAAAAJ",1
"55fqxgwAAAAJ","4n8JCSgAAAAJ",1
"55fqxgwAAAAJ","bqlarqIAAAAJ",2
"55fqxgwAAAAJ","4n8JCSgAAAAJ",1
"55fqxgwAAAAJ","bqlarqIAAAAJ",2
"55pOyCkAAAAJ","b8foDKcAAAAJ",0
"59zyQMYAAAAJ","B8O_SVkAAAAJ",1
"5Aut7EEAAAAJ","im5aMngAAAAJ",1
"5bxyMBwAAAAJ","ovlpa_IAAAAJ",1
"5bxyMBwAAAAJ","19kNRU0AAAAJ",1
"5C4hZEgAAAAJ","oAj9a-wAAAAJ",0
"5CH2x_YAAAAJ","DaGZRjAAAAAJ",0
"5dNYKKcAAAAJ","LXVfPc8AAAAJ",0
"5H0arvkAAAAJ","fKESO6sAAAAJ",1
"5H0arvkAAAAJ","fKESO6sAAAAJ",1
"5H0arvkAAAAJ","fKESO6sAAAAJ",1
"5H0arvkAAAAJ","fKESO6sAAAAJ",1
"5LsAK74AAAAJ","1CtZnTMAAAAJ",0
"5NAFTkAAAAAJ","XG6aM5EAAAAJ",0
"5nkhrpUAAAAJ","0uj4niwAAAAJ",0
"5oU0wxcAAAAJ","jJPSj0IAAAAJ",1
"5oU0wxcAAAAJ","KWiJaj8AAAAJ",1
"5oU0wxcAAAAJ","jJPSj0IAAAAJ",1
"5oU0wxcAAAAJ","KWiJaj8AAAAJ",1
"5pKTRxEAAAAJ","yxUduqMAAAAJ",1
"67kghxAAAAAJ","84WzBlYAAAAJ",1
"67kghxAAAAAJ","84WzBlYAAAAJ",1
"6ArMETUAAAAJ","NzQu5SwAAAAJ",2
"6c5cf1wAAAAJ","Yc2L0NUAAAAJ",1
"6CTPn44AAAAJ","cjkgjggAAAAJ",1
"6Ff2c8wAAAAJ","02_kT4YAAAAJ",1
"6Ff2c8wAAAAJ","02_kT4YAAAAJ",1
"6Ff2c8wAAAAJ","P21gHIkAAAAJ",1
"6Ff2c8wAAAAJ","VGoSakQAAAAJ",1
"6Ff2c8wAAAAJ","HaI6LesAAAAJ",1
"6Ff2c8wAAAAJ","KICA5DoAAAAJ",1
"6Ff2c8wAAAAJ","KICA5DoAAAAJ",1
"6JEDxqcAAAAJ","FJ-huxgAAAAJ",1
"6qE0tdAAAAAJ","r49_E2cAAAAJ",1
"6qE0tdAAAAAJ","KWez2_sAAAAJ",1
"6qE0tdAAAAAJ","r49_E2cAAAAJ",1
"6qE0tdAAAAAJ","V5FJ6pIAAAAJ",1
"6qE0tdAAAAAJ","V5FJ6pIAAAAJ",1
"6qE0tdAAAAAJ","V5FJ6pIAAAAJ",1
"6qE0tdAAAAAJ","r49_E2cAAAAJ",1
"6t7Zm4oAAAAJ","7cys8kgAAAAJ",0
"6vXTtDQAAAAJ","zX3ba1kAAAAJ",1
"6vXTtDQAAAAJ","cLb-v7gAAAAJ",1
"6vXTtDQAAAAJ","v6PsQKIAAAAJ",1
"6vXTtDQAAAAJ","zX3ba1kAAAAJ",1
"6YU6_QoAAAAJ","E1cp_aYAAAAJ",1
"6YU6_QoAAAAJ","hma0WFAAAAAJ",1
"6YU6_QoAAAAJ","Hyhp_zUAAAAJ",1
"6_oL_9IAAAAJ","aydzTogAAAAJ",1
"72e5VYEAAAAJ","Q6pxNZYAAAAJ",1
"7AUq6CUAAAAJ","zAJ3NWEAAAAJ",0
"7FXtL98AAAAJ","JN4tlsMAAAAJ",1
"7FXtL98AAAAJ","JN4tlsMAAAAJ",1
"7FXtL98AAAAJ","vB96fX8AAAAJ",1
"7FXtL98AAAAJ","JN4tlsMAAAAJ",1
"7FXtL98AAAAJ","JN4tlsMAAAAJ",1
"7FXtL98AAAAJ","JN4tlsMAAAAJ",1
"7FXtL98AAAAJ","JN4tlsMAAAAJ",1
"7FXtL98AAAAJ","JN4tlsMAAAAJ",1
"7FXtL98AAAAJ","JN4tlsMAAAAJ",1
"7FXtL98AAAAJ","JN4tlsMAAAAJ",1
"7iUPeUQAAAAJ","lB5lqocAAAAJ",0
"7j3itaMAAAAJ","HriWXcEAAAAJ",1
"7j3itaMAAAAJ","HriWXcEAAAAJ",1
"7j3itaMAAAAJ","HriWXcEAAAAJ",1
"7j3itaMAAAAJ","HriWXcEAAAAJ",1
"7K34d7cAAAAJ","DqXsbPAAAAAJ",1
"7K34d7cAAAAJ","ZxXBaswAAAAJ",1
