"FacultyI","FacultyJ","XDIndicator"
"-31-oa0AAAAJ","IjbhBJsAAAAJ",0
"-31-oa0AAAAJ","f4eLuf8AAAAJ",0
"-6cOYcYAAAAJ","HtgKHRIAAAAJ",1
"-6cOYcYAAAAJ","0Qr2IGwAAAAJ",1
"-6cOYcYAAAAJ","ZxXBaswAAAAJ",1
"-D2TBHUAAAAJ","ujDhg2sAAAAJ",2
"-DEyRIgAAAAJ","-had2Q8AAAAJ",0
"-had2Q8AAAAJ","sflJAhgAAAAJ",0
"-iLn_XwAAAAJ","GAOlOs4AAAAJ",0
"-iLn_XwAAAAJ","GAOlOs4AAAAJ",0
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"-m5wrTkAAAAJ","dShqnssAAAAJ",1
"-m5wrTkAAAAJ","dShqnssAAAAJ",1
"-m5wrTkAAAAJ","dShqnssAAAAJ",1
"-m5wrTkAAAAJ","dShqnssAAAAJ",1
"-m5wrTkAAAAJ","dShqnssAAAAJ",1
"-m5wrTkAAAAJ","dShqnssAAAAJ",1
"-m5wrTkAAAAJ","dShqnssAAAAJ",1
"-MQXqOkAAAAJ","djRAUcYAAAAJ",0
"-PWcE1YAAAAJ","H4rKFc8AAAAJ",1
"-rcrelQAAAAJ","oy7TshoAAAAJ",0
"-sGaL8sAAAAJ","UWZA0v4AAAAJ",1
"-spRnaQAAAAJ","hHKC6FEAAAAJ",1
"-spRnaQAAAAJ","hHKC6FEAAAAJ",1
"-teHhxwAAAAJ","uHUyvLgAAAAJ",0
"-XpZ4fgAAAAJ","B8O_SVkAAAAJ",1
"-yrzguMAAAAJ","neO3vFYAAAAJ",1
"-yrzguMAAAAJ","neO3vFYAAAAJ",1
"-yrzguMAAAAJ","neO3vFYAAAAJ",1
"-yrzguMAAAAJ","neO3vFYAAAAJ",1
"-yrzguMAAAAJ","neO3vFYAAAAJ",1
"-yrzguMAAAAJ","neO3vFYAAAAJ",1
"-yrzguMAAAAJ","neO3vFYAAAAJ",1
"008lr2cAAAAJ","PogsVkYAAAAJ",1
"00M1AqQAAAAJ","xdGKgtcAAAAJ",1
"00M1AqQAAAAJ","U6OVPVMAAAAJ",1
"00M1AqQAAAAJ","gHfzsl4AAAAJ",1
"00M1AqQAAAAJ","U6OVPVMAAAAJ",1
"00M1AqQAAAAJ","gHfzsl4AAAAJ",1
"00M1AqQAAAAJ","0zrqo3B-66wC",1
"00M1AqQAAAAJ","U6OVPVMAAAAJ",1
"00M1AqQAAAAJ","gHfzsl4AAAAJ",1
"00M1AqQAAAAJ","U6OVPVMAAAAJ",1
"00M1AqQAAAAJ","gHfzsl4AAAAJ",1
"00M1AqQAAAAJ","xdGKgtcAAAAJ",1
