"year","coauthor_codes"
2015,"--nVNvIAAAAJ,2,1,1"
2015,"1,1,--nVNvIAAAAJ"
2015,"1,--nVNvIAAAAJ,1,cLb-v7gAAAAJ,1"
2015,"jLEgvnsAAAAJ,2,--nVNvIAAAAJ,1,1"
2015,"0,0,-0CQuX8AAAAJ,0,0,0"
2015,"-0CQuX8AAAAJ,0,2,0,0"
2015,"-0CQuX8AAAAJ,0,0,0"
2015,"0,0,2,0,-0CQuX8AAAAJ,2,0,0"
2015,"0,2,-0nYQVIAAAAJ,kUwCxIUAAAAJ"
2015,"0,0,-0nYQVIAAAAJ,0,2,0"
2015,"2,-0nYQVIAAAAJ,kUwCxIUAAAAJ,0"
2015,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0nYQVIAAAAJ,0,0,0,0,0,0,0,0,0,0,0,2"
2015,"0,0,mAbA6EoAAAAJ,0,0,2,0,0,0,0,2,0,-0nYQVIAAAAJ,0,0,8vsRBCgAAAAJ,0,2"
2015,"0,-0nYQVIAAAAJ,0"
2015,"0,mAbA6EoAAAAJ,0,0,2,0,0,0,0,0,0,0,-0nYQVIAAAAJ,0"
2015,"0,0,0,0,-0ppt6oAAAAJ"
2015,"0,2,0,0,SagVxawAAAAJ,0,0,0,0,0,0,0,0,0,0,2,-0ppt6oAAAAJ"
2015,"-0rEuLgAAAAJ,1,t_DFZvgAAAAJ"
2015,"1,-0rEuLgAAAAJ,1,0_vvBZkAAAAJ,1"
2015,"-0rEuLgAAAAJ,1,2"
2015,"-0rEuLgAAAAJ,1,1,1"
2015,"-0rEuLgAAAAJ,1"
2015,"-0rEuLgAAAAJ,1,1,2,1,wbIMbL8AAAAJ,2"
2015,"-0rEuLgAAAAJ,1,1,1,2"
2015,"0,-234SKAAAAAJ,0,0,0,0,0,0"
2015,"0,0,-234SKAAAAAJ,0,0,0"
2015,"2,-234SKAAAAAJ,0,0,RKvl6OoAAAAJ"
2015,"0,-234SKAAAAAJ,0,0,0,0,0,0,0,0,0,0"
2015,"0,0,0,-234SKAAAAAJ,0,0,0"
2015,"0,-234SKAAAAAJ,0,0,0,0"
2015,"YadECXsAAAAJ,-31-oa0AAAAJ,0,0,2,0,0,0,2,2,0,0,0,2,0"
2015,"YadECXsAAAAJ,0,-31-oa0AAAAJ,0,0,0,0,0"
2015,"0,-31-oa0AAAAJ,0,0,0"
2015,"0,0,0,-5LVcdsAAAAJ,0,0,0,0"
2015,"0,0,0,-5LVcdsAAAAJ,0,0,0,0,0"
2015,"0,0,0,-5ZxgGsAAAAJ,0"
2015,"0,-5ZxgGsAAAAJ,0"
2015,"0,-5ZxgGsAAAAJ,H3vXtAUAAAAJ"
2015,"1,-6cOYcYAAAAJ"
2015,"2,-6cOYcYAAAAJ,1"
2015,"1,1,-6cOYcYAAAAJ"
2015,"1,-6cOYcYAAAAJ,1"
2015,"P97vI1EAAAAJ,-6cOYcYAAAAJ,1"
2015,"1,1,-6cOYcYAAAAJ"
2015,"1,1,P97vI1EAAAAJ,-6cOYcYAAAAJ"
2015,"DqXsbPAAAAAJ,1,-6cOYcYAAAAJ"
2015,"2,-6FYTfMAAAAJ,0"
2015,"0,-6FYTfMAAAAJ,0"
2015,"0,-78feYUAAAAJ,0,0"
2015,"0,0,-78feYUAAAAJ,0,0"
2015,"0,0,-aQaHIoAAAAJ,0,0,0,2"
2015,"0,0,0,0,0,-aQaHIoAAAAJ,0,0,0,0,0,0,0"
2015,"-BLWw_kAAAAJ,2"
2015,"0,-BLWw_kAAAAJ,lNFZCgwAAAAJ,0,2"
2015,"-BLWw_kAAAAJ,0,2"
2015,"-BLWw_kAAAAJ,0,2,0,2"
2015,"FXbbGUYAAAAJ,0,0,0,0,-chjN0MAAAAJ,7PeekG0AAAAJ,2"
2015,"0,0,0,-chjN0MAAAAJ,0,0,0"
2015,"2,2,2,2,-chjN0MAAAAJ,2,2,2,UedS9LQAAAAJ"
2015,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-chjN0MAAAAJ,2,0,0,0,2,0,0,0,0,0,0,0,2"
2015,"0,0,0,0,-chjN0MAAAAJ,0"
2015,"0,0,0,0,-chjN0MAAAAJ,0,0,0"
2015,"-chjN0MAAAAJ,2"
2015,"0,0,0,0,0,0,0,0,0,-chjN0MAAAAJ,0,0,0,0"
2015,"-cL-RwUAAAAJ,0"
2015,"-cL-RwUAAAAJ,0,0,0"
2015,"-cL-RwUAAAAJ,0"
2015,"-cL-RwUAAAAJ,0,0"
2015,"-cL-RwUAAAAJ,F_Go4V4AAAAJ,2,2"
2015,"1,-cwEbxUAAAAJ,Dj3gptkAAAAJ,1"
2015,"2,-cwEbxUAAAAJ,2,2,2,2,2,qDkQrKwAAAAJ,2,2,2,2,2,2,2"
2015,"1,-cwEbxUAAAAJ,2,1,2"
2015,"1,2,-cwEbxUAAAAJ,1,2,2,1,1,2,2,2"
2015,"1,-cwEbxUAAAAJ,2,1,2"
