"year","Source","Target","s_dept","t_dept"
2003,256,676,"CS","CS"
2003,676,4028,"CS","CS"
2003,256,4028,"CS","CS"
2003,256,1486,"CS","CS"
2003,256,1486,"CS","CS"
2003,261,1954,"BIO","CS"
2003,263,3395,"CS","CS"
2003,265,3065,"BIO","BIO"
2003,265,3065,"BIO","BIO"
2003,267,1486,"CS","CS"
2003,268,747,"CS","CS"
2003,268,747,"CS","CS"
2003,269,3311,"CS","CS"
2003,269,3490,"CS","CS"
2003,273,1589,"CS","CS"
2003,273,3182,"CS","CS"
2003,273,619,"CS","CS"
2003,273,607,"CS","CS"
2003,274,1974,"CS","CS"
2003,117,274,"CS","CS"
2003,278,3777,"CS","CS"
2003,2155,3777,"CS","CS"
2003,278,2155,"CS","CS"
2003,278,1914,"CS","CS"
2003,280,2863,"CS","CS"
2003,280,2425,"CS","CS"
2003,281,4101,"BIO","BIO"
2003,289,1821,"CS","CS"
2003,289,1221,"CS","CS"
2003,289,1821,"CS","CS"
2003,289,1662,"CS","CS"
2003,1662,2346,"CS","CS"
2003,1662,3371,"CS","CS"
2003,1662,1821,"CS","CS"
2003,289,2346,"CS","CS"
2003,289,3371,"CS","CS"
2003,289,1821,"CS","CS"
2003,2346,3371,"CS","CS"
2003,1821,2346,"CS","CS"
2003,1821,3371,"CS","CS"
2003,289,1821,"CS","CS"
2003,289,1821,"CS","CS"
2003,289,1129,"CS","CS"
2003,289,3849,"CS","CS"
2003,1129,3849,"CS","CS"
2003,2806,3783,"CS","CS"
2003,291,2806,"CS","CS"
2003,291,3783,"CS","CS"
2003,291,2321,"CS","CS"
2003,293,4049,"BIO","BIO"
2003,294,3873,"CS","CS"
2003,299,1145,"BIO","BIO"
2003,299,3160,"BIO","CS"
2003,1145,3160,"BIO","CS"
2003,303,2953,"BIO","BIO"
2003,307,3790,"CS","CS"
2003,307,1571,"CS","CS"
2003,307,619,"CS","CS"
2003,307,1571,"CS","CS"
2003,308,1738,"CS","CS"
2003,326,2719,"CS","CS"
2003,326,2719,"CS","CS"
2003,331,3640,"CS","CS"
2003,337,1891,"CS","CS"
2003,337,1891,"CS","CS"
2003,159,339,"CS","CS"
2003,340,2755,"CS","CS"
2003,345,2483,"CS","CS"
2003,345,641,"CS","CS"
2003,641,2483,"CS","CS"
2003,345,2483,"CS","CS"
2003,345,3977,"CS","CS"
2003,2483,3977,"CS","CS"
2003,346,3503,"CS","CS"
2003,348,3395,"CS","CS"
2003,351,1631,"CS","CS"
2003,351,1631,"CS","CS"
2003,114,2640,"CS","CS"
2003,351,2640,"CS","CS"
2003,114,351,"CS","CS"
2003,181,351,"CS","CS"
2003,114,2640,"CS","CS"
2003,351,2640,"CS","CS"
2003,114,351,"CS","CS"
2003,353,4087,"CS","CS"
2003,353,4087,"CS","CS"
2003,353,982,"CS","CS"
2003,353,982,"CS","CS"
2003,353,982,"CS","CS"
2003,353,982,"CS","CS"
2003,353,4087,"CS","CS"
2003,353,4087,"CS","CS"
2003,353,982,"CS","CS"
2003,353,4087,"CS","CS"
2003,982,4087,"CS","CS"
2003,353,4087,"CS","CS"
2003,358,2573,"BIO","BIO"
2003,359,2720,"CS","CS"
2003,359,1464,"CS","CS"
2003,364,1428,"CS","CS"
2003,366,969,"CS","CS"
2003,366,3126,"CS","CS"
2003,969,2798,"CS","CS"
2003,366,969,"CS","CS"
2003,366,2798,"CS","CS"
2003,366,969,"CS","CS"
2003,366,969,"CS","CS"
2003,372,959,"BIO","BIO"
2003,374,3160,"CS","CS"
2003,374,2501,"CS","CS"
2003,374,3363,"CS","CS"
2003,2501,3363,"CS","CS"
2003,378,3442,"CS","CS"
2003,378,1118,"CS","CS"
2003,378,3442,"CS","CS"
2003,1118,3442,"CS","CS"
2003,378,1118,"CS","CS"
2003,378,3442,"CS","CS"
2003,1118,3442,"CS","CS"
2003,379,1996,"CS","CS"
2003,379,1996,"CS","CS"
2003,379,1996,"CS","CS"
2003,379,3077,"CS","CS"
2003,379,1996,"CS","CS"
2003,379,1996,"CS","CS"
2003,379,1996,"CS","CS"
2003,379,844,"CS","CS"
2003,379,1092,"CS","CS"
2003,844,1092,"CS","CS"
2003,382,3754,"BIO","CS"
2003,385,854,"CS","CS"
2003,854,4165,"CS","CS"
2003,854,2392,"CS","CS"
2003,385,4165,"CS","CS"
2003,385,2392,"CS","CS"
2003,2392,4165,"CS","CS"
2003,387,2715,"BIO","BIO"
2003,387,898,"BIO","BIO"
2003,898,2715,"BIO","BIO"
2003,387,4101,"BIO","BIO"
2003,387,898,"BIO","BIO"
2003,898,4101,"BIO","BIO"
2003,387,4101,"BIO","BIO"
2003,387,898,"BIO","BIO"
2003,898,4101,"BIO","BIO"
2003,387,4101,"BIO","BIO"
2003,387,4101,"BIO","BIO"
2003,387,898,"BIO","BIO"
2003,898,4101,"BIO","BIO"
2003,387,4101,"BIO","BIO"
2003,387,898,"BIO","BIO"
2003,898,4101,"BIO","BIO"
2003,391,641,"CS","CS"
2003,396,1343,"CS","CS"
2003,396,1343,"CS","CS"
2003,398,568,"BIO","BIO"
2003,398,568,"BIO","BIO"
2003,399,3211,"CS","CS"
2003,399,3211,"CS","CS"
2003,1652,3211,"CS","CS"
2003,399,1652,"CS","CS"
2003,399,3211,"CS","CS"
2003,3125,3211,"CS","CS"
2003,399,3125,"CS","CS"
2003,399,1652,"CS","CS"
2003,399,3211,"CS","CS"
2003,399,1652,"CS","CS"
2003,399,3211,"CS","CS"
2003,1652,3211,"CS","CS"
2003,399,1652,"CS","CS"
2003,399,1652,"CS","CS"
2003,401,3786,"CS","CS"
2003,401,3786,"CS","CS"
2003,401,3570,"CS","BIO"
2003,403,457,"CS","CS"
2003,407,2426,"CS","CS"
2003,407,2426,"CS","CS"
2003,407,2426,"CS","CS"
2003,407,2426,"CS","CS"
2003,407,2426,"CS","CS"
2003,407,965,"CS","CS"
2003,965,2426,"CS","CS"
2003,408,1561,"CS","BIO"
2003,415,1870,"CS","CS"
2003,416,936,"CS","CS"
2003,416,936,"CS","CS"
2003,416,936,"CS","CS"
2003,417,1816,"CS","CS"
2003,418,2617,"CS","CS"
2003,159,2617,"CS","CS"
2003,159,418,"CS","CS"
2003,2173,3387,"BIO","BIO"
2003,419,3387,"BIO","BIO"
2003,419,2173,"BIO","BIO"
2003,421,1117,"BIO","BIO"
2003,421,1117,"BIO","BIO"
2003,421,1117,"BIO","BIO"
2003,422,3365,"CS","CS"
2003,423,816,"BIO","BIO"
2003,433,3445,"CS","CS"
2003,433,1422,"CS","CS"
2003,433,1422,"CS","CS"
2003,433,1422,"CS","CS"
2003,433,1422,"CS","CS"
2003,433,3977,"CS","CS"
2003,1422,3977,"CS","CS"
2003,438,2500,"BIO","BIO"
2003,1066,1114,"CS","CS"
2003,443,1066,"CS","CS"
2003,443,1114,"CS","CS"
2003,444,1509,"CS","CS"
2003,403,457,"CS","CS"
2003,457,3604,"CS","CS"
2003,458,3122,"CS","CS"
2003,458,3122,"CS","CS"
2003,458,3122,"CS","CS"
2003,460,1675,"CS","CS"
2003,476,1571,"CS","CS"
2003,479,2501,"BIO","CS"
2003,479,2501,"BIO","CS"
2003,481,1018,"CS","CS"
2003,481,1018,"CS","CS"
2003,481,1018,"CS","CS"
2003,481,1018,"CS","CS"
2003,481,1018,"CS","CS"
2003,481,1018,"CS","CS"
2003,481,1018,"CS","CS"
2003,481,1018,"CS","CS"
2003,484,2800,"CS","CS"
2003,485,4067,"CS","CS"
2003,485,652,"CS","CS"
2003,652,4067,"CS","CS"
2003,485,3144,"CS","CS"
2003,485,1281,"CS","CS"
2003,485,1415,"CS","CS"
2003,485,1415,"CS","CS"
2003,2774,3034,"CS","CS"
2003,486,3034,"CS","CS"
2003,486,2774,"CS","CS"
2003,488,774,"BIO","BIO"
2003,492,1282,"CS","CS"
2003,492,1282,"CS","CS"
2003,492,1282,"CS","CS"
2003,492,1282,"CS","CS"
2003,493,1417,"CS","CS"
2003,493,1417,"CS","CS"
2003,498,2754,"CS","CS"
2003,498,2754,"CS","CS"
2003,500,2921,"CS","CS"
2003,2921,3476,"CS","CS"
2003,500,3476,"CS","CS"
2003,65,500,"CS","CS"
2003,500,3369,"CS","CS"
2003,504,928,"CS","CS"
2003,504,928,"CS","CS"
2003,505,533,"BIO","BIO"
2003,505,533,"BIO","BIO"
2003,505,533,"BIO","BIO"
2003,509,3455,"BIO","BIO"
2003,510,1027,"CS","CS"
2003,510,798,"CS","CS"
2003,510,4043,"CS","CS"
2003,513,1747,"CS","CS"
2003,1693,1747,"CS","CS"
2003,513,1693,"CS","CS"
2003,513,1747,"CS","CS"
2003,1693,1747,"CS","CS"
2003,513,1693,"CS","CS"
2003,513,1747,"CS","CS"
2003,513,1227,"CS","CS"
2003,289,516,"CS","CS"
2003,289,516,"CS","CS"
2003,289,516,"CS","CS"
2003,289,516,"CS","CS"
2003,526,3494,"CS","CS"
2003,530,3411,"BIO","BIO"
2003,530,3411,"BIO","BIO"
2003,530,3411,"BIO","BIO"
2003,530,3411,"BIO","BIO"
2003,505,533,"BIO","BIO"
2003,533,1204,"BIO","BIO"
2003,505,533,"BIO","BIO"
2003,536,3176,"CS","BIO"
2003,1178,3176,"CS","BIO"
2003,536,1178,"CS","CS"
2003,538,1953,"CS","CS"
2003,263,538,"CS","CS"
2003,547,1181,"CS","CS"
2003,547,4108,"CS","CS"
2003,449,547,"CS","CS"
2003,547,1533,"CS","CS"
2003,550,928,"CS","CS"
2003,550,928,"CS","CS"
2003,550,3949,"CS","CS"
2003,550,3949,"CS","CS"
2003,550,928,"CS","CS"
2003,2772,3690,"CS","CS"
2003,550,3690,"CS","CS"
2003,550,2772,"CS","CS"
2003,555,2310,"CS","CS"
2003,398,568,"BIO","BIO"
2003,398,568,"BIO","BIO"
2003,570,3778,"CS","CS"
2003,575,1025,"CS","CS"
2003,1399,2447,"CS","CS"
2003,575,1399,"CS","CS"
2003,575,2447,"CS","CS"
2003,575,2447,"CS","CS"
2003,575,2447,"CS","CS"
2003,147,588,"CS","CS"
2003,147,588,"CS","CS"
2003,147,588,"CS","CS"
2003,147,588,"CS","CS"
2003,147,588,"CS","CS"
2003,594,1050,"CS","CS"
2003,594,1050,"CS","CS"
2003,594,1050,"CS","CS"
2003,597,1914,"CS","CS"
2003,597,1914,"CS","CS"
2003,597,1914,"CS","CS"
2003,278,1914,"CS","CS"
2003,278,597,"CS","CS"
2003,597,1914,"CS","CS"
2003,597,1914,"CS","CS"
2003,597,1914,"CS","CS"
2003,598,1498,"CS","CS"
2003,598,3967,"CS","CS"
2003,598,3967,"CS","CS"
2003,598,3967,"CS","CS"
2003,598,3967,"CS","CS"
2003,1498,3967,"CS","CS"
2003,598,3967,"CS","CS"
