"Id","google_id","XDIndicator"
1,"--nVNvIAAAAJ","CS"
2,"-0CQuX8AAAAJ","BIO"
3,"-0iKXsgAAAAJ","CS"
4,"-0nYQVIAAAAJ","BIO"
5,"-0ppt6oAAAAJ","BIO"
6,"-0rEuLgAAAAJ","CS"
7,"-234SKAAAAAJ","BIO"
8,"-31-oa0AAAAJ","BIO"
9,"-5DNOLIAAAAJ","BIO"
10,"-5LVcdsAAAAJ","BIO"
11,"-5ZxgGsAAAAJ","BIO"
12,"-6cOYcYAAAAJ","CS"
13,"-6FYTfMAAAAJ","BIO"
14,"-78feYUAAAAJ","BIO"
15,"-aQaHIoAAAAJ","BIO"
16,"-BLWw_kAAAAJ","BIO"
17,"-chjN0MAAAAJ","BIO"
18,"-cL-RwUAAAAJ","BIO"
19,"-cwEbxUAAAAJ","CS"
20,"-D2TBHUAAAAJ","BIO"
21,"-DEyRIgAAAAJ","BIO"
22,"-DfTtxgAAAAJ","CS"
23,"-Dg42W8AAAAJ","BIO"
24,"-E5k6m4AAAAJ","CS"
25,"-ERiTHkAAAAJ","BIO"
26,"-EXWOU0AAAAJ","CS"
27,"-fxI3cUAAAAJ","BIO"
28,"-GT5PAkAAAAJ","CS"
29,"-H7Y-VUAAAAJ","BIO"
30,"-had2Q8AAAAJ","BIO"
31,"-HwCwkAAAAAJ","BIO"
32,"-iLn_XwAAAAJ","BIO"
33,"-IMW-w0AAAAJ","CS"
34,"-Jbd9DsAAAAJ","CS"
35,"-jW6ADwAAAAJ","CS"
36,"-Jz7TjkAAAAJ","BIO"
37,"-LPp6oUAAAAJ","BIO"
38,"-LyegNoAAAAJ","BIO"
39,"-m5wrTkAAAAJ","CS"
40,"-MQXqOkAAAAJ","BIO"
41,"-NkxFNoAAAAJ","CS"
42,"-o3I0zUAAAAJ","BIO"
43,"-OdJO1UAAAAJ","BIO"
44,"-PWcE1YAAAAJ","CS"
45,"-PWYRzIAAAAJ","BIO"
46,"-pyztDMAAAAJ","CS"
47,"-qFHOKsAAAAJ","BIO"
