"Id","google_id","XDIndicator"
153,"11RguYAAAAAJ","XD"
154,"14K6V00AAAAJ","BIO"
155,"15XbAJIAAAAJ","CS"
156,"16posrQAAAAJ","XD"
157,"17FnXRkAAAAJ","BIO"
158,"17H27fYAAAAJ","XD"
159,"19kNRU0AAAAJ","XD"
160,"19KQ9w8AAAAJ","XD"
161,"19qSWk8AAAAJ","XD"
162,"1a17o2YAAAAJ","XD"
163,"1A9MXTkAAAAJ","XD"
164,"1Aa3qxIAAAAJ","XD"
165,"1AHBOEcAAAAJ","BIO"
166,"1aoOTPIAAAAJ","CS"
167,"1BZVKNkAAAAJ","XD"
168,"1cn60e8AAAAJ","BIO"
169,"1CR0meYAAAAJ","XD"
170,"1CtZnTMAAAAJ","XD"
171,"1ddBSr8AAAAJ","CS"
172,"1DpUSnsAAAAJ","BIO"
173,"1duOrVIAAAAJ","BIO"
174,"1fEZ_osAAAAJ","XD"
175,"1FwsujMAAAAJ","CS"
176,"1hEE9ZsAAAAJ","XD"
177,"1HYDaVIAAAAJ","XD"
178,"1h_0s3wAAAAJ","XD"
179,"1jE4flwAAAAJ","XD"
180,"1jjyaBYAAAAJ","CS"
181,"1KRXBIwAAAAJ","XD"
182,"1kTPw60AAAAJ","BIO"
183,"1kwoMp0AAAAJ","CS"
184,"1LG-V8EAAAAJ","XD"
185,"1LUuMc8AAAAJ","XD"
186,"1lvl_XYAAAAJ","XD"
187,"1l_zPXQAAAAJ","XD"
188,"1mMmqs4AAAAJ","XD"
189,"1MwNI3EAAAAJ","XD"
190,"1nr7TU0AAAAJ","XD"
191,"1NtRHc4AAAAJ","CS"
192,"1OipGrkAAAAJ","BIO"
193,"1P6HeqQAAAAJ","XD"
194,"1pRIDP4AAAAJ","CS"
195,"1q4T4E4AAAAJ","BIO"
196,"1QnCveAAAAAJ","XD"
197,"1R-Pn34AAAAJ","BIO"
198,"1RdlZvQAAAAJ","BIO"
199,"1s3GeggAAAAJ","XD"
200,"1sBMvJIAAAAJ","BIO"
201,"1sHiufgAAAAJ","XD"
202,"1SJPBDAAAAAJ","XD"
