"ID","google_id","dept","XDIndicator"
129,"0SHFWCkAAAAJ","BIO","BIO"
130,"0skgDnMAAAAJ","CS","CS"
131,"0sU4eAwAAAAJ","BIO","BIO"
132,"0tJWcp4AAAAJ","BIO","XD"
133,"0U8U6t0AAAAJ","CS","XD"
134,"0udXcCEAAAAJ","BIO","BIO"
135,"0uj4niwAAAAJ","BIO","XD"
136,"0VFi-vAAAAAJ","CS","CS"
137,"0vsEnW8AAAAJ","BIO","BIO"
138,"0vWWXXUAAAAJ","CS","XD"
139,"0VzUxIcAAAAJ","CS","CS"
140,"0w0Dy34AAAAJ","CS","CS"
141,"0XV1sFsAAAAJ","CS","CS"
142,"0XwGb10AAAAJ","BIO","BIO"
143,"0y6JDD4AAAAJ","CS","CS"
144,"0YlwI5MAAAAJ","CS","XD"
145,"0zrqo3B-66wC","CS","CS"
146,"0zVOVQ0AAAAJ","CS","XD"
147,"0zZnyMEAAAAJ","CS","CS"
148,"0_vvBZkAAAAJ","CS","CS"
149,"10HSX90AAAAJ","CS","CS"
150,"117h3CAAAAAJ","BIO","XD"
151,"11imIQsAAAAJ","BIO","BIO"
152,"11NcM2EAAAAJ","CS","CS"
153,"11RguYAAAAAJ","BIO","XD"
154,"14K6V00AAAAJ","BIO","BIO"
155,"15XbAJIAAAAJ","CS","CS"
156,"16posrQAAAAJ","CS","CS"
157,"17FnXRkAAAAJ","BIO","BIO"
158,"17H27fYAAAAJ","BIO","BIO"
159,"19kNRU0AAAAJ","CS","CS"
160,"19KQ9w8AAAAJ","BIO","BIO"
161,"19qSWk8AAAAJ","CS","CS"
162,"1a17o2YAAAAJ","BIO","BIO"
163,"1A9MXTkAAAAJ","BIO","BIO"
164,"1Aa3qxIAAAAJ","CS","XD"
165,"1AHBOEcAAAAJ","BIO","BIO"
166,"1aoOTPIAAAAJ","CS","CS"
167,"1BZVKNkAAAAJ","BIO","BIO"
168,"1cn60e8AAAAJ","BIO","XD"
169,"1CR0meYAAAAJ","CS","XD"
170,"1CtZnTMAAAAJ","BIO","BIO"
171,"1ddBSr8AAAAJ","CS","CS"
172,"1DpUSnsAAAAJ","BIO","BIO"
173,"1duOrVIAAAAJ","BIO","BIO"
174,"1fEZ_osAAAAJ","CS","CS"
175,"1FwsujMAAAAJ","CS","CS"
176,"1hEE9ZsAAAAJ","CS","XD"
177,"1HYDaVIAAAAJ","CS","CS"
178,"1h_0s3wAAAAJ","BIO","BIO"
179,"1jE4flwAAAAJ","BIO","BIO"
180,"1jjyaBYAAAAJ","CS","CS"
181,"1KRXBIwAAAAJ","CS","CS"
182,"1kTPw60AAAAJ","BIO","BIO"
183,"1kwoMp0AAAAJ","CS","CS"
184,"1LG-V8EAAAAJ","BIO","BIO"
185,"1LUuMc8AAAAJ","CS","CS"
186,"1lvl_XYAAAAJ","BIO","BIO"
187,"1l_zPXQAAAAJ","BIO","BIO"
188,"1mMmqs4AAAAJ","CS","CS"
189,"1MwNI3EAAAAJ","BIO","BIO"
190,"1nr7TU0AAAAJ","BIO","XD"
191,"1NtRHc4AAAAJ","CS","XD"
192,"1OipGrkAAAAJ","BIO","BIO"
193,"1P6HeqQAAAAJ","BIO","BIO"
194,"1pRIDP4AAAAJ","CS","CS"
195,"1q4T4E4AAAAJ","BIO","BIO"
196,"1QnCveAAAAAJ","BIO","XD"
197,"1R-Pn34AAAAJ","BIO","BIO"
198,"1RdlZvQAAAAJ","BIO","BIO"
199,"1s3GeggAAAAJ","BIO","XD"
200,"1sBMvJIAAAAJ","BIO","BIO"
201,"1sHiufgAAAAJ","BIO","BIO"
202,"1SJPBDAAAAAJ","CS","XD"
203,"1somGYUAAAAJ","BIO","XD"
204,"1T3wsnsAAAAJ","BIO","BIO"
205,"1tBxBJUAAAAJ","BIO","XD"
206,"1UbzzQcAAAAJ","BIO","XD"
207,"1UnT11UAAAAJ","BIO","BIO"
208,"1uX0rugAAAAJ","BIO","BIO"
209,"1u_MQY8AAAAJ","BIO","XD"
210,"1ve3gzYAAAAJ","BIO","BIO"
211,"1vk3NxsAAAAJ","BIO","BIO"
212,"1WIPsm0AAAAJ","BIO","XD"
213,"1wq5H9oAAAAJ","BIO","XD"
214,"1X-MOE8AAAAJ","BIO","XD"
215,"1xfwEBAAAAAJ","CS","CS"
216,"1z3mv7EAAAAJ","BIO","BIO"
217,"1zmDOdwAAAAJ","CS","XD"
218,"1zWBSKEAAAAJ","BIO","BIO"
219,"2-jY1SQAAAAJ","CS","CS"
220,"206DEM0AAAAJ","BIO","XD"
221,"22aEccUAAAAJ","BIO","XD"
222,"25pGNr8AAAAJ","BIO","XD"
223,"26h2MnAAAAAJ","CS","CS"
224,"27ytbx8AAAAJ","BIO","XD"
225,"28yZqbcAAAAJ","BIO","XD"
226,"2aMqJTgAAAAJ","CS","CS"
227,"2aSu29oAAAAJ","BIO","BIO"
228,"2Ay8qC4AAAAJ","BIO","BIO"
229,"2b1nMvgAAAAJ","CS","XD"
230,"2Bbi09MAAAAJ","BIO","BIO"
231,"2Bc3UN4AAAAJ","CS","XD"
232,"2CYhvK0AAAAJ","BIO","BIO"
233,"2C_5IhcAAAAJ","BIO","XD"
234,"2dTrwzAAAAAJ","CS","CS"
235,"2eM6GocAAAAJ","CS","CS"
236,"2ewb-10AAAAJ","CS","CS"
237,"2FbkAzYAAAAJ","CS","CS"
238,"2ftJYXMAAAAJ","CS","XD"
239,"2G1KglQAAAAJ","BIO","XD"
240,"2G5HJE0AAAAJ","BIO","BIO"
241,"2gggOEIAAAAJ","CS","CS"
242,"2hemeGMAAAAJ","CS","CS"
243,"2hg5lYIAAAAJ","CS","CS"
244,"2HR9-igAAAAJ","BIO","XD"
245,"2i7uayYAAAAJ","CS","XD"
246,"2iu5LzQAAAAJ","BIO","BIO"
247,"2i_mta4AAAAJ","CS","XD"
248,"2j4daMHxyBUC","BIO","XD"
249,"2JMaTKsAAAAJ","CS","CS"
250,"2jRpisYAAAAJ","CS","CS"
251,"2K2-QrMAAAAJ","BIO","BIO"
