"ID","google_id","dept","XDIndicator"
567,"7vK1GRIAAAAJ","CS","CS"
568,"7X0YfAcAAAAJ","BIO","XD"
569,"7xgWQEgAAAAJ","BIO","BIO"
570,"7XjL07wAAAAJ","CS","CS"
571,"7yeTclAAAAAJ","BIO","BIO"
572,"7zf7xGkAAAAJ","CS","CS"
573,"8-GYxFAAAAAJ","BIO","XD"
574,"80ILneUAAAAJ","BIO","XD"
575,"81cvn3sAAAAJ","CS","CS"
576,"83SAwBsAAAAJ","CS","CS"
577,"84WzBlYAAAAJ","CS","XD"
578,"85KkItgAAAAJ","BIO","BIO"
579,"85qG4oIAAAAJ","BIO","BIO"
580,"861FJYUAAAAJ","BIO","BIO"
581,"89vejUwAAAAJ","CS","CS"
582,"8ablIzIAAAAJ","BIO","XD"
583,"8acGhSYAAAAJ","CS","CS"
584,"8AkiZd8AAAAJ","BIO","BIO"
585,"8ArX12gAAAAJ","BIO","XD"
586,"8BlBaP0AAAAJ","BIO","BIO"
587,"8CRLlesAAAAJ","BIO","BIO"
588,"8cxDHS4AAAAJ","CS","CS"
589,"8DufNdkAAAAJ","BIO","BIO"
590,"8enm19QAAAAJ","BIO","BIO"
591,"8ExiKC0AAAAJ","CS","CS"
592,"8f8IZigAAAAJ","BIO","BIO"
593,"8Fa66PQAAAAJ","BIO","BIO"
594,"8fHNKl4AAAAJ","CS","CS"
595,"8fPm1GcAAAAJ","BIO","BIO"
596,"8fudeRAAAAAJ","CS","CS"
597,"8fztli4AAAAJ","CS","XD"
598,"8GA4R2wAAAAJ","CS","CS"
599,"8gIklOMAAAAJ","CS","CS"
600,"8I3rAqsAAAAJ","BIO","XD"
601,"8iofTEAAAAAJ","BIO","BIO"
602,"8iQk0DIAAAAJ","CS","CS"
603,"8ISuY00AAAAJ","BIO","BIO"
604,"8kA3eDwAAAAJ","CS","CS"
605,"8lkdGgsAAAAJ","CS","CS"
606,"8Lp0W54AAAAJ","CS","CS"
607,"8mHLyRoAAAAJ","CS","CS"
608,"8mi-oYYAAAAJ","CS","CS"
609,"8Mv9l1oAAAAJ","BIO","XD"
610,"8N6uFIkAAAAJ","CS","CS"
611,"8nk9k5oAAAAJ","CS","CS"
612,"8odG5jkAAAAJ","CS","CS"
613,"8OOBH04AAAAJ","CS","XD"
614,"8OYE6iEAAAAJ","CS","XD"
615,"8QGbwSIAAAAJ","BIO","XD"
616,"8Qu_gAMAAAAJ","CS","CS"
617,"8R35rCwAAAAJ","CS","CS"
618,"8rhw83wAAAAJ","BIO","XD"
619,"8rjreLIAAAAJ","CS","CS"
620,"8ro0mcwAAAAJ","BIO","XD"
621,"8rttV7kAAAAJ","CS","XD"
622,"8SIqR9kAAAAJ","BIO","BIO"
623,"8syZZBAAAAAJ","BIO","XD"
624,"8sz_AGoAAAAJ","CS","CS"
625,"8u-R4tAAAAAJ","BIO","XD"
626,"8UvpDEsAAAAJ","BIO","XD"
627,"8v1PvG1CERwC","BIO","BIO"
628,"8v3hRYcAAAAJ","BIO","BIO"
629,"8vJp_zIAAAAJ","BIO","BIO"
630,"8VkvOEEAAAAJ","CS","CS"
631,"8vsRBCgAAAAJ","BIO","BIO"
632,"8vXZpPwAAAAJ","BIO","BIO"
633,"8ys-38kAAAAJ","CS","XD"
634,"8ZpV-lkAAAAJ","CS","CS"
635,"8ZwKgNUAAAAJ","BIO","BIO"
636,"9-rUhp0AAAAJ","BIO","BIO"
637,"90qiDCwAAAAJ","CS","XD"
638,"910z20QAAAAJ","CS","XD"
639,"9177npMAAAAJ","CS","XD"
640,"92mdADUAAAAJ","CS","CS"
641,"93yNuV0AAAAJ","CS","XD"
642,"953LGdYAAAAJ","CS","CS"
643,"95xNBicAAAAJ","BIO","XD"
644,"95Z6-isAAAAJ","CS","XD"
645,"97Xv4U4AAAAJ","BIO","BIO"
646,"98iA_ooAAAAJ","CS","XD"
647,"98W28JoAAAAJ","CS","CS"
648,"99TuW7wAAAAJ","CS","CS"
649,"9AAcxvIAAAAJ","BIO","XD"
650,"9bAg9PwAAAAJ","BIO","BIO"
651,"9CC9gHoAAAAJ","BIO","BIO"
652,"9DCRnPkAAAAJ","CS","XD"
653,"9eDoldEAAAAJ","CS","CS"
654,"9Ee76gwAAAAJ","BIO","BIO"
655,"9EJnQ4IAAAAJ","BIO","XD"
656,"9EkM1A8AAAAJ","BIO","BIO"
657,"9fg4Cf4AAAAJ","BIO","BIO"
658,"9fGoifYAAAAJ","BIO","XD"
659,"9gBvN78AAAAJ","CS","CS"
660,"9H5I3iIAAAAJ","BIO","XD"
661,"9HNdszIAAAAJ","CS","CS"
662,"9hPnkXsAAAAJ","CS","CS"
663,"9hvCdiQAAAAJ","CS","CS"
664,"9INT9oQAAAAJ","BIO","XD"
665,"9j6RBYQAAAAJ","CS","CS"
666,"9jmmp5sAAAAJ","CS","CS"
667,"9K0aWCYAAAAJ","BIO","BIO"
668,"9KAjEhUAAAAJ","BIO","BIO"
669,"9kgD3pQAAAAJ","BIO","XD"
670,"9Kk7PNQAAAAJ","CS","CS"
671,"9lLUAyIAAAAJ","BIO","BIO"
672,"9m3beGEAAAAJ","CS","XD"
673,"9mIBxkMAAAAJ","CS","CS"
674,"9MSpWOUAAAAJ","CS","XD"
675,"9NkngDMAAAAJ","CS","CS"
676,"9OdHL5wAAAAJ","CS","XD"
677,"9OItN4cAAAAJ","CS","XD"
678,"9Oo_rDAAAAAJ","BIO","XD"
679,"9OukeycAAAAJ","CS","CS"
680,"9oz-dvgAAAAJ","CS","XD"
681,"9Po78a8AAAAJ","BIO","BIO"
682,"9qA78uUAAAAJ","CS","CS"
683,"9qSwlokAAAAJ","BIO","BIO"
684,"9RgqL8gAAAAJ","CS","CS"
685,"9RlvgLEAAAAJ","CS","CS"
686,"9s9o-JcAAAAJ","CS","CS"
687,"9SJZTNoAAAAJ","BIO","BIO"
688,"9t0C7nkAAAAJ","BIO","BIO"
689,"9t4BTaAAAAAJ","BIO","BIO"
690,"9UERvVEAAAAJ","CS","CS"
691,"9UtdkBgAAAAJ","BIO","BIO"
692,"9v8XpowAAAAJ","BIO","BIO"
693,"9VDFIQoAAAAJ","CS","CS"
694,"9WDXyy4AAAAJ","CS","CS"
695,"9WfDSNwAAAAJ","CS","CS"
696,"9XFx3VMAAAAJ","CS","CS"
697,"9xnCrRgAAAAJ","BIO","BIO"
698,"9Xv52PkAAAAJ","BIO","BIO"
699,"9Y2cn3EAAAAJ","CS","XD"
700,"9Yd716IAAAAJ","CS","CS"
701,"9yFBqIgAAAAJ","CS","CS"
702,"9yLaBrYAAAAJ","BIO","BIO"
703,"9Yuk3WgAAAAJ","CS","XD"
704,"9Z1pfWMAAAAJ","CS","CS"
705,"9ZGqm5QAAAAJ","CS","CS"
706,"9ZM8OlMAAAAJ","CS","XD"
707,"A-4JUL4AAAAJ","CS","XD"
708,"a-qMWpwAAAAJ","CS","XD"
709,"A0FvCDMAAAAJ","BIO","BIO"
710,"A0hv6xwAAAAJ","CS","CS"
711,"A0XsdIMAAAAJ","BIO","XD"
712,"a1ngrCIAAAAJ","CS","XD"
713,"A1NhsZgAAAAJ","BIO","BIO"
714,"a1VRT-wAAAAJ","CS","CS"
715,"A2fiOI0AAAAJ","CS","XD"
716,"A2t0N8AAAAAJ","BIO","XD"
717,"A2yKsOQAAAAJ","BIO","BIO"
718,"A45mhtsAAAAJ","CS","CS"
719,"a4jsUp4AAAAJ","BIO","XD"
720,"A4ZY-yQAAAAJ","BIO","BIO"
721,"a59MTe0AAAAJ","BIO","XD"
722,"a5eHXXsAAAAJ","BIO","BIO"
723,"A5RCBfEAAAAJ","BIO","BIO"
724,"A5XWspQAAAAJ","BIO","BIO"
725,"a6u7NTgAAAAJ","CS","CS"
726,"A7fZNg0AAAAJ","CS","CS"
727,"A7Kis4kAAAAJ","BIO","XD"
728,"a7LHl00AAAAJ","BIO","XD"
729,"a7np7i8AAAAJ","BIO","BIO"
730,"a7VNhCIAAAAJ","CS","CS"
731,"a8jIPIkAAAAJ","CS","CS"
732,"a8yWoi0AAAAJ","BIO","XD"
733,"a8ZyGisAAAAJ","CS","CS"
734,"a959F6AAAAAJ","CS","CS"
735,"A9tBw58AAAAJ","CS","CS"
736,"a9Vm1x8AAAAJ","BIO","BIO"
737,"AANigvoAAAAJ","BIO","XD"
738,"AAVrqVkAAAAJ","CS","CS"
739,"aB55FWAAAAAJ","BIO","XD"
740,"ABV6wJ4AAAAJ","BIO","BIO"
741,"acfjWDAAAAAJ","CS","CS"
742,"aCS1fQoAAAAJ","BIO","BIO"
743,"AcYJb5AAAAAJ","BIO","BIO"
744,"Ad-hkLEAAAAJ","CS","CS"
745,"AdAd4QIAAAAJ","CS","CS"
746,"adm2PjUAAAAJ","BIO","BIO"
747,"AeEgcugAAAAJ","CS","CS"
748,"aePv9fsAAAAJ","BIO","BIO"
749,"AfQipWcAAAAJ","BIO","BIO"
750,"AGNttDIAAAAJ","BIO","BIO"
751,"AH5j40kAAAAJ","CS","CS"
752,"ahCv50cAAAAJ","CS","CS"
753,"AHh8JssAAAAJ","CS","CS"
754,"AIFdovkAAAAJ","BIO","BIO"
755,"aiFvpucAAAAJ","CS","CS"
756,"aIJ6OrUAAAAJ","BIO","BIO"
757,"aiMWCUwAAAAJ","BIO","XD"
758,"aJOeGRoAAAAJ","CS","XD"
759,"aKA_hvwAAAAJ","BIO","XD"
760,"aKC3SF8AAAAJ","BIO","BIO"
761,"aKkIMogAAAAJ","CS","CS"
762,"aL6XtIUAAAAJ","BIO","XD"
763,"Al8dyb4AAAAJ","CS","CS"
764,"Alc-aWoAAAAJ","CS","CS"
765,"ALGiEhQAAAAJ","CS","CS"
766,"aLNjph8AAAAJ","BIO","BIO"
767,"aLOSzWwAAAAJ","CS","CS"
768,"AlsMV98AAAAJ","CS","XD"
769,"AlypgX0AAAAJ","BIO","XD"
770,"AmaB9c4AAAAJ","CS","CS"
771,"AMeXAmQAAAAJ","CS","CS"
772,"AMGqrI0AAAAJ","CS","CS"
773,"aN-wgXYAAAAJ","BIO","BIO"
774,"AN-_Gn8AAAAJ","BIO","BIO"
775,"aNFzP50AAAAJ","BIO","BIO"
776,"Anq5D3YAAAAJ","BIO","BIO"
777,"aNRlTa8AAAAJ","CS","XD"
778,"AOE8PAIAAAAJ","BIO","BIO"
779,"AopgnHAAAAAJ","CS","CS"
780,"aOy7jnQAAAAJ","CS","CS"
781,"aoZCW38AAAAJ","CS","CS"
782,"aP4IPIEAAAAJ","CS","CS"
783,"Ap4rtrMAAAAJ","BIO","BIO"
784,"APgaFK0AAAAJ","CS","CS"
785,"AppFY_IAAAAJ","BIO","BIO"
786,"AQ6AppgAAAAJ","CS","XD"
787,"AQA5QtAAAAAJ","CS","CS"
788,"aQCRuYQAAAAJ","CS","CS"
789,"aqV5nJ8AAAAJ","BIO","BIO"
790,"ArqLh94AAAAJ","BIO","BIO"
791,"ArV74ZMAAAAJ","CS","CS"
792,"ARW3LKEAAAAJ","CS","CS"
793,"As5Q6HEAAAAJ","BIO","BIO"
794,"asnQluQAAAAJ","BIO","BIO"
795,"AsyAUTIAAAAJ","CS","CS"
796,"AtApi_QAAAAJ","CS","CS"
797,"aTlELE8AAAAJ","BIO","BIO"
798,"ATOfqHEAAAAJ","CS","CS"
799,"aucB85kAAAAJ","CS","XD"
800,"aupjtosAAAAJ","BIO","BIO"
801,"AUQPlgcAAAAJ","BIO","BIO"
802,"aVg7BRwAAAAJ","CS","CS"
803,"avI1kmwAAAAJ","BIO","BIO"
804,"aVorcfUAAAAJ","BIO","XD"
805,"avq8-1QAAAAJ","CS","CS"
806,"Avus2kcAAAAJ","CS","CS"
807,"aWQabOQAAAAJ","CS","XD"
808,"AWU0_rQAAAAJ","CS","CS"
809,"aWZ0YN4AAAAJ","CS","CS"
810,"AxeeT2wAAAAJ","BIO","XD"
811,"AxO6eKcAAAAJ","BIO","BIO"
812,"axOnEnQAAAAJ","CS","CS"
813,"aydzTogAAAAJ","CS","CS"
814,"aYoIn9UAAAAJ","BIO","BIO"
815,"AYpm7KcAAAAJ","CS","CS"
816,"AYT3-TcAAAAJ","BIO","BIO"
817,"AzdflHYAAAAJ","BIO","BIO"
818,"AzHmOtcAAAAJ","CS","XD"
819,"aZMY6_UAAAAJ","CS","XD"
820,"azVcOOgAAAAJ","BIO","BIO"
821,"aZxSckcAAAAJ","BIO","BIO"
822,"a_50FBsAAAAJ","CS","CS"
823,"a_dbdxAAAAAJ","CS","CS"
824,"A_Fh1vgAAAAJ","BIO","XD"
825,"a_jZfPwAAAAJ","BIO","BIO"
826,"A_j_baAAAAAJ","CS","CS"
827,"a_RuArYAAAAJ","BIO","XD"
828,"b-GJ3QIAAAAJ","CS","CS"
829,"b-t2E4wAAAAJ","BIO","XD"
830,"b053OdAAAAAJ","CS","XD"
831,"b0k2tTgAAAAJ","CS","CS"
832,"b1zZKS4AAAAJ","BIO","BIO"
833,"b20J4V4AAAAJ","BIO","BIO"
834,"b2f-PjYAAAAJ","CS","CS"
835,"b2xYckIAAAAJ","BIO","BIO"
836,"B46xY4sAAAAJ","BIO","XD"
837,"B4VkeloAAAAJ","BIO","XD"
838,"B4xRvYkAAAAJ","BIO","BIO"
839,"B5NDW0EAAAAJ","BIO","XD"
840,"b7djhCMAAAAJ","BIO","BIO"
841,"b7O2JAIAAAAJ","BIO","BIO"
842,"b8cNEHwAAAAJ","CS","CS"
843,"b8foDKcAAAAJ","BIO","BIO"
844,"B8O_SVkAAAAJ","CS","CS"
845,"b9gs2WYAAAAJ","CS","CS"
846,"b9g_qDsAAAAJ","CS","CS"
847,"bAa___kAAAAJ","CS","XD"
848,"BaI7l8QAAAAJ","CS","CS"
849,"bAipNH8AAAAJ","CS","CS"
850,"Baxmj8AAAAAJ","BIO","XD"
851,"bBf6Ff4AAAAJ","BIO","XD"
852,"bbfF1OwAAAAJ","CS","CS"
853,"BbzYzsgAAAAJ","CS","XD"
854,"BbzZlWsAAAAJ","CS","XD"
855,"bcCYp-0AAAAJ","BIO","BIO"
856,"bcDwcMQAAAAJ","BIO","BIO"
857,"bCMRPogAAAAJ","BIO","XD"
858,"BCRISEEAAAAJ","CS","CS"
859,"bCTAqq4AAAAJ","CS","CS"
860,"BD8llAEAAAAJ","CS","XD"
861,"bDrA1-8AAAAJ","CS","CS"
862,"BdtB88oAAAAJ","BIO","BIO"
863,"bdUpOTQAAAAJ","CS","CS"
864,"BDYIAe4AAAAJ","CS","CS"
865,"be7puvAAAAAJ","BIO","BIO"
866,"Be8vu6sAAAAJ","BIO","BIO"
867,"beAeG20AAAAJ","CS","CS"
868,"BEEuinQAAAAJ","CS","CS"
869,"BEHcR-IAAAAJ","CS","XD"
870,"bENqhCkAAAAJ","BIO","XD"
871,"bf7u8fUAAAAJ","BIO","XD"
872,"BFE6IQwAAAAJ","CS","CS"
873,"BfF2lIkAAAAJ","BIO","XD"
874,"BFNNvUYAAAAJ","BIO","XD"
875,"bfoVtzwAAAAJ","BIO","BIO"
876,"bfTx0tAAAAAJ","BIO","XD"
877,"bgAgsb0AAAAJ","BIO","XD"
878,"BghVDhgAAAAJ","CS","CS"
879,"BGRij7sAAAAJ","BIO","XD"
880,"bh-uRFMAAAAJ","CS","XD"
881,"BhIIVrQAAAAJ","BIO","XD"
882,"bhO5bMAAAAAJ","CS","CS"
883,"BhqtmXMAAAAJ","BIO","BIO"
884,"Bi8bhC0AAAAJ","CS","CS"
885,"biuxbRsAAAAJ","CS","CS"
886,"BIvoTCoAAAAJ","BIO","XD"
887,"BJ1TE4AAAAAJ","BIO","XD"
888,"Bj5YOnYAAAAJ","CS","CS"
889,"BJAXIbQAAAAJ","CS","CS"
890,"bkKzaV8AAAAJ","BIO","BIO"
891,"bkN-YUkAAAAJ","CS","CS"
892,"bKQBZ_4AAAAJ","CS","CS"
893,"BkrB4awAAAAJ","CS","CS"
894,"bkvx_BkAAAAJ","BIO","BIO"
895,"BL7eMuQAAAAJ","BIO","BIO"
896,"Blc7qV0AAAAJ","BIO","BIO"
897,"blFs68UAAAAJ","CS","CS"
898,"blg0nusAAAAJ","BIO","XD"
899,"blwKAkUAAAAJ","CS","XD"
900,"Bm2cRI4AAAAJ","BIO","XD"
901,"Bm8_iaoAAAAJ","BIO","BIO"
902,"BMcwwBgAAAAJ","BIO","BIO"
903,"bmEAt9AAAAAJ","BIO","XD"
904,"BMlr6vkAAAAJ","BIO","BIO"
905,"BMSO3yEAAAAJ","BIO","XD"
906,"BMVESLIAAAAJ","CS","CS"
907,"BMydCgcAAAAJ","CS","CS"
908,"Bn0zSwQAAAAJ","CS","CS"
909,"bNE_Cy4AAAAJ","BIO","BIO"
910,"BNgzPLQAAAAJ","BIO","BIO"
911,"Bnnj5ScAAAAJ","BIO","XD"
912,"bnoxnFwAAAAJ","CS","CS"
913,"BnxU9TEAAAAJ","CS","XD"
914,"BO4a37QAAAAJ","BIO","BIO"
915,"BOSWyvUAAAAJ","CS","CS"
916,"Bp6tvy0AAAAJ","CS","XD"
917,"BPLNwNwAAAAJ","BIO","BIO"
918,"Bq50aCUAAAAJ","CS","XD"
919,"bqkhX54AAAAJ","CS","CS"
920,"bqlarqIAAAAJ","BIO","XD"
921,"Br2CnUYAAAAJ","CS","CS"
922,"br7IEH4AAAAJ","BIO","BIO"
923,"brdXz7oAAAAJ","BIO","XD"
924,"bRjJOrMAAAAJ","CS","CS"
925,"bRqMv80AAAAJ","BIO","BIO"
926,"BS0cWWoAAAAJ","BIO","XD"
927,"bsFxGUIAAAAJ","CS","CS"
928,"bsoRFLAAAAAJ","CS","CS"
929,"bsROXv0AAAAJ","BIO","XD"
930,"bsxzelIAAAAJ","BIO","BIO"
931,"bt2wk9EAAAAJ","CS","CS"
932,"btdnr-gAAAAJ","BIO","BIO"
933,"BteJZfwAAAAJ","BIO","XD"
934,"BtpxluIAAAAJ","CS","CS"
935,"bU3P8twAAAAJ","BIO","XD"
936,"BUJPA5QAAAAJ","CS","CS"
937,"BuqiJJwAAAAJ","BIO","BIO"
938,"BvErxkIAAAAJ","BIO","BIO"
939,"BVXyodYAAAAJ","CS","CS"
940,"BVYbQKkAAAAJ","BIO","XD"
941,"bWL2gvUAAAAJ","BIO","XD"
942,"bWTPrLEAAAAJ","CS","CS"
943,"Bwtxxf8AAAAJ","CS","XD"
944,"BXEDBDUAAAAJ","CS","CS"
945,"bxi6JXYAAAAJ","CS","CS"
946,"BXp6PIIAAAAJ","CS","CS"
947,"BY4seCsAAAAJ","BIO","BIO"
948,"bY5WiJIAAAAJ","CS","CS"
949,"BY9TLu8AAAAJ","BIO","BIO"
950,"bycRtxe_xEAC","BIO","BIO"
951,"bYI7VMwAAAAJ","CS","CS"
952,"bykS5JAAAAAJ","BIO","BIO"
953,"BzlPljQAAAAJ","BIO","BIO"
954,"bzOPvCYAAAAJ","BIO","XD"
955,"bzw5nP8AAAAJ","BIO","BIO"
956,"b_F9oVsAAAAJ","BIO","BIO"
957,"c-LG6-MAAAAJ","CS","CS"
958,"C-Vx2wIAAAAJ","BIO","BIO"
959,"c0dqLZAAAAAJ","BIO","BIO"
960,"c0yPSEYAAAAJ","CS","CS"
961,"C19mgCgAAAAJ","CS","XD"
962,"C1c54H4AAAAJ","BIO","BIO"
963,"C1CQv3YAAAAJ","BIO","BIO"
964,"C1jREowAAAAJ","BIO","BIO"
965,"C1skWKgAAAAJ","CS","XD"
966,"C1VwgssAAAAJ","CS","CS"
967,"C2k6mYwAAAAJ","CS","CS"
968,"c5HeXxsAAAAJ","CS","CS"
969,"C6DtGmMAAAAJ","CS","XD"
970,"C6Pd5zoAAAAJ","CS","CS"
971,"C7htwEIAAAAJ","CS","CS"
972,"C7T_UdYAAAAJ","BIO","XD"
973,"c8mdOEgAAAAJ","BIO","BIO"
974,"cA28Zs0AAAAJ","CS","CS"
975,"CaO1wNAAAAAJ","CS","CS"
976,"cau1NIYAAAAJ","BIO","XD"
977,"CaVJjX8AAAAJ","BIO","XD"
978,"ca_O-WQAAAAJ","BIO","BIO"
979,"CB3K5kwAAAAJ","CS","CS"
980,"CBjDcy8AAAAJ","BIO","BIO"
981,"cbQB0MMAAAAJ","CS","XD"
982,"cbTB5-EAAAAJ","CS","CS"
983,"cc4Qi_IAAAAJ","CS","CS"
984,"CcbnBvgAAAAJ","CS","XD"
985,"CCGI7x4AAAAJ","CS","CS"
986,"CD6IAXYAAAAJ","BIO","BIO"
987,"cdckpV4AAAAJ","BIO","XD"
988,"CdQUR_wAAAAJ","BIO","BIO"
989,"CE2he2MAAAAJ","BIO","BIO"
990,"CeieiIgAAAAJ","CS","CS"
991,"cF2lHxgAAAAJ","CS","CS"
992,"cF6i_goAAAAJ","CS","CS"
993,"cFbbY_gAAAAJ","BIO","XD"
994,"cfdcgXcAAAAJ","BIO","XD"
995,"CfLHDYgAAAAJ","CS","CS"
996,"CfnktjkAAAAJ","BIO","XD"
997,"cfwxm0AAAAAJ","BIO","BIO"
998,"CG36zWQAAAAJ","CS","XD"
999,"cgaU4UkAAAAJ","CS","CS"
1000,"cgBKv78AAAAJ","BIO","BIO"
1001,"CgItEbQAAAAJ","CS","CS"
1002,"CGtmFscAAAAJ","BIO","BIO"
1003,"CgwmgHoAAAAJ","BIO","BIO"
1004,"Cg_mRhMAAAAJ","BIO","BIO"
1005,"ChHokKEAAAAJ","BIO","BIO"
1006,"CHIZtZAAAAAJ","CS","XD"
1007,"ChtFYsIAAAAJ","BIO","BIO"
1008,"chwPsSIAAAAJ","BIO","BIO"
1009,"chXHpdIAAAAJ","BIO","XD"
1010,"cI-fi9MAAAAJ","BIO","XD"
1011,"ci2F0o8AAAAJ","BIO","XD"
1012,"CiBRJ_EAAAAJ","CS","CS"
1013,"CidT-JAAAAAJ","CS","CS"
1014,"CIfyNMgAAAAJ","BIO","BIO"
1015,"CIh57tYAAAAJ","CS","CS"
1016,"ciQ3dn0AAAAJ","CS","XD"
1017,"CIRxTfUAAAAJ","CS","CS"
1018,"cjkgjggAAAAJ","CS","CS"
1019,"CJKIVooAAAAJ","BIO","BIO"
1020,"CJYvcWQAAAAJ","BIO","XD"
1021,"cKi7xAcAAAAJ","BIO","BIO"
1022,"CknstQwAAAAJ","CS","CS"
1023,"cKqUsd8AAAAJ","BIO","BIO"
1024,"CKXeqHoAAAAJ","CS","CS"
1025,"CK_GLC8AAAAJ","CS","CS"
1026,"cl7CnNYAAAAJ","CS","CS"
1027,"cLb-v7gAAAAJ","CS","CS"
1028,"cLjMQqsAAAAJ","CS","CS"
1029,"CLTatQMAAAAJ","BIO","BIO"
1030,"CM2zuJkAAAAJ","BIO","BIO"
1031,"cmHtVjAAAAAJ","BIO","BIO"
1032,"Cmr9ljkAAAAJ","CS","CS"
1033,"CMrWvzUAAAAJ","BIO","BIO"
1034,"cMvo_1MAAAAJ","BIO","BIO"
1035,"CNkmfDYAAAAJ","BIO","XD"
1036,"CO7nYfIAAAAJ","CS","CS"
1037,"COE6KUgAAAAJ","CS","CS"
1038,"COjq9XUAAAAJ","CS","CS"
1039,"Col6iRsAAAAJ","BIO","BIO"
1040,"CON0HeQAAAAJ","BIO","BIO"
1041,"CONRN6AAAAAJ","BIO","XD"
1042,"COuXyKwAAAAJ","CS","CS"
1043,"CoxGqVsAAAAJ","BIO","XD"
1044,"CpBXPVoAAAAJ","CS","CS"
1045,"cpgUf6wAAAAJ","CS","CS"
1046,"CPnkYYMAAAAJ","BIO","BIO"
1047,"CPye2b4AAAAJ","BIO","BIO"
1048,"Cp_G5UwAAAAJ","BIO","XD"
1049,"cQ1P1qoAAAAJ","CS","XD"
1050,"CQcd1cQAAAAJ","CS","CS"
1051,"cQknwG0AAAAJ","BIO","BIO"
1052,"CqnnE2AAAAAJ","BIO","BIO"
1053,"CQ_6m_oAAAAJ","BIO","BIO"
1054,"cRRRBAcAAAAJ","CS","CS"
1055,"cS8AAA4AAAAJ","BIO","BIO"
1056,"CsGlDGEAAAAJ","CS","CS"
1057,"cshPl0kAAAAJ","CS","CS"
1058,"CsUhHTAAAAAJ","BIO","BIO"
1059,"ct3WjtoAAAAJ","CS","XD"
1060,"CTPwvRMAAAAJ","BIO","BIO"
1061,"CtxI-i0AAAAJ","BIO","BIO"
1062,"CTXoO1AAAAAJ","CS","CS"
1063,"CUbC2zYAAAAJ","CS","CS"
1064,"cUDoNlIAAAAJ","BIO","BIO"
1065,"CUkAtC4AAAAJ","CS","CS"
1066,"CUO0vDcAAAAJ","CS","CS"
1067,"cUssgjoAAAAJ","BIO","BIO"
1068,"CUXbme0AAAAJ","BIO","BIO"
1069,"cVeXErsAAAAJ","BIO","BIO"
1070,"cvJWY6kAAAAJ","BIO","XD"
1071,"cvK1qxAAAAAJ","BIO","BIO"
1072,"cVTdh_sAAAAJ","CS","CS"
1073,"cwa28YMAAAAJ","BIO","XD"
1074,"CwLbzcIAAAAJ","BIO","BIO"
1075,"CXAN0i0AAAAJ","CS","CS"
1076,"cxcSXXYAAAAJ","BIO","BIO"
1077,"CxKgqz0AAAAJ","CS","CS"
1078,"Cxwj5hEAAAAJ","CS","CS"
1079,"CyGvFJkAAAAJ","CS","XD"
1080,"cYmUpBQAAAAJ","BIO","BIO"
1081,"CyQYgR0AAAAJ","BIO","BIO"
1082,"cYReSuEAAAAJ","CS","CS"
1083,"CZyWk8kAAAAJ","CS","XD"
1084,"C_cWJIkAAAAJ","CS","CS"
1085,"c_hM9mAAAAAJ","BIO","XD"
1086,"d-hWatsAAAAJ","BIO","BIO"
1087,"D-n1130AAAAJ","BIO","XD"
1088,"d0JlvYAAAAAJ","BIO","BIO"
1089,"d0KQ9z0AAAAJ","CS","CS"
1090,"D0lL1r0AAAAJ","CS","CS"
1091,"d1Jk5ecAAAAJ","BIO","BIO"
1092,"d1KEK84AAAAJ","CS","CS"
1093,"D2K-ADYAAAAJ","CS","CS"
1094,"D2NdW5YAAAAJ","CS","CS"
1095,"D2P2B0MAAAAJ","CS","CS"
1096,"d33xc6kAAAAJ","BIO","BIO"
1097,"d34JIC8AAAAJ","BIO","BIO"
1098,"D3aAA1wAAAAJ","BIO","BIO"
1099,"D3JAXKsAAAAJ","BIO","BIO"
1100,"d3UtiX8AAAAJ","CS","XD"
1101,"d5HLoWUAAAAJ","BIO","XD"
1102,"d5WWJFkAAAAJ","BIO","BIO"
1103,"D6fk8zcAAAAJ","BIO","XD"
1104,"D6fp6_cAAAAJ","CS","CS"
1105,"D6ptFeMAAAAJ","CS","CS"
1106,"d7Gx1QYAAAAJ","CS","XD"
1107,"D8O1JNrl--gC","BIO","BIO"
1108,"d8YkitgAAAAJ","CS","CS"
1109,"d97bGd8AAAAJ","CS","CS"
1110,"D9trGPkAAAAJ","BIO","BIO"
1111,"D9UDlHYAAAAJ","CS","XD"
1112,"d9Y04UwAAAAJ","CS","CS"
1113,"Da-s1FQAAAAJ","CS","CS"
1114,"dACRUjgAAAAJ","CS","CS"
1115,"DaDmjMMAAAAJ","CS","CS"
1116,"DaFuSLUAAAAJ","CS","CS"
1117,"DaGZRjAAAAAJ","BIO","BIO"
1118,"Db4BCX8AAAAJ","CS","CS"
1119,"dBBs4gHgn3cC","BIO","BIO"
1120,"DbDbLZEAAAAJ","CS","XD"
1121,"DbZWZr8AAAAJ","CS","XD"
1122,"dCj_AtQAAAAJ","CS","CS"
1123,"dCWcLaUAAAAJ","BIO","BIO"
1124,"Dd4dphgAAAAJ","BIO","BIO"
1125,"DD6_7kwAAAAJ","BIO","XD"
1126,"Ddfev5kAAAAJ","CS","XD"
1127,"DdNAgNwAAAAJ","CS","CS"
1128,"DDtrs1EAAAAJ","BIO","BIO"
1129,"DDxFvcIAAAAJ","CS","CS"
1130,"deH55NMAAAAJ","BIO","XD"
1131,"DeKa-fwAAAAJ","BIO","BIO"
