"FacultyI","FacultyJ","XDIndicator"
"-had2Q8AAAAJ","nwNHXf4AAAAJ",0
"-UyfaYEAAAAJ","Lb4-GKsAAAAJ",0
"-UyfaYEAAAAJ","puOEoqoAAAAJ",0
"-YvgZDEAAAAJ","MTZaRW4AAAAJ",1
"-YvgZDEAAAAJ","MTZaRW4AAAAJ",1
"05UuCNQAAAAJ","EBnjjY8AAAAJ",0
"0RMteS0AAAAJ","hmq4rGIAAAAJ",1
"0RMteS0AAAAJ","hmq4rGIAAAAJ",1
"0VzUxIcAAAAJ","y2fSlecAAAAJ",1
"0VzUxIcAAAAJ","y2fSlecAAAAJ",1
"0y6JDD4AAAAJ","WYctQAQAAAAJ",1
"0y6JDD4AAAAJ","WYctQAQAAAAJ",1
"1s3GeggAAAAJ","sc9YppcAAAAJ",2
"1z3mv7EAAAAJ","qRAMJHgAAAAJ",0
"1z3mv7EAAAAJ","qRAMJHgAAAAJ",0
"2ftJYXMAAAAJ","ID4wZFwAAAAJ",1
"2i7uayYAAAAJ","FJ-huxgAAAAJ",1
"2i7uayYAAAAJ","FJ-huxgAAAAJ",1
"2kXsgI4AAAAJ","Zc018qEAAAAJ",1
"2oSSsLYAAAAJ","VGoSakQAAAAJ",1
"2oy3OXYAAAAJ","q_n7d6EAAAAJ",1
"30fyS8EAAAAJ","NhY4TT4AAAAJ",1
"30fyS8EAAAAJ","NhY4TT4AAAAJ",1
"30fyS8EAAAAJ","NhY4TT4AAAAJ",1
"3xIRwTgAAAAJ","aiMWCUwAAAAJ",0
"3xIRwTgAAAAJ","aiMWCUwAAAAJ",0
"3xIRwTgAAAAJ","aiMWCUwAAAAJ",0
"3_WYcR4AAAAJ","CZyWk8kAAAAJ",1
"41m5j04AAAAJ","j7WSgbwAAAAJ",1
"41m5j04AAAAJ","j7WSgbwAAAAJ",1
"41m5j04AAAAJ","j7WSgbwAAAAJ",1
"4OOz4DcAAAAJ","QKDzX08AAAAJ",0
"4uiMIaEAAAAJ","uc8_eH0AAAAJ",2
"4veQB4cAAAAJ","hKeWP2sAAAAJ",0
"4XyoYbAAAAAJ","xfwOz_kAAAAJ",1
"4XyoYbAAAAAJ","xfwOz_kAAAAJ",1
"4XyoYbAAAAAJ","HKGYvu4AAAAJ",1
"4XyoYbAAAAAJ","xfwOz_kAAAAJ",1
"4XyoYbAAAAAJ","vUDs6oEAAAAJ",2
"54w2_AcAAAAJ","usw1MV0AAAAJ",1
"56qcx4MAAAAJ","izMnGyMAAAAJ",1
"5m-oAesAAAAJ","tp07xT0AAAAJ",1
"628Jn7UAAAAJ","tI8OPH0AAAAJ",1
"6P4bGWAAAAAJ","KWiJaj8AAAAJ",1
"6P4bGWAAAAAJ","KWiJaj8AAAAJ",1
"6P4bGWAAAAAJ","KWiJaj8AAAAJ",1
"6P4bGWAAAAAJ","KWiJaj8AAAAJ",1
"6P4bGWAAAAAJ","KWiJaj8AAAAJ",1
"6P4bGWAAAAAJ","KWiJaj8AAAAJ",1
"6t7Zm4oAAAAJ","7cys8kgAAAAJ",0
"7btxQB0AAAAJ","u0BOuAsAAAAJ",1
"7btxQB0AAAAJ","u0BOuAsAAAAJ",1
"7btxQB0AAAAJ","u0BOuAsAAAAJ",1
"7btxQB0AAAAJ","u0BOuAsAAAAJ",1
"7btxQB0AAAAJ","u0BOuAsAAAAJ",1
"7btxQB0AAAAJ","u0BOuAsAAAAJ",1
"7btxQB0AAAAJ","u0BOuAsAAAAJ",1
"7eC3KMkAAAAJ","9HNdszIAAAAJ",1
"7K34d7cAAAAJ","t-VqN7sAAAAJ",1
"7lVfIWYAAAAJ","Wj4ZBFIAAAAJ",1
"7lVfIWYAAAAJ","tp07xT0AAAAJ",1
"7lVfIWYAAAAJ","5m-oAesAAAAJ",1
"7vK1GRIAAAAJ","8ExiKC0AAAAJ",1
"85KkItgAAAAJ","9EJnQ4IAAAAJ",0
"8ExiKC0AAAAJ","7vK1GRIAAAAJ",1
"8fztli4AAAAJ","D_JpQnAAAAAJ",1
"8odG5jkAAAAJ","izMnGyMAAAAJ",1
"8odG5jkAAAAJ","izMnGyMAAAAJ",1
"8odG5jkAAAAJ","izMnGyMAAAAJ",1
"8v3hRYcAAAAJ","TUgQVOYAAAAJ",0
"9bAg9PwAAAAJ","l_K1pgUAAAAJ",0
"9EJnQ4IAAAAJ","85KkItgAAAAJ",0
"9HNdszIAAAAJ","7eC3KMkAAAAJ",1
"9MSpWOUAAAAJ","TOmDIqIAAAAJ",1
"9s9o-JcAAAAJ","CZyWk8kAAAAJ",1
"9s9o-JcAAAAJ","CZyWk8kAAAAJ",1
"9s9o-JcAAAAJ","CZyWk8kAAAAJ",1
"9VDFIQoAAAAJ","gg4kYgwAAAAJ",1
"9VDFIQoAAAAJ","gg4kYgwAAAAJ",1
"9VDFIQoAAAAJ","gg4kYgwAAAAJ",1
"A1NhsZgAAAAJ","_WxLkC8AAAAJ",0
"A2fiOI0AAAAJ","sAkg9T8AAAAJ",1
"a7LHl00AAAAJ","QgGaAdsAAAAJ",0
"a7VNhCIAAAAJ","pKuBFaQAAAAJ",1
"a7VNhCIAAAAJ","pKuBFaQAAAAJ",1
"a7VNhCIAAAAJ","pKuBFaQAAAAJ",1
"A9tBw58AAAAJ","I4iKZSkAAAAJ",1
"A9tBw58AAAAJ","I4iKZSkAAAAJ",1
"A9tBw58AAAAJ","I4iKZSkAAAAJ",1
"aiMWCUwAAAAJ","3xIRwTgAAAAJ",0
"aiMWCUwAAAAJ","3xIRwTgAAAAJ",0
"aiMWCUwAAAAJ","3xIRwTgAAAAJ",0
"AppFY_IAAAAJ","EBnjjY8AAAAJ",0
"ArqLh94AAAAJ","cYmUpBQAAAAJ",0
"ArqLh94AAAAJ","cYmUpBQAAAAJ",0
"ATOfqHEAAAAJ","vX45evgAAAAJ",1
"ATOfqHEAAAAJ","vX45evgAAAAJ",1
"aucB85kAAAAJ","LYt_4uIAAAAJ",1
"axOnEnQAAAAJ","Py54GcEAAAAJ",1
"aYoIn9UAAAAJ","vqCQtQEAAAAJ",0
"aYoIn9UAAAAJ","vqCQtQEAAAAJ",0
"b053OdAAAAAJ","VFMbBPgAAAAJ",1
"b053OdAAAAAJ","Q_4d9N0AAAAJ",1
"bAa___kAAAAJ","wtZwMSgAAAAJ",1
"bAipNH8AAAAJ","Uph176YAAAAJ",1
"BbzYzsgAAAAJ","xdGKgtcAAAAJ",1
"BbzYzsgAAAAJ","xdGKgtcAAAAJ",1
"BFNNvUYAAAAJ","LAPAOIUAAAAJ",0
"BFNNvUYAAAAJ","uczqEdUAAAAJ",2
"BMcwwBgAAAAJ","NjfTEZsAAAAJ",0
"bRjJOrMAAAAJ","orHlhhQAAAAJ",1
"bWL2gvUAAAAJ","NQLfHBIAAAAJ",0
"C1VwgssAAAAJ","fIoDWp8AAAAJ",1
"CfnktjkAAAAJ","x8Cp75oAAAAJ",0
