"FacultyI","FacultyJ","XDIndicator"
"-0CQuX8AAAAJ","wKoaJ-4AAAAJ",0
"-0nYQVIAAAAJ","jv-19EoAAAAJ",0
"-0nYQVIAAAAJ","nzTXeNsAAAAJ",0
"-0nYQVIAAAAJ","jv-19EoAAAAJ",0
"-0rEuLgAAAAJ","r70ags0AAAAJ",1
"-6cOYcYAAAAJ","DqXsbPAAAAAJ",1
"-6cOYcYAAAAJ","P97vI1EAAAAJ",1
"-6cOYcYAAAAJ","Db4BCX8AAAAJ",1
"-6cOYcYAAAAJ","wCxzFrMAAAAJ",1
"-6cOYcYAAAAJ","Db4BCX8AAAAJ",1
"-6cOYcYAAAAJ","Bwtxxf8AAAAJ",1
"-6cOYcYAAAAJ","im5aMngAAAAJ",1
"-6cOYcYAAAAJ","vthMwawAAAAJ",1
"-6cOYcYAAAAJ","Db4BCX8AAAAJ",1
"-6cOYcYAAAAJ","q0MzO6cAAAAJ",1
"-6cOYcYAAAAJ","ORr4XJYAAAAJ",1
"-6cOYcYAAAAJ","s_YDrrgAAAAJ",1
"-6cOYcYAAAAJ","wCxzFrMAAAAJ",1
"-6cOYcYAAAAJ","P97vI1EAAAAJ",1
"-6FYTfMAAAAJ","uzDaznAAAAAJ",0
"-aQaHIoAAAAJ","D9trGPkAAAAJ",0
"-chjN0MAAAAJ","G4Np3c0AAAAJ",0
"-cwEbxUAAAAJ","TkayRqQAAAAJ",1
"-cwEbxUAAAAJ","TkayRqQAAAAJ",1
"-cwEbxUAAAAJ","ZCw4KcoAAAAJ",2
"-cwEbxUAAAAJ","2X5Wru0AAAAJ",2
"-cwEbxUAAAAJ","Dj3gptkAAAAJ",1
"-cwEbxUAAAAJ","TkayRqQAAAAJ",1
"-cwEbxUAAAAJ","ZCw4KcoAAAAJ",2
"-DEyRIgAAAAJ","Dd4dphgAAAAJ",0
"-DfTtxgAAAAJ","XrIr0nYAAAAJ",1
"-DfTtxgAAAAJ","t_DFZvgAAAAJ",1
"-DfTtxgAAAAJ","KzmHyt8AAAAJ",1
"-DfTtxgAAAAJ","XrIr0nYAAAAJ",1
"-fxI3cUAAAAJ","rlnRcCYAAAAJ",0
"-GT5PAkAAAAJ","QclQnxIAAAAJ",1
"-had2Q8AAAAJ","n-FCqMEAAAAJ",0
"-HwCwkAAAAAJ","CBjDcy8AAAAJ",0
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"-IMW-w0AAAAJ","TsVU8EcAAAAJ",1
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"-IMW-w0AAAAJ","TsVU8EcAAAAJ",1
"-IMW-w0AAAAJ","3_WYcR4AAAAJ",1
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"-IMW-w0AAAAJ","cA28Zs0AAAAJ",1
"-Jbd9DsAAAAJ","JoAxSpgAAAAJ",1
"-m5wrTkAAAAJ","NHZdlVkAAAAJ",1
"-m5wrTkAAAAJ","NHZdlVkAAAAJ",1
"-m5wrTkAAAAJ","NHZdlVkAAAAJ",1
"-m5wrTkAAAAJ","NHZdlVkAAAAJ",1
"-NkxFNoAAAAJ","0zrqo3B-66wC",1
"-NkxFNoAAAAJ","I-rKkyEAAAAJ",1
"-o3I0zUAAAAJ","WfGLzyAAAAAJ",0
"-o3I0zUAAAAJ","xYLmV7YAAAAJ",0
"-o3I0zUAAAAJ","xYLmV7YAAAAJ",0
"-o3I0zUAAAAJ","G-HYm8EAAAAJ",0
"-o3I0zUAAAAJ","xYLmV7YAAAAJ",0
"-o3I0zUAAAAJ","xYLmV7YAAAAJ",0
"-o3I0zUAAAAJ","xYLmV7YAAAAJ",0
"-o3I0zUAAAAJ","xYLmV7YAAAAJ",0
"-OdJO1UAAAAJ","JQWeCFAAAAAJ",0
"-OdJO1UAAAAJ","8CRLlesAAAAJ",0
"-OdJO1UAAAAJ","8CRLlesAAAAJ",0
"-OdJO1UAAAAJ","6UTCD84AAAAJ",0
"-OdJO1UAAAAJ","JQWeCFAAAAAJ",0
"-PWcE1YAAAAJ","XGiiygQAAAAJ",1
"-PWYRzIAAAAJ","Le4ScQcAAAAJ",0
"-vC_l2kAAAAJ","19kNRU0AAAAJ",1
"-vrMfNMAAAAJ","0NdRYeoAAAAJ",0
"-wT1eCwAAAAJ","5pKTRxEAAAAJ",1
"-wT1eCwAAAAJ","uSfaEgUAAAAJ",1
"-wT1eCwAAAAJ","y2pH4jcAAAAJ",1
"-wT1eCwAAAAJ","5pKTRxEAAAAJ",1
"-XpZ4fgAAAAJ","d1KEK84AAAAJ",1
"-XpZ4fgAAAAJ","Wov5tYoAAAAJ",1
"-XpZ4fgAAAAJ","Wov5tYoAAAAJ",1
"-XpZ4fgAAAAJ","d1KEK84AAAAJ",1
"-XpZ4fgAAAAJ","5wgTi1AAAAAJ",1
"-XpZ4fgAAAAJ","d1KEK84AAAAJ",1
"-XXZGEoAAAAJ","p4urLfMAAAAJ",0
"-XXZGEoAAAAJ","p4urLfMAAAAJ",0
"-XXZGEoAAAAJ","p4urLfMAAAAJ",0
"-XXZGEoAAAAJ","T3Wxu_AAAAAJ",2
"-XXZGEoAAAAJ","p4urLfMAAAAJ",0
"-XXZGEoAAAAJ","p4urLfMAAAAJ",0
"-yrzguMAAAAJ","qMOS01AAAAAJ",1
"-yrzguMAAAAJ","COjq9XUAAAAJ",1
"-yrzguMAAAAJ","qMOS01AAAAAJ",1
"-YZ5mIIAAAAJ","h_MOIUUAAAAJ",0
"-ZqZyP0AAAAJ","Iiut4KYAAAAJ",1
"008lr2cAAAAJ","KltleWgAAAAJ",1
"008lr2cAAAAJ","_h642WsAAAAJ",1
"008lr2cAAAAJ","KltleWgAAAAJ",1
"008lr2cAAAAJ","KltleWgAAAAJ",1
"00H10pgAAAAJ","85qG4oIAAAAJ",0
"00M1AqQAAAAJ","e4I7ihkAAAAJ",1
"02_kT4YAAAAJ","MA8PTRUAAAAJ",1
"05cijuQAAAAJ","V65-apsAAAAJ",0
"05cijuQAAAAJ","7BVA7tsAAAAJ",0
"05UuCNQAAAAJ","GlGy7vgAAAAJ",0
"05UuCNQAAAAJ","whhr40wAAAAJ",0
"05UuCNQAAAAJ","EBnjjY8AAAAJ",0
"05UuCNQAAAAJ","t6XVnH8AAAAJ",0
"05UuCNQAAAAJ","cmHtVjAAAAAJ",0
"078_pfUAAAAJ","Lk38PP0AAAAJ",0
"07ds-DAAAAAJ","K1cZ7SsAAAAJ",1
"07ds-DAAAAAJ","xYfYnG4AAAAJ",1
"07ds-DAAAAAJ","xYfYnG4AAAAJ",1
"07ds-DAAAAAJ","UEI2g60AAAAJ",1
"07ds-DAAAAAJ","BFE6IQwAAAAJ",1
"07ds-DAAAAAJ","AH5j40kAAAAJ",1
"07ds-DAAAAAJ","HF2G3LAAAAAJ",1
"07ds-DAAAAAJ","UEI2g60AAAAJ",1
"07ds-DAAAAAJ","AH5j40kAAAAJ",1
"07ds-DAAAAAJ","K1cZ7SsAAAAJ",1
"07ds-DAAAAAJ","BFE6IQwAAAAJ",1
"07ds-DAAAAAJ","K1cZ7SsAAAAJ",1
"07ds-DAAAAAJ","K1cZ7SsAAAAJ",1
"07ds-DAAAAAJ","xYfYnG4AAAAJ",1
"07Z4HAQAAAAJ","y-JsL4kAAAAJ",1
"07Z4HAQAAAAJ","y-JsL4kAAAAJ",1
"07Z4HAQAAAAJ","y-JsL4kAAAAJ",1
"07Z4HAQAAAAJ","y-JsL4kAAAAJ",1
"07Z4HAQAAAAJ","hDLBEhkAAAAJ",1
"07Z4HAQAAAAJ","y-JsL4kAAAAJ",1
"07Z4HAQAAAAJ","y-JsL4kAAAAJ",1
"099CBXIAAAAJ","_17pBNsAAAAJ",0
"0ahvXiEAAAAJ","SfWhUQEAAAAJ",0
"0ahvXiEAAAAJ","SfWhUQEAAAAJ",0
"0ahvXiEAAAAJ","rQ0w89cAAAAJ",0
"0ahvXiEAAAAJ","3UyNayMAAAAJ",0
"0ahvXiEAAAAJ","SfWhUQEAAAAJ",0
"0Bi5CMgAAAAJ","MwLqCs4AAAAJ",1
"0cy3s0AAAAAJ","FNXlCHUAAAAJ",0
"0cy3s0AAAAAJ","FNXlCHUAAAAJ",0
"0cy3s0AAAAAJ","FNXlCHUAAAAJ",0
"0cy3s0AAAAAJ","a7LHl00AAAAJ",0
"0dIBL4AAAAAJ","Yw2PquQAAAAJ",2
"0dIBL4AAAAAJ","Yw2PquQAAAAJ",2
"0DpK1EMAAAAJ","If_k6LgAAAAJ",1
"0ESwQagAAAAJ","nVksQusAAAAJ",0
"0fq5QeIAAAAJ","Gwd6p_8AAAAJ",1
"0fq5QeIAAAAJ","dufShEsAAAAJ",1
"0fq5QeIAAAAJ","eSYDGdsAAAAJ",1
"0fq5QeIAAAAJ","dufShEsAAAAJ",1
"0fq5QeIAAAAJ","dufShEsAAAAJ",1
"0fq5QeIAAAAJ","Gwd6p_8AAAAJ",1
"0fq5QeIAAAAJ","BMSO3yEAAAAJ",2
"0fq5QeIAAAAJ","_3qZty0AAAAJ",1
"0fq5QeIAAAAJ","puQs_pcAAAAJ",2
"0iJRaawAAAAJ","KWiJaj8AAAAJ",1
"0irVeiQAAAAJ","nst5fHgAAAAJ",1
"0irVeiQAAAAJ","w_HJY2MAAAAJ",1
"0irVeiQAAAAJ","d_rxnzAAAAAJ",1
"0irVeiQAAAAJ","jIp_uw0AAAAJ",1
"0j1TcuMAAAAJ","N_9p2rMAAAAJ",0
"0lcJYs8AAAAJ","h6jljQQAAAAJ",1
"0LS98DEAAAAJ","CHIZtZAAAAAJ",1
"0LYr5i8AAAAJ","IwkyeWgAAAAJ",0
"0OdjAAkAAAAJ","q6CI9VcAAAAJ",0
"0OdjAAkAAAAJ","q6CI9VcAAAAJ",0
"0OdjAAkAAAAJ","q6CI9VcAAAAJ",0
"0OdjAAkAAAAJ","q6CI9VcAAAAJ",0
"0oj4N0sAAAAJ","BMcwwBgAAAAJ",0
"0oj4N0sAAAAJ","G4Np3c0AAAAJ",0
"0oj4N0sAAAAJ","eCnWWmYAAAAJ",0
"0pdiFKEAAAAJ","BUJPA5QAAAAJ",1
"0qFMG6jnGtAC","DhhH9J4AAAAJ",2
"0Qr2IGwAAAAJ","eZr-ai0AAAAJ",1
"0Qr2IGwAAAAJ","eZr-ai0AAAAJ",1
"0Qr2IGwAAAAJ","iDMvmEYAAAAJ",1
"0Qr2IGwAAAAJ","eZr-ai0AAAAJ",1
"0Qr2IGwAAAAJ","eZr-ai0AAAAJ",1
"0Qr2IGwAAAAJ","iDMvmEYAAAAJ",1
"0Qr2IGwAAAAJ","iDMvmEYAAAAJ",1
