"FacultyI","FacultyJ","XDIndicator"
"sXpY0CUAAAAJ","-HwCwkAAAAAJ",0
"sflJAhgAAAAJ","-o3I0zUAAAAJ",0
"8rjreLIAAAAJ","-PWcE1YAAAAJ",1
"Wov5tYoAAAAJ","-XpZ4fgAAAAJ",1
"-YvgZDEAAAAJ","SKVnHakAAAAJ",1
"-YvgZDEAAAAJ","F9kqUXkAAAAJ",1
"-YvgZDEAAAAJ","MTZaRW4AAAAJ",1
"0-hcsnoAAAAJ","-Dg42W8AAAAJ",0
"U6OVPVMAAAAJ","00M1AqQAAAAJ",1
"Wj4ZBFIAAAAJ","00M1AqQAAAAJ",1
"Wj4ZBFIAAAAJ","uFJi3IUAAAAJ",1
"Wj4ZBFIAAAAJ","93yNuV0AAAAJ",1
"00M1AqQAAAAJ","uFJi3IUAAAAJ",1
"00M1AqQAAAAJ","93yNuV0AAAAJ",1
"uFJi3IUAAAAJ","93yNuV0AAAAJ",1
"yILa1y0AAAAJ","67aYFTQAAAAJ",1
"yILa1y0AAAAJ","02nHF0gAAAAJ",1
"67aYFTQAAAAJ","02nHF0gAAAAJ",1
"67aYFTQAAAAJ","02nHF0gAAAAJ",1
"02_kT4YAAAAJ","xe0eVksAAAAJ",1
"02_kT4YAAAAJ","xe0eVksAAAAJ",1
"05UuCNQAAAAJ","qnwjcfAAAAAJ",2
"ci2F0o8AAAAJ","0cq9zpQAAAAJ",0
"ci2F0o8AAAAJ","wYJOq-wAAAAJ",0
"0cq9zpQAAAAJ","wYJOq-wAAAAJ",0
"ci2F0o8AAAAJ","0cq9zpQAAAAJ",0
"ci2F0o8AAAAJ","wYJOq-wAAAAJ",0
"0cq9zpQAAAAJ","wYJOq-wAAAAJ",0
"0fq5QeIAAAAJ","wwkGLrcAAAAJ",1
"0fq5QeIAAAAJ","NzQu5SwAAAAJ",1
"4veQB4cAAAAJ","0fq5QeIAAAAJ",2
"4veQB4cAAAAJ","wwkGLrcAAAAJ",2
"0fq5QeIAAAAJ","wwkGLrcAAAAJ",1
"0fVKnEcAAAAJ","wjPrcoUAAAAJ",0
"0fVKnEcAAAAJ","puOEoqoAAAAJ",0
"wjPrcoUAAAAJ","puOEoqoAAAAJ",0
"YTJrQA4AAAAJ","0iJRaawAAAAJ",1
"iRaegw8AAAAJ","0sU4eAwAAAAJ",0
"0VFi-vAAAAAJ","fUTN90MAAAAJ",1
"GRGOG1AAAAAJ","0XV1sFsAAAAJ",1
"kEM42bEAAAAJ","0XV1sFsAAAAJ",1
"0YlwI5MAAAAJ","gQOKAggAAAAJ",1
"5LsAK74AAAAJ","1CtZnTMAAAAJ",0
"5LsAK74AAAAJ","1CtZnTMAAAAJ",0
"rPDABdMAAAAJ","1duOrVIAAAAJ",0
"rPDABdMAAAAJ","BGRij7sAAAAJ",0
"1duOrVIAAAAJ","BGRij7sAAAAJ",0
"1fEZ_osAAAAJ","gMQWxE0AAAAJ",1
"jJwwFLIAAAAJ","1h_0s3wAAAAJ",0
"1LUuMc8AAAAJ","e8aRmAsAAAAJ",1
"1LUuMc8AAAAJ","p2ttvlEAAAAJ",1
"e8aRmAsAAAAJ","p2ttvlEAAAAJ",1
"1LUuMc8AAAAJ","O_7MVDIAAAAJ",1
"1LUuMc8AAAAJ","e8aRmAsAAAAJ",1
"1LUuMc8AAAAJ","p2ttvlEAAAAJ",1
"O_7MVDIAAAAJ","e8aRmAsAAAAJ",1
"O_7MVDIAAAAJ","p2ttvlEAAAAJ",1
"e8aRmAsAAAAJ","p2ttvlEAAAAJ",1
"ghWKWBUAAAAJ","1mMmqs4AAAAJ",1
"1nr7TU0AAAAJ","DzHPx8IAAAAJ",0
"1nr7TU0AAAAJ","htRNTnYAAAAJ",0
"1sHiufgAAAAJ","7t7dPnwAAAAJ",0
"IrPitBgAAAAJ","1somGYUAAAAJ",0
"1WIPsm0AAAAJ","TeWDBlIAAAAJ",0
"TUgQVOYAAAAJ","E5y_8wIAAAAJ",0
"TUgQVOYAAAAJ","1WIPsm0AAAAJ",0
"E5y_8wIAAAAJ","1WIPsm0AAAAJ",0
"TUgQVOYAAAAJ","1WIPsm0AAAAJ",0
"jNUs6LsAAAAJ","1WIPsm0AAAAJ",0
"1xfwEBAAAAAJ","ND0FM6EAAAAJ",1
"2Bbi09MAAAAJ","uEC8IQQAAAAJ",0
"2Bc3UN4AAAAJ","qYcG-q0AAAAJ",1
"2Bc3UN4AAAAJ","LQ87h3sAAAAJ",1
"ElqwScwAAAAJ","2ewb-10AAAAJ",1
"ElqwScwAAAAJ","BnxU9TEAAAAJ",1
"2ewb-10AAAAJ","BnxU9TEAAAAJ",1
