"Faculty","XDIndicator","NumOfPolinator"
"0fq5QeIAAAAJ",2,1
"0IHc9DUAAAAJ",1,1
"0IHc9DUAAAAJ",1,1
"0IHc9DUAAAAJ",1,2
"0IHc9DUAAAAJ",2,1
"0iJRaawAAAAJ",1,1
"0iJRaawAAAAJ",1,1
"0iJRaawAAAAJ",1,2
"YTJrQA4AAAAJ",1,3
"YTJrQA4AAAAJ",2,1
"0iJRaawAAAAJ",1,3
"0iJRaawAAAAJ",2,1
"0iJRaawAAAAJ",1,1
"0irVeiQAAAAJ",1,13
"0irVeiQAAAAJ",2,1
"0irVeiQAAAAJ",1,3
"0IrZEuIAAAAJ",0,1
"0IrZEuIAAAAJ",2,1
"0Kl8sf4AAAAJ",0,4
"0Kl8sf4AAAAJ",2,1
"0nBysEcAAAAJ",1,2
"0nBysEcAAAAJ",1,2
"0OdjAAkAAAAJ",0,4
"0OdjAAkAAAAJ",0,3
"0oj4N0sAAAAJ",0,1
"0RMteS0AAAAJ",1,1
"0RMteS0AAAAJ",1,1
"0RMteS0AAAAJ",1,2
"0skgDnMAAAAJ",1,2
"0sU4eAwAAAAJ",0,1
"0tJWcp4AAAAJ",2,1
"0tJWcp4AAAAJ",2,1
"0udXcCEAAAAJ",0,1
"0udXcCEAAAAJ",0,1
"0udXcCEAAAAJ",0,2
"0uj4niwAAAAJ",0,3
"0uj4niwAAAAJ",0,7
"0VzUxIcAAAAJ",1,3
"0VzUxIcAAAAJ",1,2
"0VzUxIcAAAAJ",1,3
"0VzUxIcAAAAJ",1,2
"0XV1sFsAAAAJ",1,1
"0XV1sFsAAAAJ",1,2
"0y6JDD4AAAAJ",1,1
"0y6JDD4AAAAJ",1,1
"0y6JDD4AAAAJ",1,1
"0y6JDD4AAAAJ",1,1
"0y6JDD4AAAAJ",1,3
"0YlwI5MAAAAJ",1,1
"0YlwI5MAAAAJ",2,2
"0zVOVQ0AAAAJ",1,2
"0zVOVQ0AAAAJ",1,1
"0zVOVQ0AAAAJ",1,1
"0zVOVQ0AAAAJ",1,2
"0zZnyMEAAAAJ",1,3
"0zZnyMEAAAAJ",1,1
"0zZnyMEAAAAJ",2,1
"0zZnyMEAAAAJ",1,3
"0zZnyMEAAAAJ",2,1
"14K6V00AAAAJ",0,2
"14K6V00AAAAJ",0,3
"14K6V00AAAAJ",2,1
"14K6V00AAAAJ",0,1
"14K6V00AAAAJ",2,1
"17FnXRkAAAAJ",0,3
"1a17o2YAAAAJ",0,2
"1a17o2YAAAAJ",0,3
"1a17o2YAAAAJ",0,2
"1A9MXTkAAAAJ",0,4
"1A9MXTkAAAAJ",0,3
"1A9MXTkAAAAJ",2,1
"rPDABdMAAAAJ",0,4
"rPDABdMAAAAJ",2,1
"5LsAK74AAAAJ",0,4
"5LsAK74AAAAJ",2,1
"1CtZnTMAAAAJ",0,4
"1CtZnTMAAAAJ",2,1
"1DpUSnsAAAAJ",0,3
"1duOrVIAAAAJ",0,3
"1duOrVIAAAAJ",2,2
