"year","Source","Target","s_dept","t_dept"
2015,1,1027,"CS","CS"
2015,1,1945,"CS","CS"
2015,4,2111,"BIO","BIO"
2015,4,2111,"BIO","BIO"
2015,4,2284,"BIO","BIO"
2015,631,2284,"BIO","BIO"
2015,4,631,"BIO","BIO"
2015,4,2284,"BIO","BIO"
2015,5,3070,"BIO","BIO"
2015,6,3318,"CS","CS"
2015,6,148,"CS","CS"
2015,6,3635,"CS","CS"
2015,7,2989,"BIO","BIO"
2015,8,3882,"BIO","BIO"
2015,8,3882,"BIO","BIO"
2015,11,1626,"BIO","BIO"
2015,12,2651,"CS","CS"
2015,12,2651,"CS","CS"
2015,12,1181,"CS","CS"
2015,16,2206,"BIO","BIO"
2015,17,1474,"BIO","BIO"
2015,559,1474,"BIO","BIO"
2015,17,559,"BIO","BIO"
2015,17,3363,"BIO","CS"
2015,18,1482,"BIO","CS"
2015,19,1149,"CS","CS"
2015,19,2822,"CS","BIO"
2015,19,1680,"CS","CS"
2015,19,2822,"CS","BIO"
2015,20,2233,"BIO","BIO"
2015,20,2445,"BIO","BIO"
2015,20,851,"BIO","BIO"
2015,21,1866,"BIO","BIO"
2015,21,1866,"BIO","BIO"
2015,22,3822,"CS","CS"
2015,22,3318,"CS","CS"
2015,3318,3822,"CS","CS"
2015,22,3822,"CS","CS"
2015,22,3822,"CS","CS"
2015,24,4171,"CS","CS"
2015,27,2876,"BIO","BIO"
2015,27,2876,"BIO","BIO"
2015,27,2876,"BIO","BIO"
2015,33,1083,"CS","CS"
2015,34,396,"CS","CS"
2015,35,1737,"CS","CS"
2015,35,3536,"CS","CS"
2015,35,1724,"CS","CS"
2015,1737,3536,"CS","CS"
2015,1724,1737,"CS","CS"
2015,1724,3536,"CS","CS"
2015,35,3536,"CS","CS"
2015,35,3536,"CS","CS"
2015,37,437,"BIO","BIO"
2015,37,355,"BIO","BIO"
2015,37,2993,"BIO","BIO"
2015,37,1153,"BIO","BIO"
2015,1153,2993,"BIO","BIO"
2015,3363,3851,"CS","BIO"
2015,42,3851,"BIO","BIO"
2015,42,3363,"BIO","CS"
2015,42,549,"BIO","BIO"
2015,42,3851,"BIO","BIO"
2015,3363,3851,"CS","BIO"
2015,42,3851,"BIO","BIO"
2015,42,3363,"BIO","CS"
2015,3363,3851,"CS","BIO"
2015,42,3851,"BIO","BIO"
2015,42,3363,"BIO","CS"
2015,42,3851,"BIO","BIO"
2015,549,664,"BIO","BIO"
2015,664,837,"BIO","BIO"
2015,42,664,"BIO","BIO"
2015,549,837,"BIO","BIO"
2015,42,549,"BIO","BIO"
2015,42,837,"BIO","BIO"
2015,43,2157,"BIO","BIO"
2015,43,3255,"BIO","BIO"
2015,43,587,"BIO","BIO"
2015,2157,3255,"BIO","BIO"
2015,587,2157,"BIO","BIO"
2015,587,3255,"BIO","BIO"
2015,43,508,"BIO","BIO"
2015,44,3797,"CS","CS"
2015,731,3797,"CS","CS"
2015,44,731,"CS","CS"
2015,44,3797,"CS","CS"
2015,44,3776,"CS","CS"
2015,44,731,"CS","CS"
2015,731,3776,"CS","CS"
2015,46,3999,"CS","CS"
2015,3143,3243,"CS","CS"
2015,1028,3143,"CS","CS"
2015,46,3143,"CS","CS"
2015,1028,3243,"CS","CS"
2015,46,3243,"CS","CS"
2015,46,1028,"CS","CS"
2015,49,3093,"BIO","BIO"
2015,49,4082,"BIO","BIO"
2015,50,2206,"BIO","BIO"
2015,54,1944,"CS","CS"
2015,56,2173,"BIO","BIO"
2015,58,2032,"CS","CS"
2015,63,3975,"CS","CS"
2015,63,1092,"CS","CS"
2015,63,1617,"CS","CS"
2015,63,2696,"CS","CS"
2015,1092,2696,"CS","CS"
2015,63,1092,"CS","CS"
2015,64,2644,"BIO","BIO"
2015,64,2644,"BIO","BIO"
2015,67,2222,"BIO","BIO"
2015,2222,2923,"BIO","BIO"
2015,67,2923,"BIO","BIO"
2015,67,2923,"BIO","BIO"
2015,68,3393,"CS","CS"
2015,68,3393,"CS","CS"
2015,68,3393,"CS","CS"
2015,70,3736,"BIO","BIO"
2015,71,2077,"CS","CS"
2015,71,2077,"CS","CS"
2015,71,2077,"CS","CS"
2015,71,974,"CS","CS"
2015,71,2077,"CS","CS"
2015,73,1233,"CS","CS"
2015,77,1181,"CS","CS"
2015,3142,3386,"CS","CS"
2015,77,3386,"CS","CS"
2015,77,3142,"CS","CS"
2015,1181,3142,"CS","CS"
2015,77,1181,"CS","CS"
2015,77,3142,"CS","CS"
2015,80,279,"BIO","BIO"
2015,80,2103,"BIO","CS"
2015,80,279,"BIO","BIO"
2015,81,3588,"CS","CS"
2015,82,530,"BIO","BIO"
2015,85,2428,"CS","CS"
2015,85,2428,"CS","CS"
2015,85,2428,"CS","CS"
2015,85,464,"CS","CS"
2015,464,2428,"CS","CS"
2015,85,2428,"CS","CS"
2015,85,1311,"CS","CS"
2015,1311,2369,"CS","CS"
2015,85,2369,"CS","CS"
2015,87,3849,"CS","CS"
2015,87,3365,"CS","CS"
2015,87,3365,"CS","CS"
2015,872,3365,"CS","CS"
2015,2008,3365,"CS","CS"
2015,87,872,"CS","CS"
2015,87,2008,"CS","CS"
