"FacultyI","FacultyJ","XDIndicator"
"4Ts9jNQAAAAJ","kOUPR1sAAAAJ",1
"07ds-DAAAAAJ","4VJre9IAAAAJ",1
"4XyoYbAAAAAJ","xfwOz_kAAAAJ",1
"4XyoYbAAAAAJ","xfwOz_kAAAAJ",1
"4XyoYbAAAAAJ","xfwOz_kAAAAJ",1
"4XyoYbAAAAAJ","xfwOz_kAAAAJ",1
"4XyoYbAAAAAJ","xfwOz_kAAAAJ",1
"4yuKD_AAAAAJ","HriWXcEAAAAJ",1
"CZyWk8kAAAAJ","54w2_AcAAAAJ",1
"gUEkPQEAAAAJ","54w2_AcAAAAJ",1
"uSfaEgUAAAAJ","4n8JCSgAAAAJ",1
"uSfaEgUAAAAJ","55fqxgwAAAAJ",1
"uSfaEgUAAAAJ","MlZq4XwAAAAJ",1
"4n8JCSgAAAAJ","55fqxgwAAAAJ",1
"4n8JCSgAAAAJ","MlZq4XwAAAAJ",1
"55fqxgwAAAAJ","MlZq4XwAAAAJ",1
"sAkg9T8AAAAJ","5Aut7EEAAAAJ",1
"5C4hZEgAAAAJ","oAj9a-wAAAAJ",0
"5C4hZEgAAAAJ","oAj9a-wAAAAJ",0
"5C4hZEgAAAAJ","oAj9a-wAAAAJ",0
"5H0arvkAAAAJ","oY9R5YQAAAAJ",1
"5H0arvkAAAAJ","oY9R5YQAAAAJ",1
"5H0arvkAAAAJ","oY9R5YQAAAAJ",1
"5H0arvkAAAAJ","oY9R5YQAAAAJ",1
"q0nuNrEAAAAJ","5m-oAesAAAAJ",1
"EFEC_toAAAAJ","5oU0wxcAAAAJ",1
"EDC2EP0AAAAJ","628Jn7UAAAAJ",1
"EDC2EP0AAAAJ","tI8OPH0AAAAJ",1
"628Jn7UAAAAJ","tI8OPH0AAAAJ",1
"67aYFTQAAAAJ","02nHF0gAAAAJ",1
"67aYFTQAAAAJ","02nHF0gAAAAJ",1
"67aYFTQAAAAJ","02nHF0gAAAAJ",1
"67aYFTQAAAAJ","02nHF0gAAAAJ",1
"67aYFTQAAAAJ","02nHF0gAAAAJ",1
"67aYFTQAAAAJ","02nHF0gAAAAJ",1
"67aYFTQAAAAJ","02nHF0gAAAAJ",1
"6IHX8J4AAAAJ","CZyWk8kAAAAJ",1
"FJ-huxgAAAAJ","6JEDxqcAAAAJ",1
"6P4bGWAAAAAJ","YrihYtsAAAAJ",1
"KWiJaj8AAAAJ","6P4bGWAAAAAJ",1
"KWiJaj8AAAAJ","6P4bGWAAAAAJ",1
"KWiJaj8AAAAJ","YrihYtsAAAAJ",1
"6P4bGWAAAAAJ","YrihYtsAAAAJ",1
"KWiJaj8AAAAJ","6P4bGWAAAAAJ",1
"KWiJaj8AAAAJ","6P4bGWAAAAAJ",1
"KWiJaj8AAAAJ","YrihYtsAAAAJ",1
"6P4bGWAAAAAJ","YrihYtsAAAAJ",1
"6s2hs3oAAAAJ","UCiXhq4AAAAJ",1
"6t7Zm4oAAAAJ","7cys8kgAAAAJ",0
"_nyTrU0AAAAJ","6vXTtDQAAAAJ",1
"6vXTtDQAAAAJ","zHCTHbYAAAAJ",1
"6YU6_QoAAAAJ","QYqwwwcAAAAJ",1
"aydzTogAAAAJ","6_oL_9IAAAAJ",1
"zLS4alQAAAAJ","7BVA7tsAAAAJ",0
"6t7Zm4oAAAAJ","7cys8kgAAAAJ",0
"7eC3KMkAAAAJ","q_n7d6EAAAAJ",1
"7eC3KMkAAAAJ","2oy3OXYAAAAJ",1
"q_n7d6EAAAAJ","2oy3OXYAAAAJ",1
"3S5qpXsAAAAJ","7eC3KMkAAAAJ",1
"7FXtL98AAAAJ","U9bcQkMAAAAJ",1
"7j3itaMAAAAJ","zX3ba1kAAAAJ",1
"7j3itaMAAAAJ","O_7MVDIAAAAJ",1
"DqXsbPAAAAAJ","7K34d7cAAAAJ",1
"DqXsbPAAAAAJ","7K34d7cAAAAJ",1
"DqXsbPAAAAAJ","7K34d7cAAAAJ",1
"DqXsbPAAAAAJ","7K34d7cAAAAJ",1
"7kDEN7kAAAAJ","wjPrcoUAAAAJ",0
"9MSpWOUAAAAJ","CIh57tYAAAAJ",1
"9MSpWOUAAAAJ","7lVfIWYAAAAJ",1
"9MSpWOUAAAAJ","rWl0U0oAAAAJ",1
"CIh57tYAAAAJ","7lVfIWYAAAAJ",1
"CIh57tYAAAAJ","rWl0U0oAAAAJ",1
"7lVfIWYAAAAJ","rWl0U0oAAAAJ",1
"FEBziZ0AAAAJ","7PeekG0AAAAJ",0
"lmmq0XsAAAAJ","7PeekG0AAAAJ",0
"8ExiKC0AAAAJ","7vK1GRIAAAAJ",1
"7X0YfAcAAAAJ","E0GO0JkAAAAJ",2
"bAa___kAAAAJ","zdKmnYwAAAAJ",1
"bAa___kAAAAJ","81cvn3sAAAAJ",1
"zdKmnYwAAAAJ","81cvn3sAAAAJ",1
"bAa___kAAAAJ","81cvn3sAAAAJ",1
"8ExiKC0AAAAJ","7vK1GRIAAAAJ",1
"LAv0HTEAAAAJ","8fztli4AAAAJ",1
"NhnK838AAAAJ","8fztli4AAAAJ",1
"yvvjnhIAAAAJ","8GA4R2wAAAAJ",1
"yvvjnhIAAAAJ","8GA4R2wAAAAJ",1
"yvvjnhIAAAAJ","8GA4R2wAAAAJ",1
"yvvjnhIAAAAJ","8GA4R2wAAAAJ",1
"yvvjnhIAAAAJ","8GA4R2wAAAAJ",1
"yvvjnhIAAAAJ","8GA4R2wAAAAJ",1
"yvvjnhIAAAAJ","8GA4R2wAAAAJ",1
"yvvjnhIAAAAJ","8GA4R2wAAAAJ",1
"HKGYvu4AAAAJ","8Qu_gAMAAAAJ",1
"HKGYvu4AAAAJ","8Qu_gAMAAAAJ",1
"8ro0mcwAAAAJ","ezVN9NUAAAAJ",0
"TUgQVOYAAAAJ","8v3hRYcAAAAJ",0
"TUgQVOYAAAAJ","rQ0w89cAAAAJ",0
"8v3hRYcAAAAJ","rQ0w89cAAAAJ",0
"TUgQVOYAAAAJ","8v3hRYcAAAAJ",0
"8VkvOEEAAAAJ","Wj4ZBFIAAAAJ",1
"8VkvOEEAAAAJ","uFJi3IUAAAAJ",1
"8VkvOEEAAAAJ","C1skWKgAAAAJ",1
"Wj4ZBFIAAAAJ","uFJi3IUAAAAJ",1
"Wj4ZBFIAAAAJ","C1skWKgAAAAJ",1
"uFJi3IUAAAAJ","C1skWKgAAAAJ",1
"8VkvOEEAAAAJ","C1skWKgAAAAJ",1
"910z20QAAAAJ","7eC3KMkAAAAJ",1
"TkayRqQAAAAJ","910z20QAAAAJ",1
"TkayRqQAAAAJ","910z20QAAAAJ",1
"TkayRqQAAAAJ","910z20QAAAAJ",1
"910z20QAAAAJ","7eC3KMkAAAAJ",1
"gEMiMt0AAAAJ","9177npMAAAAJ",1
"Wj4ZBFIAAAAJ","93yNuV0AAAAJ",1
"Wj4ZBFIAAAAJ","e4I7ihkAAAAJ",1
"Wj4ZBFIAAAAJ","MYqlcPgAAAAJ",1
"93yNuV0AAAAJ","e4I7ihkAAAAJ",1
"93yNuV0AAAAJ","MYqlcPgAAAAJ",1
"e4I7ihkAAAAJ","MYqlcPgAAAAJ",1
"Wj4ZBFIAAAAJ","93yNuV0AAAAJ",1
"Wj4ZBFIAAAAJ","e4I7ihkAAAAJ",1
"93yNuV0AAAAJ","e4I7ihkAAAAJ",1
"EnCwNycAAAAJ","93yNuV0AAAAJ",1
"Vm3QdpkAAAAJ","9CC9gHoAAAAJ",0
"R5nkatMAAAAJ","9H5I3iIAAAAJ",0
"sxjynOsAAAAJ","9HNdszIAAAAJ",1
"UCiXhq4AAAAJ","9MSpWOUAAAAJ",1
"UCiXhq4AAAAJ","CIh57tYAAAAJ",1
"UCiXhq4AAAAJ","rWl0U0oAAAAJ",1
"9MSpWOUAAAAJ","CIh57tYAAAAJ",1
"9MSpWOUAAAAJ","rWl0U0oAAAAJ",1
"CIh57tYAAAAJ","rWl0U0oAAAAJ",1
"watx0IAAAAAJ","9MSpWOUAAAAJ",1
"6qE0tdAAAAAJ","9RlvgLEAAAAJ",1
"9Yd716IAAAAJ","FuOqWNEAAAAJ",1
"9Yd716IAAAAJ","Avus2kcAAAAJ",1
"rynvwScAAAAJ","9Yuk3WgAAAAJ",1
"rynvwScAAAAJ","Jd6nw80AAAAJ",1
"rynvwScAAAAJ","9Yuk3WgAAAAJ",1
"Jd6nw80AAAAJ","9Yuk3WgAAAAJ",1
"a-qMWpwAAAAJ","R_VPUyEAAAAJ",1
"sAkg9T8AAAAJ","A2fiOI0AAAAJ",1
"sAkg9T8AAAAJ","A2fiOI0AAAAJ",1
"lB5lqocAAAAJ","A2t0N8AAAAAJ",0
"dWVyVm4AAAAJ","A4ZY-yQAAAAJ",0
"KWez2_sAAAAJ","a6u7NTgAAAAJ",1
"t6lDgWUAAAAJ","a7np7i8AAAAJ",0
"a7VNhCIAAAAJ","e8e5qGcAAAAJ",1
"ABV6wJ4AAAAJ","eslOPdYAAAAJ",0
"aiMWCUwAAAAJ","3xIRwTgAAAAJ",0
"K70yTUsAAAAJ","aN-wgXYAAAAJ",0
"AppFY_IAAAAJ","EBnjjY8AAAAJ",0
"AppFY_IAAAAJ","EBnjjY8AAAAJ",0
"AppFY_IAAAAJ","EBnjjY8AAAAJ",0
"AppFY_IAAAAJ","EBnjjY8AAAAJ",0
"AppFY_IAAAAJ","EBnjjY8AAAAJ",0
"AppFY_IAAAAJ","Jc7sf8YAAAAJ",0
"EBnjjY8AAAAJ","Jc7sf8YAAAAJ",0
"AsyAUTIAAAAJ","CK_GLC8AAAAJ",1
"ATOfqHEAAAAJ","vX45evgAAAAJ",1
"aucB85kAAAAJ","syCMBRIAAAAJ",1
"R2isddoAAAAJ","aVorcfUAAAAJ",0
"KlnL3J8AAAAJ","AxO6eKcAAAAJ",0
"rPDABdMAAAAJ","lRTRxSIAAAAJ",0
"rPDABdMAAAAJ","b-t2E4wAAAAJ",0
"lRTRxSIAAAAJ","b-t2E4wAAAAJ",0
"rPDABdMAAAAJ","b-t2E4wAAAAJ",0
"rPDABdMAAAAJ","b-t2E4wAAAAJ",0
"b053OdAAAAAJ","fDdcWBEAAAAJ",1
"b053OdAAAAAJ","fnE2dSoAAAAJ",1
"bAa___kAAAAJ","gMaqs9cAAAAJ",1
"bAa___kAAAAJ","zdKmnYwAAAAJ",1
"gMaqs9cAAAAJ","zdKmnYwAAAAJ",1
"bAa___kAAAAJ","zdKmnYwAAAAJ",1
"bAa___kAAAAJ","zdKmnYwAAAAJ",1
"bAa___kAAAAJ","Ff6era8AAAAJ",1
