"FacultyI","FacultyJ","XDIndicator"
"kMK1IvwAAAAJ","1z3mv7EAAAAJ",0
"VizsSmEAAAAJ","ATOfqHEAAAAJ",1
"bAipNH8AAAAJ","Uph176YAAAAJ",1
"ujDhg2sAAAAJ","e8e5qGcAAAAJ",1
"ONloO5IAAAAJ","e9OxXgwAAAAJ",1
"EtRpNRAAAAAJ","55pOyCkAAAAJ",0
"vUDs6oEAAAAJ","FfqHjHoAAAAJ",0
"gWBoNCsAAAAJ","iLQqwosAAAAJ",1
"lR-CRA0AAAAJ","HBgEJU0AAAAJ",0
"lR-CRA0AAAAJ","HBgEJU0AAAAJ",0
"lR-CRA0AAAAJ","HBgEJU0AAAAJ",0
"HBi2xQkAAAAJ","xQlXXWQAAAAJ",0
"HBi2xQkAAAAJ","xQlXXWQAAAAJ",0
"_pPy-pAAAAAJ","hgOSI1EAAAAJ",1
"EFEC_toAAAAJ","KIv0fKQAAAAJ",2
"lR-CRA0AAAAJ","HBgEJU0AAAAJ",0
"lR-CRA0AAAAJ","HBgEJU0AAAAJ",0
"lR-CRA0AAAAJ","HBgEJU0AAAAJ",0
"pKuBFaQAAAAJ","rNTIQXYAAAAJ",1
"RBuoCYEAAAAJ","LQ87h3sAAAAJ",1
"RBuoCYEAAAAJ","LQ87h3sAAAAJ",1
"pKuBFaQAAAAJ","rNTIQXYAAAAJ",1
"7P3t1woAAAAJ","UF1_VRcAAAAJ",0
"7P3t1woAAAAJ","UF1_VRcAAAAJ",0
"7P3t1woAAAAJ","UF1_VRcAAAAJ",0
"ujDhg2sAAAAJ","e8e5qGcAAAAJ",1
"bAipNH8AAAAJ","Uph176YAAAAJ",1
"VBkNT98AAAAJ","vUDs6oEAAAAJ",0
"VBkNT98AAAAJ","vUDs6oEAAAAJ",0
"VizsSmEAAAAJ","ATOfqHEAAAAJ",1
"VBkNT98AAAAJ","vUDs6oEAAAAJ",0
"VBkNT98AAAAJ","vUDs6oEAAAAJ",0
"vUDs6oEAAAAJ","FfqHjHoAAAAJ",0
"VBkNT98AAAAJ","vUDs6oEAAAAJ",0
"_pPy-pAAAAAJ","hgOSI1EAAAAJ",1
