"FacultyI","FacultyJ","XDIndicator"
"Lk38PP0AAAAJ","-0CQuX8AAAAJ",0
"-0CQuX8AAAAJ","a7LHl00AAAAJ",0
"1LG-V8EAAAAJ","-0nYQVIAAAAJ",0
"mAbA6EoAAAAJ","-0nYQVIAAAAJ",0
"mAbA6EoAAAAJ","8vsRBCgAAAAJ",0
"-0nYQVIAAAAJ","8vsRBCgAAAAJ",0
"-234SKAAAAAJ","gpQ-Vh4AAAAJ",0
"-234SKAAAAAJ","RKvl6OoAAAAJ",0
"YadECXsAAAAJ","-31-oa0AAAAJ",0
"0qFMG6jnGtAC","-5LVcdsAAAAJ",0
"P97vI1EAAAAJ","-6cOYcYAAAAJ",1
"P97vI1EAAAAJ","-6cOYcYAAAAJ",1
"P97vI1EAAAAJ","-6cOYcYAAAAJ",1
"-6cOYcYAAAAJ","wCxzFrMAAAAJ",1
"-6cOYcYAAAAJ","wCxzFrMAAAAJ",1
"-6cOYcYAAAAJ","wCxzFrMAAAAJ",1
"-aQaHIoAAAAJ","0vsEnW8AAAAJ",0
"-aQaHIoAAAAJ","D9trGPkAAAAJ",0
"FXbbGUYAAAAJ","-chjN0MAAAAJ",0
"FXbbGUYAAAAJ","-chjN0MAAAAJ",0
"-cwEbxUAAAAJ","qDkQrKwAAAAJ",2
"-cwEbxUAAAAJ","Dj3gptkAAAAJ",1
"-cwEbxUAAAAJ","qDkQrKwAAAAJ",2
"2X5Wru0AAAAJ","-cwEbxUAAAAJ",2
"-cwEbxUAAAAJ","qDkQrKwAAAAJ",2
"-cwEbxUAAAAJ","qDkQrKwAAAAJ",2
"Y2HTFXAAAAAJ","-D2TBHUAAAAJ",2
"Y2HTFXAAAAAJ","PogsVkYAAAAJ",1
"-D2TBHUAAAAJ","PogsVkYAAAAJ",2
"Ff6era8AAAAJ","-D2TBHUAAAAJ",2
"AlsMV98AAAAJ","-D2TBHUAAAAJ",2
"OOLe2TIAAAAJ","-D2TBHUAAAAJ",0
"-DfTtxgAAAAJ","XrIr0nYAAAAJ",1
"-DfTtxgAAAAJ","XrIr0nYAAAAJ",1
"-DfTtxgAAAAJ","XrIr0nYAAAAJ",1
"lhVOD7kAAAAJ","-Dg42W8AAAAJ",0
"r49_E2cAAAAJ","-E5k6m4AAAAJ",1
"-fxI3cUAAAAJ","qRAMJHgAAAAJ",0
"-HwCwkAAAAAJ","kiV7yTQAAAAJ",0
"-HwCwkAAAAAJ","kiV7yTQAAAAJ",0
"0SHFWCkAAAAJ","-iLn_XwAAAAJ",0
"-iLn_XwAAAAJ","wjPrcoUAAAAJ",0
"-iLn_XwAAAAJ","OZMQ0J0AAAAJ",0
"-IMW-w0AAAAJ","TsVU8EcAAAAJ",1
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"TsVU8EcAAAAJ","CZyWk8kAAAAJ",1
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"-IMW-w0AAAAJ","TsVU8EcAAAAJ",1
"-IMW-w0AAAAJ","jLEgvnsAAAAJ",1
"-IMW-w0AAAAJ","CZyWk8kAAAAJ",1
"-IMW-w0AAAAJ","RGllVAsAAAAJ",2
"TsVU8EcAAAAJ","jLEgvnsAAAAJ",1
"TsVU8EcAAAAJ","CZyWk8kAAAAJ",1
"TsVU8EcAAAAJ","RGllVAsAAAAJ",2
"jLEgvnsAAAAJ","CZyWk8kAAAAJ",1
