"google_id","year","citations","coauthor_codes","zp","ap","tp","iXDp","PR","bf"
"-0CQuX8AAAAJ",2015,5,"-0CQuX8AAAAJ,0,2,0,0",-0.203832125530012,5,9,1,0.000148133392163329,0.25
"-0CQuX8AAAAJ",2014,19,"-0CQuX8AAAAJ,0,2",-0.230506019417022,3,8,1,0.000148133392163329,0.5
"-0CQuX8AAAAJ",2010,23,"0,0,0,-0CQuX8AAAAJ,0,0,0,0",-0.18664032751293,8,4,0,0.000148133392163329,0
"-0CQuX8AAAAJ",2015,4,"-0CQuX8AAAAJ,0,0,0",-0.207651737890307,4,9,0,0.000148133392163329,0
"-0CQuX8AAAAJ",2009,106,"NK7srJYAAAAJ,2,-0CQuX8AAAAJ,0,0,0",-0.243341320411404,6,3,1,0.000148133392163329,0.25
"-0CQuX8AAAAJ",2008,234,"0,-0CQuX8AAAAJ,0,0",-0.271121312704176,4,2,0,0.000148133392163329,0
"-0CQuX8AAAAJ",2011,40,"0,-0CQuX8AAAAJ,0,0",-0.38544641345548,4,5,0,0.000148133392163329,0
"-0CQuX8AAAAJ",2010,2,"0,-0CQuX8AAAAJ,0,0,0",-0.194434540785692,5,4,0,0.000148133392163329,0
"-0CQuX8AAAAJ",2010,6,"-0CQuX8AAAAJ,2,0,0",-0.191258678374057,4,4,1,0.000148133392163329,0.333333333333333
"-0CQuX8AAAAJ",2015,26,"0,0,2,0,-0CQuX8AAAAJ,2,0,0",-0.172321904157454,8,9,1,0.000148133392163329,0.285714285714286
"-0CQuX8AAAAJ",2007,2,"wKoaJ-4AAAAJ,-0CQuX8AAAAJ,0,0",-0.352391100032778,4,1,0,0.000148133392163329,0
"-0iKXsgAAAAJ",2011,24,"1,1,-0iKXsgAAAAJ",-0.390613385545431,3,4,0,6.454881519105e-05,0
"-0iKXsgAAAAJ",2010,7,"1,1,-0iKXsgAAAAJ",-0.190758172766247,3,3,0,6.454881519105e-05,0
"-0iKXsgAAAAJ",2009,2,"-0iKXsgAAAAJ,1",-0.259546950532797,2,2,0,6.454881519105e-05,0
"-0iKXsgAAAAJ",2010,1,"1,1,1,-0iKXsgAAAAJ,1",-0.195954314948088,5,3,0,6.454881519105e-05,0
"-0iKXsgAAAAJ",2008,21,"1,-0iKXsgAAAAJ,2",-0.282262102544233,3,1,1,6.454881519105e-05,0.5
"-0iKXsgAAAAJ",2008,37,"1,-0iKXsgAAAAJ,2",-0.279691354022974,3,1,1,6.454881519105e-05,0.5
"-0iKXsgAAAAJ",2010,6,"1,1,1,1,1,1,-0iKXsgAAAAJ,1",-0.191258678374057,8,3,0,6.454881519105e-05,0
"-0iKXsgAAAAJ",2014,4,"1,-0iKXsgAAAAJ,1",-0.250187915649292,3,7,0,6.454881519105e-05,0
"-0iKXsgAAAAJ",2013,16,"1,1,1,-0iKXsgAAAAJ,1",-0.368230944232732,5,6,0,6.454881519105e-05,0
"-0iKXsgAAAAJ",2010,4,"-0iKXsgAAAAJ,1",-0.192519851780486,2,3,0,6.454881519105e-05,0
"-0nYQVIAAAAJ",2015,4,"0,2,-0nYQVIAAAAJ,kUwCxIUAAAAJ",-0.207651737890307,4,10,1,0.000349979424459592,0.5
"-0nYQVIAAAAJ",2014,44,"0,0,0,-0nYQVIAAAAJ,0",-0.21899284817806,5,9,0,0.000349979424459592,0
"-0nYQVIAAAAJ",2010,132,"0,0,JEApEv4AAAAJ,2,AANigvoAAAAJ,0,0,0,0,-0nYQVIAAAAJ,0,0,0",-0.180222260705054,13,5,1,0.000349979424459592,0.1
"-0nYQVIAAAAJ",2013,153,"0,0,-0nYQVIAAAAJ,2",-0.331319861920702,4,8,1,0.000349979424459592,0.333333333333333
"-0nYQVIAAAAJ",2011,855,"0,0,0,0,0,2,0,0,0,jv-19EoAAAAJ,0,-0nYQVIAAAAJ,0,0",-0.353708009103811,14,6,1,0.000349979424459592,0.0833333333333333
