"year","Source","Target","s_dept","t_dept"
1985,34,2363,"CS","CS"
1985,141,1577,"CS","CS"
1985,179,627,"BIO","BIO"
1985,348,3320,"CS","CS"
1985,415,1870,"CS","CS"
1985,498,2119,"CS","CS"
1985,533,2444,"BIO","BIO"
1985,590,1856,"BIO","BIO"
1985,702,2296,"BIO","BIO"
1985,765,3853,"CS","CS"
1985,798,3467,"CS","CS"
1985,804,2486,"BIO","BIO"
1985,1739,2486,"BIO","BIO"
1985,804,1739,"BIO","BIO"
1985,831,1338,"CS","CS"
1985,847,2244,"CS","CS"
1985,847,2434,"CS","CS"
1985,847,3718,"CS","CS"
1985,849,3410,"CS","CS"
1985,1060,1234,"BIO","BIO"
1985,1098,1960,"BIO","BIO"
1985,1255,3089,"CS","CS"
1985,1283,2330,"CS","CS"
1985,411,1335,"BIO","BIO"
1985,1402,3570,"BIO","BIO"
1985,1526,2639,"BIO","BIO"
1985,1549,3711,"BIO","BIO"
1985,1596,1814,"CS","CS"
1985,834,1694,"CS","CS"
1985,1721,2217,"CS","CS"
1985,1754,3262,"CS","CS"
1985,1844,2898,"CS","CS"
1985,83,1904,"BIO","BIO"
1985,2415,2486,"BIO","BIO"
1985,2546,3536,"CS","CS"
1985,2608,2837,"BIO","BIO"
1985,2640,4069,"CS","CS"
1985,2697,2729,"BIO","BIO"
1985,2699,3352,"CS","CS"
1985,2879,3875,"CS","CS"
1985,2948,4018,"CS","BIO"
1985,3042,3593,"BIO","BIO"
1985,735,3073,"CS","CS"
1985,2170,3304,"CS","CS"
1985,557,3370,"BIO","BIO"
1985,2596,3512,"CS","CS"
1985,2330,3826,"CS","CS"
1985,3669,4060,"BIO","BIO"
1985,500,4122,"CS","CS"
