"year","Source","Target","s_dept","t_dept"
2010,174,1371,"CS","CS"
2010,177,945,"CS","CS"
2010,181,731,"CS","CS"
2010,185,2214,"CS","CS"
2010,187,627,"BIO","BIO"
2010,189,2000,"BIO","BIO"
2010,199,2333,"BIO","BIO"
2010,777,3928,"CS","CS"
2010,202,777,"CS","CS"
2010,777,2625,"CS","CS"
2010,777,3997,"CS","BIO"
2010,202,3928,"CS","CS"
2010,2625,3928,"CS","CS"
2010,3928,3997,"CS","BIO"
2010,202,2625,"CS","CS"
2010,202,3997,"CS","BIO"
2010,2625,3997,"CS","BIO"
2010,203,3673,"BIO","BIO"
2010,205,228,"BIO","BIO"
2010,206,3579,"BIO","CS"
2010,212,1961,"BIO","BIO"
2010,769,2252,"BIO","BIO"
2010,213,2252,"BIO","BIO"
2010,213,769,"BIO","BIO"
2010,214,1941,"BIO","BIO"
2010,219,822,"CS","CS"
2010,219,755,"CS","CS"
2010,755,3974,"CS","CS"
2010,219,3974,"CS","CS"
2010,220,1300,"BIO","BIO"
2010,220,1478,"BIO","BIO"
2010,220,3047,"BIO","BIO"
2010,221,3426,"BIO","BIO"
2010,225,2648,"BIO","BIO"
2010,229,644,"CS","CS"
2010,231,2898,"CS","CS"
2010,231,984,"CS","CS"
2010,984,2898,"CS","CS"
2010,232,1463,"BIO","BIO"
2010,232,426,"BIO","BIO"
2010,1362,3262,"CS","CS"
2010,3262,3765,"CS","CS"
2010,235,3262,"CS","CS"
2010,3262,3822,"CS","CS"
2010,2077,3262,"CS","CS"
2010,859,3262,"CS","CS"
2010,1318,3262,"CS","CS"
2010,71,3262,"CS","CS"
2010,3262,3318,"CS","CS"
2010,1362,3765,"CS","CS"
2010,235,1362,"CS","CS"
2010,1362,3822,"CS","CS"
2010,1362,2077,"CS","CS"
2010,859,1362,"CS","CS"
2010,1318,1362,"CS","CS"
2010,71,1362,"CS","CS"
2010,1362,3318,"CS","CS"
2010,235,3765,"CS","CS"
2010,3765,3822,"CS","CS"
2010,2077,3765,"CS","CS"
2010,859,3765,"CS","CS"
2010,1318,3765,"CS","CS"
2010,71,3765,"CS","CS"
2010,3318,3765,"CS","CS"
2010,235,3822,"CS","CS"
2010,235,2077,"CS","CS"
2010,235,859,"CS","CS"
2010,235,1318,"CS","CS"
2010,71,235,"CS","CS"
2010,235,3318,"CS","CS"
2010,2077,3822,"CS","CS"
2010,859,3822,"CS","CS"
2010,1318,3822,"CS","CS"
2010,71,3822,"CS","CS"
2010,3318,3822,"CS","CS"
2010,859,2077,"CS","CS"
2010,1318,2077,"CS","CS"
2010,71,2077,"CS","CS"
2010,2077,3318,"CS","CS"
2010,859,1318,"CS","CS"
2010,71,859,"CS","CS"
2010,859,3318,"CS","CS"
2010,71,1318,"CS","CS"
2010,1318,3318,"CS","CS"
2010,71,3318,"CS","CS"
2010,1362,3858,"CS","CS"
2010,235,3858,"CS","CS"
2010,235,3595,"CS","CS"
2010,753,1362,"CS","CS"
2010,235,753,"CS","CS"
2010,1362,3595,"CS","CS"
2010,237,2433,"CS","CS"
2010,237,1364,"CS","CS"
2010,238,1066,"CS","CS"
2010,238,1293,"CS","CS"
2010,1066,3850,"CS","CS"
2010,1114,3850,"CS","CS"
2010,238,3850,"CS","CS"
2010,1066,1114,"CS","CS"
2010,238,1114,"CS","CS"
2010,1066,2310,"CS","CS"
2010,238,2310,"CS","CS"
2010,243,2379,"CS","CS"
2010,245,2178,"CS","BIO"
2010,245,3809,"CS","BIO"
2010,249,2950,"CS","CS"
2010,249,3160,"CS","CS"
2010,2950,3160,"CS","CS"
2010,253,2093,"CS","CS"
2010,253,751,"CS","CS"
2010,256,1883,"CS","CS"
2010,256,1617,"CS","CS"
2010,256,4028,"CS","CS"
2010,256,3077,"CS","CS"
2010,257,1180,"BIO","BIO"
2010,260,344,"BIO","BIO"
2010,263,1953,"CS","CS"
2010,263,1028,"CS","CS"
2010,265,1743,"BIO","BIO"
2010,1743,1972,"BIO","BIO"
2010,265,1972,"BIO","BIO"
2010,266,3776,"CS","CS"
2010,267,2546,"CS","CS"
2010,267,476,"CS","CS"
2010,268,747,"CS","CS"
2010,268,1942,"CS","CS"
2010,658,2518,"BIO","BIO"
2010,269,2518,"CS","BIO"
2010,269,658,"CS","BIO"
2010,658,3407,"BIO","BIO"
2010,269,3407,"CS","BIO"
2010,1122,3907,"CS","CS"
2010,271,1122,"CS","CS"
2010,271,3907,"CS","CS"
2010,273,1589,"CS","CS"
2010,274,1495,"CS","CS"
2010,279,469,"BIO","BIO"
2010,279,2424,"BIO","BIO"
2010,469,2424,"BIO","BIO"
2010,284,4062,"CS","CS"
2010,1014,1265,"BIO","BIO"
2010,287,1265,"BIO","BIO"
2010,287,1014,"BIO","BIO"
2010,289,4053,"CS","CS"
2010,289,1221,"CS","CS"
2010,1221,4053,"CS","CS"
2010,289,712,"CS","CS"
2010,290,2334,"CS","CS"
2010,290,1684,"CS","CS"
2010,1662,4043,"CS","CS"
2010,291,1662,"CS","CS"
2010,291,4043,"CS","CS"
2010,946,1652,"CS","CS"
2010,294,1652,"CS","CS"
2010,294,946,"CS","CS"
2010,296,1739,"BIO","BIO"
2010,300,2190,"CS","CS"
2010,1796,2190,"CS","CS"
2010,300,1796,"CS","CS"
2010,300,2691,"CS","CS"
2010,304,3047,"BIO","BIO"
2010,305,3893,"CS","CS"
