"source","destination"
23,1263
30,962
34,2363
54,500
57,2166
57,2746
74,2153
83,1265
95,711
95,3105
101,1016
106,1558
108,804
128,1694
141,1577
143,699
174,2702
178,3865
179,627
191,633
216,2876
216,817
228,1787
237,3422
245,1417
264,1479
268,2032
269,3519
271,536
307,1571
308,3547
332,2765
337,2217
339,2120
347,757
348,2502
348,3320
353,1083
354,1888
371,1999
378,3168
378,1694
379,3429
380,3422
382,213
387,2584
389,628
401,3786
411,2746
415,1870
448,1008
470,3235
487,2596
498,2119
500,2921
500,3476
500,1947
500,54
505,533
510,2059
513,1227
529,3325
533,505
533,1611
536,271
537,3530
538,2356
550,2412
550,443
550,3668
550,504
578,655
581,908
581,1577
584,2552
590,1856
597,1219
606,3014
612,1870
628,3299
628,389
633,191
655,578
686,1083
693,1523
699,143
702,2296
705,2631
708,3944
711,3105
711,95
716,1843
718,3668
718,3731
718,1593
728,2834
730,2702
735,1761
740,1492
765,3853
790,1080
798,3467
798,3587
804,1289
812,2760
814,3553
817,216
817,2876
831,1338
831,1213
834,2596
847,3718
847,2214
847,2481
847,1084
849,3410
859,1558
860,1923
880,2489
880,2528
889,1515
891,392
891,2804
902,2440
908,1577
908,581
913,2685
913,1397
942,3028
942,3574
962,30
966,2640
966,4069
996,3755
1008,448
1016,101
1043,3582
1043,2252
1043,1802
1060,1234
1080,790
1083,353
1084,847
1092,3944
1098,1960
1113,3014
1117,1751
1121,2252
1125,3957
1144,3423
1153,3348
1177,3062
1178,2236
1178,1455
1204,1489
1205,1480
1211,2305
1213,831
1215,2609
1227,513
1237,2347
1237,1359
1240,3299
1251,640
1255,3089
1263,23
1265,83
1273,3235
1273,470
1283,3066
1283,2330
1289,804
1295,401
1308,628
1322,1667
1322,3545
1322,1580
1338,831
1349,2267
1373,1533
1397,913
1402,3570
1405,2760
1417,245
1449,2333
1455,1178
1462,708
1464,1783
1480,3534
1480,1205
1489,1204
1492,3788
1492,740
1497,1870
1508,1778
1526,2639
1549,3317
1550,3570
1550,3163
1555,2717
1558,3754
1558,1888
1558,106
1568,3098
1574,4116
1577,908
1577,581
1577,2275
1580,1322
1588,686
1588,1083
1590,2904
1593,2921
1593,1634
1593,718
1596,500
1596,2921
1596,3476
1599,3015
1601,2332
1605,2022
1611,533
1633,3631
1634,2951
1634,2921
1634,3393
1634,2332
1644,2222
1645,3819
1668,2584
1668,387
1694,834
1694,128
1694,378
1721,2217
1722,2252
1728,2275
1739,2486
1751,1117
1754,3384
1778,1508
1779,3034
1783,1464
1785,817
1789,3429
1826,3076
1838,3771
1843,716
1843,708
1856,590
1870,415
1870,1497
1870,612
1871,2765
1876,3484
1880,3800
1880,2434
1894,2179
1904,83
1911,3869
1923,860
1947,500
1955,3921
1955,1397
1960,1098
1969,3426
1982,2656
1982,231
1990,3122
1990,4187
1999,371
2018,2905
2032,2244
2047,2417
2059,510
2059,3028
2059,3481
2105,2486
2109,3969
2109,2799
2119,498
2122,2574
2127,4069
2131,3425
2153,74
2161,2545
2163,3245
2163,1322
2163,3375
2163,3743
2166,57
2166,2746
2170,3921
2187,3494
2214,4139
2214,847
2217,337
2217,1721
2217,3835
2222,3920
2222,1644
2236,1178
2236,3028
2244,2032
2245,2486
2245,2105
2252,3582
2252,1043
2252,1722
2256,799
2267,1349
2272,3157
2275,1728
2275,1577
2290,3586
2306,1113
2330,2217
2330,3826
2330,1283
2330,3422
2332,1601
2333,1449
2356,538
2363,34
2369,2434
2369,3800
2369,3933
2399,1816
2399,1455
2412,4079
2412,3352
2412,550
2412,3668
2415,2486
2417,2369
2422,3233
2434,3933
2434,2369
2434,3393
2440,902
2452,2683
2481,847
2485,2596
2486,1739
2486,2105
2486,2415
2528,2538
2538,2528
2545,2161
2546,3536
2550,2798
2552,584
