"source","destination"
1,3575
1,712
2,2445
2,3673
4,1917
4,737
6,2931
7,2989
8,1306
8,1480
11,104
12,1118
12,3641
12,2651
15,137
15,3785
15,3593
15,1683
15,632
17,3291
18,1482
18,2238
19,3245
19,293
19,3707
19,3424
19,1028
19,3611
20,1654
20,281
21,1124
24,1427
24,338
24,2835
24,3777
27,2082
27,2876
27,2265
28,2815
30,2376
30,2660
30,3110
31,1531
31,265
31,2527
32,129
32,3216
32,977
32,1010
32,2922
32,528
32,2628
33,1083
33,1037
33,3292
33,353
33,974
34,1959
35,480
35,1737
35,1724
35,444
35,3730
37,289
39,2435
39,598
39,1185
39,3211
40,3099
40,74
41,145
41,598
41,1754
41,1220
41,3384
42,3851
42,3234
42,3363
42,2801
42,2497
42,585
42,1961
42,1485
43,1975
43,1722
43,1542
43,1954
44,1571
44,4103
44,1036
44,1281
44,2364
44,1631
44,351
44,403
44,307
45,2929
45,2703
45,2340
46,3727
46,604
46,3974
46,1181
47,4137
49,2624
49,3298
49,1535
49,1791
50,80
51,3445
54,500
55,2021
55,1081
56,2173
56,419
58,253
58,159
58,3365
58,413
60,453
60,3871
60,2602
60,3422
63,1092
63,844
63,1860
63,463
63,3690
63,4062
64,2644
64,1234
64,3412
64,2111
64,3711
64,935
65,2418
65,2858
65,2966
65,1549
66,1311
67,2401
67,3664
69,1570
69,2366
69,3750
70,2181
70,1535
70,3736
70,49
71,4022
71,3262
71,1362
71,3765
71,235
71,3822
71,2077
71,859
71,1318
71,3318
71,321
71,2620
71,4153
71,1473
71,2717
73,1233
73,3668
73,641
73,3544
73,3949
73,2093
73,145
73,1821
73,3085
73,3770
74,3463
74,2847
76,2178
76,3809
76,2461
76,3170
76,3791
76,3492
76,623
77,513
78,485
78,2059
78,3481
78,278
79,23
80,2380
80,2419
80,3710
81,646
82,3019
82,1639
82,2252
82,2628
82,2764
83,1977
83,3700
83,1265
83,2863
83,3957
84,1961
85,3448
86,3336
86,2923
86,660
86,1358
86,3225
87,3790
87,2189
87,1694
87,3849
87,872
87,1592
87,772
87,2008
87,3095
87,3365
87,751
87,2093
87,2044
88,913
88,3029
88,3873
88,3861
88,2615
88,294
89,4125
91,2661
91,4010
91,336
91,3096
92,2364
94,1363
94,1011
94,3734
94,3741
94,2468
95,2208
95,728
95,1438
95,2367
97,3968
98,4055
98,1988
98,1794
100,2482
101,2501
101,1196
101,1532
101,2719
101,1331
102,1879
102,2406
103,579
105,2151
105,1143
107,1220
107,3182
107,1378
107,1599
107,2741
107,3731
109,2504
111,2521
111,2996
113,1692
114,4066
114,2867
114,1634
114,3588
114,2078
114,3028
114,338
114,2640
114,351
115,1006
116,1856
117,1625
117,444
117,3369
118,4182
118,2764
118,1570
119,2792
119,2110
120,1956
120,551
120,902
120,2440
120,2366
121,4008
121,1378
121,2370
121,936
122,919
122,1954
122,2614
124,1354
124,1118
124,1759
124,1782
128,2285
128,3487
129,32
135,2222
135,3954
135,2252
135,2475
135,2232
135,3107
135,3997
135,3895
135,2764
135,2719
135,1035
135,447
136,2868
136,181
136,1224
136,666
136,3057
136,1934
136,2489
136,1090
137,2173
137,2837
137,15
137,2843
138,4048
139,1418
139,897
140,1491
141,156
141,1622
143,1062
143,1015
143,2783
143,2334
144,370
144,1358
144,1574
144,1567
144,2138
145,2093
145,1821
145,41
146,3624
146,3725
147,1109
147,2438
147,3635
147,1527
147,3853
147,1400
148,2709
148,2774
148,733
148,3191
148,1891
148,337
149,598
149,3967
150,3631
152,1965
152,2186
153,2986
153,2841
153,1547
153,3265
153,3064
153,2666
153,1833
153,1829
153,2840
156,786
156,3144
156,1220
156,3064
158,850
159,339
159,2032
159,253
159,58
159,2120
159,3365
160,2841
161,3144
161,3143
161,510
162,2382
162,2919
162,920
162,1719
163,2472
164,4021
164,235
167,2713
167,3515
167,1337
169,2252
169,2147
169,1296
169,2295
169,3363
169,304
169,2232
169,585
169,2384
169,3151
169,839
169,535
170,2616
170,2669
170,224
172,3026
174,1371
174,493
177,786
177,945
177,1891
179,2070
179,3699
181,1423
181,351
181,500
181,731
181,2868
181,1631
185,2214
187,627
189,2000
190,2974
199,655
199,2626
199,2333
202,777
202,1812
202,2179
202,3928
202,2625
202,3997
203,3349
203,1816
203,3027
203,3673
203,1713
205,3363
205,228
206,3579
206,1853
208,3075
208,3000
208,2938
209,3430
212,3216
212,1099
212,1961
212,2673
212,1357
212,389
213,2252
213,769
214,2192
214,286
214,1941
217,847
219,755
219,3974
219,822
219,598
219,1062
220,1300
220,1478
220,3047
221,3426
222,229
222,395
224,3997
224,170
225,2648
228,205
229,2528
229,3992
229,2179
229,644
230,3361
231,2898
231,984
231,2217
232,1463
232,426
233,911
235,1362
235,753
235,3262
235,3765
235,3822
235,2077
235,859
235,1318
235,71
235,3318
235,3595
235,3858
235,1592
235,772
235,2136
235,164
235,2428
236,3697
236,3029
236,968
237,2433
237,812
237,1364
237,3184
237,3893
237,2217
238,1066
238,1293
238,339
238,3850
238,1114
238,2310
239,1722
239,3255
240,434
240,1456
242,907
242,3224
243,2379
243,471
244,1420
244,2628
244,3005
244,2057
244,929
245,2178
245,3809
246,1091
249,2950
249,3160
249,374
253,58
253,1712
253,159
253,2093
253,751
256,4028
256,1486
256,3077
256,1617
256,1883
256,676
257,4027
257,2232
257,1180
258,447
260,344
260,1917
263,3143
263,510
263,1028
263,1953
263,3880
265,1205
265,3957
265,1007
265,1743
265,557
265,2527
265,1972
266,3776
266,351
267,3182
267,2546
267,476
268,747
268,892
268,1942
269,2518
269,658
269,3436
269,3311
269,3407
269,3519
269,2426
269,1719
271,1109
271,2566
271,1175
271,3977
271,1122
271,3907
273,1589
273,1225
273,3182
273,607
273,1628
274,1495
274,3800
274,646
274,2779
274,1509
274,3889
274,842
278,2155
278,2835
278,3777
278,2797
278,3659
278,3481
278,78
279,1064
279,2993
279,3265
279,3094
279,3657
279,2278
279,2861
279,2227
279,469
279,2424
280,2863
281,4101
281,2584
281,20
282,2591
284,4062
285,485
285,3144
286,2192
286,214
287,1265
287,1014
289,1662
289,3541
289,2346
289,3371
289,1821
289,1221
289,4053
289,3175
289,4066
289,2586
289,37
289,712
290,1684
290,2334
290,3938
291,1662
291,4043
291,2032
291,2244
291,4064
293,19
293,3611
294,1652
294,946
294,3873
294,88
294,913
294,1840
296,1739
299,1145
299,839
299,3160
299,2950
299,374
299,3606
299,1392
300,2190
300,1796
300,2691
300,457
300,619
300,3189
300,3790
300,3232
300,648
301,1658
301,4054
301,992
302,1113
304,3630
304,3353
304,3047
305,513
305,2925
305,2386
305,3893
307,403
307,1571
307,619
307,1249
307,44
307,468
307,3790
307,457
307,1372
307,1325
307,1036
307,351
307,3189
307,2282
308,1738
309,3745
310,2514
313,1522
315,612
317,3622
317,3284
317,1658
319,3584
320,3038
321,2620
321,3318
321,3822
321,71
321,2136
323,501
323,1719
326,758
326,1429
326,3568
328,2020
331,3640
331,1625
331,1560
332,3394
335,1893
336,91
337,1891
337,2774
337,3635
337,3565
337,3872
337,148
337,1939
338,24
338,769
338,3853
338,942
338,114
338,4141
338,1249
339,2032
339,159
339,3125
339,1902
339,2134
339,2332
339,2112
339,974
339,2287
339,2502
340,1936
344,691
344,3116
345,4032
345,3034
345,3680
345,1744
345,2483
345,1430
345,3977
345,4019
346,4071
346,1121
346,3503
347,757
347,1010
348,1713
349,1923
349,2445
350,2094
350,3802
350,1415
351,1423
351,181
351,44
351,2428
351,1036
351,2640
351,114
351,1628
351,1372
351,307
351,1631
351,2691
351,731
351,500
351,3586
352,2968
352,3916
353,4087
353,3541
353,2533
353,2182
353,3752
353,993
353,712
353,974
353,33
353,3292
353,1083
353,3747
355,3225
358,2573
359,2720
359,3176
360,872
360,1225
360,1635
360,1291
360,476
361,672
361,3516
362,1358
364,1428
366,3829
366,969
367,476
367,3351
368,2859
369,829
370,144
373,3864
374,3160
374,3606
374,2950
374,249
374,2166
374,299
375,1622
376,433
376,3802
376,22
376,1919
376,1939
378,4079
378,3442
379,1996
379,3072
380,3422
380,410
381,2643
381,4083
381,1092
381,63
382,2919
382,2500
382,3430
382,1174
382,3754
382,1575
382,2252
384,2431
384,958
384,3230
385,4165
385,2392
385,2825
385,854
385,1441
387,646
387,4101
387,898
387,2584
387,851
387,1774
387,2963
388,2082
388,2252
388,1532
388,2887
389,1644
391,3443
391,3590
391,2772
391,1247
391,1490
393,229
395,222
395,229
395,2926
395,2501
395,2475
395,2618
396,2707
396,553
397,3792
397,848
397,646
397,3935
397,1027
397,1220
398,2812
398,929
399,3211
399,1652
399,1534
399,2533
399,3143
399,1442
399,2201
399,867
399,974
399,2404
399,2032
399,3125
401,3786
401,3730
402,3074
402,2576
403,468
403,307
403,1372
403,2213
403,44
404,458
405,1337
407,1623
407,1411
407,3622
407,317
407,1206
407,3519
407,526
407,2426
407,1658
407,2775
408,294
408,3873
408,1561
408,4087
408,1642
409,1220
410,633
411,1480
412,3258
412,1961
412,1357
413,3638
413,58
415,982
415,1870
415,2704
415,3921
416,560
416,1083
416,2748
418,2617
418,751
419,1086
419,56
421,1117
422,2061
422,1533
422,429
422,3365
422,2358
422,2334
423,816
423,691
423,3994
425,3492
425,1099
425,762
426,232
426,1825
426,3202
426,1463
426,929
429,2061
429,422
431,3545
431,1173
431,2423
433,22
433,984
433,376
433,1919
433,3445
433,3802
433,1422
433,1801
434,1456
434,240
436,3624
437,4110
437,2834
438,2500
438,1174
439,1965
439,908
439,2654
443,3024
443,3471
443,3590
443,4031
443,4120
443,1066
443,1114
443,2310
443,1641
444,1509
444,2156
444,2233
444,2844
444,3670
444,2672
444,1724
444,2875
444,3999
444,117
444,35
444,1737
444,3730
444,3536
447,258
447,3954
447,135
448,1008
448,2854
448,3058
449,1006
449,2704
449,3939
450,1228
451,4085
451,4134
451,907
452,846
453,3804
453,3977
453,2760
453,3430
453,60
453,3422
453,3871
453,3639
453,2330
453,2871
453,633
453,2952
453,2217
454,1523
454,3467
454,3988
455,3024
455,1027
455,583
455,3754
455,2483
455,3753
455,3960
456,4028
456,3183
456,3584
456,1883
456,772
456,4021
456,553
456,4073
457,300
457,307
457,4055
457,1847
458,4104
458,847
458,1129
458,712
458,2426
458,2244
458,3527
458,3122
458,1461
458,404
459,4055
459,3214
459,2323
459,3960
462,1672
464,2428
464,594
466,1744
468,403
468,2213
468,1325
468,307
468,3232
468,3015
469,2424
469,279
470,2521
470,3235
471,243
471,2379
473,2747
474,1819
474,3363
474,3850
475,2984
476,1225
476,1635
476,3980
476,1702
476,3182
476,1571
476,267
476,3449
476,360
477,1664
479,4008
479,2796
480,3730
480,35
480,2303
481,1955
481,784
481,1018
481,1705
481,3275
481,3309
483,3883
485,1915
485,991
485,3144
485,2059
485,2586
485,3611
485,3360
485,2640
485,78
485,3445
485,3028
485,2797
485,285
486,1247
486,3034
486,2774
488,2111
488,2997
488,3773
489,1427
489,662
490,2496
490,2380
492,1282
493,1371
493,174
494,2126
495,1050
495,2754
495,594
496,2068
498,2754
500,2921
500,3476
500,54
500,3369
500,181
500,351
500,2117
500,1281
501,323
501,1719
504,928
504,3039
504,3624
505,1576
505,533
507,1696
509,1180
509,3455
509,2227
510,1027
510,3143
510,4168
510,2870
510,161
510,1712
510,263
510,4103
510,4064
513,305
513,1693
513,3893
513,1684
513,1747
513,77
514,3524
515,846
516,2469
516,338
516,1249
516,289
517,2393
517,3062
517,2203
519,3673
520,3519
520,339
520,3125
520,1902
521,1869
522,3611
522,1219
522,1944
522,3743
523,843
523,4025
523,1820
525,4121
526,3382
526,1658
528,2922
528,3960
528,2796
528,757
528,1010
528,2180
528,977
528,32
530,3411
532,3262
532,3765
533,505
533,1576
533,2446
535,2252
535,3463
535,2232
536,1175
536,1955
538,3490
538,3064
538,229
538,3126
538,583
539,3741
539,4183
540,2326
540,1407
542,2167
542,1644
542,651
542,3539
544,580
544,2125
545,1712
545,1810
545,2870
545,2190
545,161
545,4043
545,510
546,2480
546,1587
546,2646
547,1533
547,364
547,3446
547,864
547,3568
548,3534
548,925
548,3669
548,4130
550,2483
550,3949
550,3084
550,2509
550,4031
550,2306
551,1956
551,120
552,648
552,3179
553,396
553,2112
553,1461
553,2894
553,456
553,3960
553,1084
553,1285
553,892
553,2819
553,2646
553,2637
553,3624
553,1112
556,985
557,1415
557,2460
559,643
559,2260
559,4060
559,898
559,3062
559,2060
559,1621
559,1751
559,3228
559,1785
559,3669
559,2527
559,993
559,4133
560,2748
560,1083
560,3822
563,1165
563,3995
564,1662
564,3371
564,3249
566,1454
568,3534
568,3919
568,3093
568,2126
568,3977
568,2693
568,1345
568,652
570,3640
573,2999
573,3134
573,2675
575,2447
577,3947
577,3064
577,848
577,1744
577,466
577,3012
577,2958
577,4126
577,455
577,3024
577,3182
577,646
577,1362
577,753
578,2402
579,103
580,3755
580,544
581,1861
581,908
581,1577
583,455
583,3024
583,3880
583,1184
583,538
584,1099
585,2252
585,2384
585,3297
585,2234
585,3176
585,1961
585,1485
585,3851
585,42
585,2232
585,3151
586,2362
588,147
588,3853
588,1527
588,2438
588,730
