"source","destination"
12,3530
30,2111
30,2660
30,2486
31,993
34,2363
57,2166
57,2746
57,656
63,3690
66,3122
66,2356
73,3334
74,2153
77,475
83,1265
83,1111
83,3700
83,2060
83,559
83,2527
95,711
100,2482
101,2501
101,1633
102,3669
106,3955
107,3668
107,3731
107,4079
128,1694
139,3869
141,2044
143,3731
146,1280
177,2855
185,2903
188,1533
190,2482
190,3426
199,3077
203,2333
203,405
203,388
212,389
213,1787
215,2408
216,2876
216,1549
219,3974
231,2656
236,913
237,2863
237,3422
237,3783
237,3272
237,2940
238,1778
239,3255
245,1417
245,2422
256,4021
262,637
269,3519
271,2908
271,3420
271,2625
271,536
273,1589
273,408
274,513
278,2797
278,1415
279,3668
287,3658
289,2921
289,3980
289,3015
293,1733
302,2434
337,2217
340,3670
340,1250
347,757
348,2502
353,1083
354,1888
380,2480
380,410
382,2849
384,3302
387,2584
387,2715
387,1668
389,212
392,2170
392,2087
392,2422
395,3351
398,568
398,1683
398,1826
399,891
401,3786
401,1684
401,3570
405,203
408,3423
408,686
408,1589
410,380
411,2471
415,1870
419,2527
433,2625
443,3996
443,2144
443,3270
463,2961
463,1661
470,3235
470,2646
475,77
475,891
475,3530
475,899
475,1156
489,353
489,3429
490,1289
490,804
498,2119
498,3949
500,3298
500,1947
504,3352
504,3267
505,533
510,4168
510,2059
510,1593
513,1227
513,1555
513,2156
513,2717
529,3325
530,4060
533,3134
533,505
533,1576
536,661
536,271
536,1283
538,3338
538,2312
538,1953
547,2330
547,1181
547,3184
550,443
550,504
550,3267
550,3668
550,3270
557,830
557,3743
559,2060
559,83
559,2527
561,3481
567,591
568,398
575,847
575,4030
578,655
581,1577
591,4161
591,1523
591,567
597,1219
597,2163
602,2855
602,860
602,2769
602,2692
602,3727
604,2217
606,364
611,3935
612,1870
620,2424
627,2440
627,902
628,3299
628,3005
628,2608
631,1972
637,262
638,536
638,3245
639,1519
641,1311
641,3668
641,2369
650,2262
651,3539
655,578
656,57
661,3168
661,536
671,2238
674,705
674,3632
674,1015
674,3731
674,1694
674,3267
679,1748
686,1083
686,3014
693,3467
693,1523
703,3032
705,3933
705,674
