"source","destination"
1,3575
1,1027
1,1945
2,3673
2,2193
2,728
4,2111
4,1991
4,2503
4,184
4,2284
4,631
4,445
4,3323
4,1917
4,737
5,2923
5,3070
6,3318
6,148
6,3635
6,2931
7,1569
7,2989
7,601
8,3882
8,1480
8,1620
8,3562
10,123
11,1626
12,2651
12,3386
12,1118
12,1181
12,3641
12,943
12,1816
12,3565
12,2774
12,2599
12,3182
13,3456
15,137
15,1110
16,2206
17,1474
17,559
17,3363
17,1492
18,1482
19,1149
19,293
19,2822
19,2644
19,3245
19,4027
19,1680
20,3870
20,2717
20,2584
20,1399
20,4101
20,768
20,2233
20,2445
20,851
21,1866
21,1773
21,1124
22,3822
22,3318
22,2136
22,1362
22,235
23,2184
23,973
24,2835
24,3777
24,4171
24,1427
24,662
24,2921
27,1238
27,2876
27,2082
27,2990
28,2778
28,2815
30,3170
30,2376
30,3093
31,2063
31,1531
31,980
32,2057
32,120
32,1492
32,129
32,3669
32,2628
33,3292
33,1083
33,1945
33,2968
33,353
33,974
34,2894
34,495
34,1959
34,396
35,480
35,1737
35,1724
35,3536
35,401
35,2523
35,1625
35,444
37,437
37,355
37,2993
37,1153
38,209
39,2435
39,460
41,145
41,1754
42,1485
42,2628
42,3851
42,3363
42,2801
42,2232
42,3631
42,1834
42,3651
42,549
42,4092
42,2379
42,2688
42,664
42,837
43,1975
43,587
43,508
43,2157
43,3255
44,1571
44,3790
44,3797
44,731
44,3022
44,1423
44,181
44,3776
45,277
45,2173
46,3999
46,3745
46,3143
46,3243
46,1028
49,3093
49,4082
49,3298
49,4080
50,2180
50,2206
54,1944
55,2847
55,2021
56,2173
58,2032
58,2120
58,253
58,159
58,413
59,118
59,3265
59,1010
59,3624
60,453
60,3422
60,3871
61,2834
63,1092
63,3690
63,2696
63,2374
63,3975
63,1617
63,2308
63,463
63,2643
63,4031
64,2644
64,3673
64,3193
64,19
65,2858
65,2418
65,1038
67,2222
67,2923
67,1751
68,1804
68,3393
70,3736
71,3311
71,2077
71,4153
71,4022
71,2717
71,974
72,1998
72,1074
72,579
73,1233
73,3334
73,1175
73,2643
73,3104
73,990
73,3770
74,2876
75,1923
75,2950
77,1181
77,3386
77,3142
77,3738
78,2282
78,485
79,3685
79,83
80,279
80,2103
81,3588
82,530
82,3478
82,609
82,2764
82,2628
83,3199
83,1548
83,1904
83,2271
83,1977
83,1031
83,3658
83,1265
84,2252
84,1961
85,3448
85,2428
85,464
85,1311
85,2369
86,2193
87,1662
87,3849
87,3365
87,2008
87,751
87,409
87,872
87,2189
87,4007
87,4103
87,3790
88,3861
88,913
88,2637
88,3029
88,1658
89,4125
91,3096
91,3005
91,344
92,2364
92,1120
92,3083
94,3791
94,623
95,1438
95,728
97,3968
98,634
98,1988
98,3939
98,2571
98,1794
98,1713
100,1330
100,1055
100,2482
101,1598
101,1196
101,1331
101,2501
101,1806
101,411
101,905
101,4130
101,2747
102,716
105,2351
106,2119
107,2469
107,3738
107,237
107,1220
107,1934
107,2169
107,807
107,4157
107,1632
107,3095
108,3297
109,2504
111,2996
