"google_id","XDIndicator"
"1cn60e8AAAAJ","XD"
"1CR0meYAAAAJ","XD"
"1CtZnTMAAAAJ","BIO"
"1ddBSr8AAAAJ","CS"
"1DpUSnsAAAAJ","BIO"
"1duOrVIAAAAJ","BIO"
"1fEZ_osAAAAJ","CS"
"1FwsujMAAAAJ","CS"
"1hEE9ZsAAAAJ","XD"
"1HYDaVIAAAAJ","CS"
"1h_0s3wAAAAJ","BIO"
"1jE4flwAAAAJ","BIO"
"1jjyaBYAAAAJ","CS"
"1KRXBIwAAAAJ","CS"
"1kTPw60AAAAJ","BIO"
"1kwoMp0AAAAJ","CS"
"1LG-V8EAAAAJ","BIO"
"1LUuMc8AAAAJ","CS"
"1lvl_XYAAAAJ","BIO"
"1l_zPXQAAAAJ","BIO"
"1mMmqs4AAAAJ","CS"
"1MwNI3EAAAAJ","BIO"
"1nr7TU0AAAAJ","XD"
"1NtRHc4AAAAJ","XD"
"1OipGrkAAAAJ","BIO"
"1P6HeqQAAAAJ","BIO"
"1pRIDP4AAAAJ","CS"
"1q4T4E4AAAAJ","BIO"
"1QnCveAAAAAJ","XD"
"1R-Pn34AAAAJ","BIO"
"1RdlZvQAAAAJ","BIO"
"1s3GeggAAAAJ","XD"
"1sBMvJIAAAAJ","BIO"
"1sHiufgAAAAJ","BIO"
"1SJPBDAAAAAJ","XD"
"1somGYUAAAAJ","XD"
"1T3wsnsAAAAJ","BIO"
"1tBxBJUAAAAJ","XD"
"1UbzzQcAAAAJ","XD"
"1UnT11UAAAAJ","BIO"
"1uX0rugAAAAJ","BIO"
"1u_MQY8AAAAJ","XD"
"1ve3gzYAAAAJ","BIO"
"1vk3NxsAAAAJ","BIO"
"1WIPsm0AAAAJ","XD"
"1wq5H9oAAAAJ","XD"
"1X-MOE8AAAAJ","XD"
"1xfwEBAAAAAJ","CS"
"1z3mv7EAAAAJ","BIO"
"1zmDOdwAAAAJ","XD"
"1zWBSKEAAAAJ","BIO"
"2-jY1SQAAAAJ","CS"
"206DEM0AAAAJ","XD"
"22aEccUAAAAJ","XD"
"25pGNr8AAAAJ","XD"
"26h2MnAAAAAJ","CS"
"27ytbx8AAAAJ","XD"
"28yZqbcAAAAJ","XD"
"2aMqJTgAAAAJ","CS"
"2aSu29oAAAAJ","BIO"
"2Ay8qC4AAAAJ","BIO"
"2b1nMvgAAAAJ","XD"
"2Bbi09MAAAAJ","BIO"
"2Bc3UN4AAAAJ","XD"
"2CYhvK0AAAAJ","BIO"
"2C_5IhcAAAAJ","XD"
"2dTrwzAAAAAJ","CS"
"2eM6GocAAAAJ","CS"
"2ewb-10AAAAJ","CS"
"2FbkAzYAAAAJ","CS"
"2ftJYXMAAAAJ","XD"
"2G1KglQAAAAJ","XD"
"2G5HJE0AAAAJ","BIO"
"2gggOEIAAAAJ","CS"
"2hemeGMAAAAJ","CS"
"2hg5lYIAAAAJ","CS"
"2HR9-igAAAAJ","XD"
"2i7uayYAAAAJ","XD"
"2iu5LzQAAAAJ","BIO"
"2i_mta4AAAAJ","XD"
"2j4daMHxyBUC","XD"
"2JMaTKsAAAAJ","CS"
"2jRpisYAAAAJ","CS"
"2K2-QrMAAAAJ","BIO"
"2K2gtpsAAAAJ","BIO"
"2kkddh0AAAAJ","CS"
"2Kqxn2MAAAAJ","BIO"
"2KR-hMsAAAAJ","XD"
"2kXsgI4AAAAJ","CS"
"2LAmkegAAAAJ","XD"
"2lbWNPAAAAAJ","BIO"
"2LnUVG4AAAAJ","BIO"
"2lpCLIYAAAAJ","BIO"
"2LQimEIAAAAJ","XD"
"2M8BWDkAAAAJ","CS"
"2mjUsP8AAAAJ","CS"
"2mkaUvkAAAAJ","BIO"
"2nGk3QQAAAAJ","BIO"
"2Nz2U0kAAAAJ","CS"
"2oclnIwAAAAJ","CS"
"2OJOZTUAAAAJ","CS"
"2oSSsLYAAAAJ","XD"
"2ouPjOAAAAAJ","BIO"
"2oy3OXYAAAAJ","CS"
"2pH8BZwAAAAJ","CS"
"2pW1g5IAAAAJ","CS"
"2PxFftgAAAAJ","CS"
"2QdlYyMAAAAJ","BIO"
"2rg3W8gAAAAJ","BIO"
"2rMImAgAAAAJ","BIO"
"2s9_ZWgAAAAJ","CS"
"2SF6AXQAAAAJ","XD"
"2SmbjHAAAAAJ","CS"
"2SXzngsAAAAJ","XD"
"2tT-FokAAAAJ","XD"
"2U1xsKwAAAAJ","XD"
"2UF8gNsAAAAJ","CS"
"2uHUSa8AAAAJ","CS"
"2UjiMzIAAAAJ","XD"
"2upx1AcAAAAJ","BIO"
"2VAwmhMAAAAJ","BIO"
"2vQRGrYAAAAJ","XD"
"2vZ5zRQAAAAJ","CS"
"2wJaIkEAAAAJ","CS"
"2WJqadMAAAAJ","BIO"
"2X5Wru0AAAAJ","XD"
"2X6fAZgAAAAJ","XD"
"2XJfT0UAAAAJ","BIO"
"2YLKXzwAAAAJ","BIO"
"2ZHGNCUAAAAJ","CS"
"2zsr0ukAAAAJ","BIO"
"2_OASxMAAAAJ","XD"
"3-gk0ioAAAAJ","CS"
"3-PRZG0AAAAJ","CS"
"30fyS8EAAAAJ","CS"
"33k5ZFwAAAAJ","XD"
"35uGc_MAAAAJ","XD"
"36HRdqMAAAAJ","CS"
"37e-BIYAAAAJ","BIO"
"37frPb8AAAAJ","CS"
"38ev4xkAAAAJ","CS"
"398l2V8AAAAJ","XD"
"39BgNN8AAAAJ","BIO"
"39GUJSgAAAAJ","CS"
"3AoFLxwAAAAJ","BIO"
"3aw_314AAAAJ","CS"
"3cwkINwAAAAJ","BIO"
"3DWI0HcAAAAJ","CS"
"3Dw_GVEAAAAJ","BIO"
"3EbevY4AAAAJ","CS"
"3fASLLsAAAAJ","BIO"
"3FrD14AAAAAJ","CS"
"3FunQ3UAAAAJ","BIO"
"3G79TTEAAAAJ","XD"
"3Gvtz8gAAAAJ","BIO"
"3H-3V9wAAAAJ","BIO"
"3hqXvOEAAAAJ","BIO"
"3h_fp5QAAAAJ","XD"
"3ifikJ0AAAAJ","XD"
"3IzCyzEAAAAJ","BIO"
"3JEciYcAAAAJ","BIO"
"3JEfSz8AAAAJ","BIO"
"3KTaOl0AAAAJ","BIO"
"3lB8Y8kAAAAJ","CS"
"3meGuI8AAAAJ","XD"
"3OdbrfMAAAAJ","XD"
"3oyf5I4AAAAJ","CS"
"3P2jfesAAAAJ","BIO"
"3p3advkAAAAJ","BIO"
"3pZs3j0AAAAJ","CS"
"3qPiYJoAAAAJ","XD"
"3S5qpXsAAAAJ","CS"
"3siz6_0AAAAJ","CS"
"3Tj9toIAAAAJ","BIO"
"3TK9AHQAAAAJ","XD"
"3Unsek4AAAAJ","XD"
"3UyNayMAAAAJ","XD"
"3vKjkoQAAAAJ","CS"
"3X9nW80AAAAJ","CS"
"3xIRwTgAAAAJ","BIO"
"3XYmsKQAAAAJ","CS"
"3yJxnHwAAAAJ","XD"
"3YOe4NMAAAAJ","CS"
"3yPEc4YAAAAJ","CS"
"3_rdKBsAAAAJ","XD"
"3_WYcR4AAAAJ","XD"
"41m5j04AAAAJ","CS"
"41nF80QAAAAJ","BIO"
"42fU-rsAAAAJ","XD"
"45d6BC0AAAAJ","BIO"
"45MH-gkAAAAJ","BIO"
"46HLWf8AAAAJ","XD"
"471mb4wAAAAJ","CS"
"47I8TqkAAAAJ","CS"
"4A2BqsMAAAAJ","BIO"
"4aheXvQAAAAJ","BIO"
"4arkOLcAAAAJ","CS"
