"google_id","year","citations","coauthor_codes","ap","tp","XDF","XDP"
"-0nYQVIAAAAJ",2015,4,"-0nYQVIAAAAJ,kUwCxIUAAAAJ",4,10,"BIO",0
"-0nYQVIAAAAJ",2014,44,"-0nYQVIAAAAJ",5,9,"BIO",0
"-0nYQVIAAAAJ",2010,132,"JEApEv4AAAAJ,AANigvoAAAAJ,-0nYQVIAAAAJ",13,5,"BIO",0
"-0nYQVIAAAAJ",2013,153,"-0nYQVIAAAAJ",4,8,"BIO",0
"-0nYQVIAAAAJ",2011,855,"jv-19EoAAAAJ,-0nYQVIAAAAJ",14,6,"BIO",0
"-0nYQVIAAAAJ",2013,52,"-0nYQVIAAAAJ",17,8,"BIO",0
"-0nYQVIAAAAJ",2011,244,"nzTXeNsAAAAJ,jv-19EoAAAAJ,-0nYQVIAAAAJ",16,6,"BIO",0
"-0nYQVIAAAAJ",2013,11,"-0nYQVIAAAAJ",4,8,"BIO",0
"-0nYQVIAAAAJ",2014,31,"1LG-V8EAAAAJ,-0nYQVIAAAAJ",4,9,"BIO",0
"-0nYQVIAAAAJ",2014,16,"-0nYQVIAAAAJ",5,9,"BIO",0
"-0nYQVIAAAAJ",2012,338,"-0nYQVIAAAAJ",19,7,"BIO",0
"-0nYQVIAAAAJ",2011,156,"-0nYQVIAAAAJ",27,6,"BIO",0
"-0nYQVIAAAAJ",2015,104,"-0nYQVIAAAAJ",6,10,"BIO",0
"-0nYQVIAAAAJ",2015,8,"-0nYQVIAAAAJ,kUwCxIUAAAAJ",4,10,"BIO",0
"-0nYQVIAAAAJ",2012,36,"-0nYQVIAAAAJ",20,7,"BIO",0
"-0nYQVIAAAAJ",2014,54,"-0nYQVIAAAAJ",13,9,"BIO",0
"-0nYQVIAAAAJ",2013,25,"mAbA6EoAAAAJ,-0nYQVIAAAAJ,8vsRBCgAAAAJ",19,8,"BIO",0
"-0nYQVIAAAAJ",2015,52,"-0nYQVIAAAAJ",45,10,"BIO",0
"-0nYQVIAAAAJ",2013,22,"-0nYQVIAAAAJ,5NAFTkAAAAAJ",24,8,"BIO",0
"-0nYQVIAAAAJ",2014,10,"-0nYQVIAAAAJ",2,9,"BIO",0
"-0nYQVIAAAAJ",2014,65,"-0nYQVIAAAAJ",3,9,"BIO",0
