"google_id","year","citations","coauthor_codes","FXD"
"-0nYQVIAAAAJ",2014,31,"1LG-V8EAAAAJ,-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2014,16,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2012,338,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2011,156,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2015,104,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2015,8,"-0nYQVIAAAAJ,kUwCxIUAAAAJ","BIO"
"-0nYQVIAAAAJ",2012,36,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2014,54,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2013,25,"mAbA6EoAAAAJ,-0nYQVIAAAAJ,8vsRBCgAAAAJ","BIO"
"-0nYQVIAAAAJ",2015,52,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2013,22,"-0nYQVIAAAAJ,5NAFTkAAAAAJ","BIO"
"-0nYQVIAAAAJ",2014,10,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2014,65,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2012,39,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2015,20,"mAbA6EoAAAAJ,-0nYQVIAAAAJ,8vsRBCgAAAAJ","BIO"
"-0nYQVIAAAAJ",2015,85,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2013,13,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2010,298,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2013,25,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2014,48,"mAbA6EoAAAAJ,-0nYQVIAAAAJ,8vsRBCgAAAAJ","BIO"
"-0nYQVIAAAAJ",2015,9,"mAbA6EoAAAAJ,-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2011,34,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2006,4,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2010,53,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2007,374,"-0nYQVIAAAAJ","BIO"
"-0nYQVIAAAAJ",2008,546,"-0nYQVIAAAAJ","BIO"
