"Source","Target"
106,1558
804,108
1577,141
699,143
179,627
216,817
228,1787
268,2032
3320,348
3168,378
3429,379
2119,498
505,533
2412,550
1856,590
3014,606
2296,702
708,3944
3853,765
3467,798
831,1338
3718,847
3028,942
3574,942
966,2640
1802,1043
3582,1043
1060,1234
3944,1092
3062,1177
1215,2609
1255,3089
1273,3235
1273,470
470,3235
1283,2330
1322,1667
3570,1402
1455,1178
1508,1778
1574,4116
1596,500
1634,2332
834,1694
1721,2217
2486,1739
1911,3869
2032,2244
2109,2799
2170,3921
2486,2245
3826,2330
3422,2330
3352,2412
3352,550
3536,2546
2550,2798
3352,3731
3352,2699
3731,2412
3731,2699
2412,2699
3765,2715
2760,3422
3700,2833
2937,2834
4018,2948
3028,4171
3042,3593
1283,3066
3153,3351
3731,550
557,3370
3596,3944
3270,3796
4171,4039
4069,2640
1417,245
3547,308
371,1999
628,389
415,1870
1227,513
3530,537
686,1083
849,3410
889,1515
1098,1960
1178,2236
1295,401
2333,1449
3317,1549
3098,1568
2951,1634
2222,1644
3076,1826
3771,1838
1969,3426
1982,231
1990,4187
3028,3481
3028,2059
3481,2059
2105,2486
2131,3425
2163,1322
2105,2245
2486,2415
2434,3933
2596,3512
2596,3168
2596,4030
3168,4030
2680,2613
3668,3352
3668,3731
3668,2699
3062,2753
3996,2767
2907,3439
1855,2917
1113,3014
529,3325
3422,3783
3504,1723
3533,1953
3862,3661
18,3722
3122,3985
1263,23
2363,34
216,2876
3422,237
339,2120
378,1694
3422,380
411,2746
1947,500
533,1611
597,1219
3299,628
705,2631
728,2834
735,1761
740,1492
1289,804
2760,812
2596,834
847,2214
1923,860
1397,913
966,4069
3755,996
3582,2252
1043,2252
1751,1117
3957,1125
3299,1240
1322,3545
2760,1405
1480,3534
1526,2639
3754,1558
1888,1558
2252,1722
1785,817
1871,2765
1955,3921
2122,2574
3245,2163
3494,2187
4139,2214
2222,3920
1349,2267
2306,1113
1816,2399
3668,2412
2606,3800
3873,2637
3156,2639
1219,2683
2722,3691
2753,421
3437,2778
1550,2834
3423,2897
3073,386
3420,3184
1265,3188
3245,1322
3262,3765
2804,3273
3302,384
3415,1641
3642,674
2465,3888
4054,3985
3102,4051
4060,2639
4122,500
30,962
2166,57
2153,74
1265,83
1016,101
1694,128
757,347
2502,348
1008,448
3668,550
504,550
578,655
612,1870
1523,693
716,1843
3668,718
3731,718
1080,790
814,3553
831,1213
2440,902
3423,1144
3348,1153
1211,2305
1237,2347
640,1251
1322,1580
1533,1373
1783,1464
1492,3788
1497,1870
1550,3570
1550,3163
3570,3163
2904,1590
1601,2332
1605,2022
1634,3393
1668,387
1754,3384
3429,1789
708,1843
3800,1880
2434,1880
83,1904
1397,1955
1982,2656
2018,2905
2127,4069
337,2217
799,2256
2272,3157
2290,3586
2217,2330
2434,2369
3933,2369
2399,1455
4079,2412
2417,2369
2434,3393
2485,2596
2619,2552
3351,2640
2572,2653
2683,1574
2692,3727
718,2699
3385,2717
3423,2765
2775,399
2827,3586
3586,2855
3056,3122
3056,2704
3939,3089
3829,3132
3153,2640
1415,3153
3184,2217
3428,3235
3284,3351
3337,2917
3342,3631
3385,1156
3422,2436
2603,3496
2187,3564
2305,3631
3669,2151
353,3684
2434,3800
54,500
2166,2746
57,2746
711,3105
711,95
3105,95
174,2702
3865,178
191,633
817,2876
1479,264
3519,269
536,271
1571,307
2765,332
353,1083
354,1888
382,213
2584,387
401,3786
2596,487
2921,500
2921,3476
500,3476
2059,510
538,2356
550,443
908,1577
908,581
1577,581
2552,584
718,1593
2702,730
798,3587
847,2481
1084,847
1558,859
2489,880
2528,880
392,891
392,2804
891,2804
2685,913
2252,1121
1489,1204
1480,1205
1237,1359
1308,628
708,1462
1555,2717
2275,1577
686,1588
1083,1588
2921,1634
2921,1593
1634,1593
1596,2921
1596,3476
1599,3015
3631,1633
1645,3819
2584,1668
2275,1728
3034,1779
1876,3484
2179,1894
1990,3122
2417,2047
2109,3969
2161,2545
2163,3375
3743,2163
3835,2217
3028,2236
3800,2369
2422,3233
2452,2683
2538,2528
2576,3450
3270,2699
117,2704
3308,2705
2708,2381
2708,3393
4039,2715
2951,2716
2755,2646
2777,4116
2799,3969
3492,2817
2422,2864
3108,2837
2227,3218
3270,4031
3352,1912
1878,3393
3449,2120
3530,3857
3609,2996
3365,3632
3722,978
3740,2528
2797,3777
2412,3782
3805,2859
4026,3955
4139,3427
