"Faculty","XDIndicator","NumOfPolinator"
"--nVNvIAAAAJ",1,2
"--nVNvIAAAAJ",1,4
"--nVNvIAAAAJ",2,2
"a1ngrCIAAAAJ",1,4
"a1ngrCIAAAAJ",2,2
"--nVNvIAAAAJ",1,4
"VuvKPiQAAAAJ",1,4
"--nVNvIAAAAJ",1,2
"--nVNvIAAAAJ",1,3
"--nVNvIAAAAJ",1,2
"-0nYQVIAAAAJ",0,9
"-0nYQVIAAAAJ",2,4
"-0ppt6oAAAAJ",0,6
"-0ppt6oAAAAJ",0,4
"-0rEuLgAAAAJ",1,2
"-0rEuLgAAAAJ",2,1
"-234SKAAAAAJ",0,2
"RKvl6OoAAAAJ",0,2
"-234SKAAAAAJ",0,1
"-31-oa0AAAAJ",0,6
"-5DNOLIAAAAJ",0,3
"-5DNOLIAAAAJ",0,2
"-5LVcdsAAAAJ",0,3
"-5LVcdsAAAAJ",0,7
"-5ZxgGsAAAAJ",0,4
"-5ZxgGsAAAAJ",2,1
"-6cOYcYAAAAJ",1,2
"-6cOYcYAAAAJ",1,4
"Db4BCX8AAAAJ",1,1
"-6cOYcYAAAAJ",1,1
"-6cOYcYAAAAJ",1,3
"-6cOYcYAAAAJ",1,2
"-6cOYcYAAAAJ",2,1
"-6FYTfMAAAAJ",0,2
"-6FYTfMAAAAJ",0,3
"-aQaHIoAAAAJ",0,4
"-aQaHIoAAAAJ",0,3
"-aQaHIoAAAAJ",0,2
"-chjN0MAAAAJ",0,4
"-cL-RwUAAAAJ",0,4
"-cL-RwUAAAAJ",2,1
"TkayRqQAAAAJ",2,3
"-cwEbxUAAAAJ",2,3
"2X5Wru0AAAAJ",2,1
"-cwEbxUAAAAJ",2,1
"-cwEbxUAAAAJ",2,1
"Ws0GjboAAAAJ",2,1
"UT5I0hAAAAAJ",2,1
"-cwEbxUAAAAJ",1,1
"cLjMQqsAAAAJ",1,1
"2X5Wru0AAAAJ",2,2
"-cwEbxUAAAAJ",2,2
"-cwEbxUAAAAJ",1,5
"-cwEbxUAAAAJ",2,2
"UT5I0hAAAAAJ",1,5
"UT5I0hAAAAAJ",2,2
"-cwEbxUAAAAJ",1,2
"-Dg42W8AAAAJ",0,2
"-Dg42W8AAAAJ",0,2
"-Dg42W8AAAAJ",0,1
"-Dg42W8AAAAJ",0,1
"-Dg42W8AAAAJ",0,6
"-E5k6m4AAAAJ",1,2
"-E5k6m4AAAAJ",1,2
"-E5k6m4AAAAJ",1,2
"-E5k6m4AAAAJ",1,2
"-E5k6m4AAAAJ",1,2
"3qPiYJoAAAAJ",1,1
"-E5k6m4AAAAJ",1,1
"-E5k6m4AAAAJ",1,2
"-ERiTHkAAAAJ",2,2
"-ERiTHkAAAAJ",0,4
"-ERiTHkAAAAJ",2,1
"-EXWOU0AAAAJ",1,1
"-EXWOU0AAAAJ",1,3
"-EXWOU0AAAAJ",2,1
"-EXWOU0AAAAJ",1,1
"-EXWOU0AAAAJ",1,6
"-EXWOU0AAAAJ",2,1
"M-pazfcAAAAJ",0,31
"M-pazfcAAAAJ",2,20
"-fxI3cUAAAAJ",0,31
"-fxI3cUAAAAJ",2,20
"-fxI3cUAAAAJ",0,2
"-fxI3cUAAAAJ",2,1
"-fxI3cUAAAAJ",0,1
"-fxI3cUAAAAJ",2,2
"-GT5PAkAAAAJ",1,1
"-GT5PAkAAAAJ",2,3
"-had2Q8AAAAJ",0,2
"PBo0rn4AAAAJ",0,2
"-had2Q8AAAAJ",0,2
"-had2Q8AAAAJ",2,1
"-had2Q8AAAAJ",0,1
"-had2Q8AAAAJ",0,4
"n-FCqMEAAAAJ",0,4
"sILsSIsAAAAJ",0,3
"sILsSIsAAAAJ",2,1
"-had2Q8AAAAJ",0,3
"-had2Q8AAAAJ",2,1
"sILsSIsAAAAJ",0,1
"-had2Q8AAAAJ",0,1
"-had2Q8AAAAJ",0,1
"-HwCwkAAAAAJ",0,2
"-HwCwkAAAAAJ",0,2
"-HwCwkAAAAAJ",0,1
"-HwCwkAAAAAJ",0,1
"-HwCwkAAAAAJ",2,1
"-HwCwkAAAAAJ",0,1
"-HwCwkAAAAAJ",0,2
"-HwCwkAAAAAJ",0,2
"-HwCwkAAAAAJ",0,2
"-HwCwkAAAAAJ",0,2
"-HwCwkAAAAAJ",0,1
"-iLn_XwAAAAJ",0,4
"-iLn_XwAAAAJ",2,1
"-iLn_XwAAAAJ",0,3
"-iLn_XwAAAAJ",2,1
"-iLn_XwAAAAJ",0,1
"-IMW-w0AAAAJ",1,4
"-IMW-w0AAAAJ",2,1
"CZyWk8kAAAAJ",1,4
"CZyWk8kAAAAJ",2,1
"-IMW-w0AAAAJ",1,2
"CZyWk8kAAAAJ",1,2
"-IMW-w0AAAAJ",1,4
