"Faculty","XDIndicator","NumOfPolinator"
"2Bbi09MAAAAJ",0,2
"2Bbi09MAAAAJ",2,2
"2Bbi09MAAAAJ",2,1
"2Bbi09MAAAAJ",0,2
"2Bbi09MAAAAJ",0,1
"2Bbi09MAAAAJ",2,1
"2Bc3UN4AAAAJ",1,4
"2ewb-10AAAAJ",1,1
"2ftJYXMAAAAJ",1,3
"2ftJYXMAAAAJ",2,1
"2ftJYXMAAAAJ",1,1
"2ftJYXMAAAAJ",1,2
"2ftJYXMAAAAJ",1,3
"2ftJYXMAAAAJ",1,1
"2ftJYXMAAAAJ",1,2
"2G1KglQAAAAJ",0,1
"2hg5lYIAAAAJ",1,2
"2hg5lYIAAAAJ",1,1
"2hg5lYIAAAAJ",1,1
"2hg5lYIAAAAJ",1,1
"2hg5lYIAAAAJ",1,1
"2hg5lYIAAAAJ",1,1
"2hg5lYIAAAAJ",1,1
"2hg5lYIAAAAJ",1,1
"2hg5lYIAAAAJ",1,1
"2hg5lYIAAAAJ",1,1
"2hg5lYIAAAAJ",1,2
"2hg5lYIAAAAJ",1,1
"2hg5lYIAAAAJ",1,1
"2i7uayYAAAAJ",1,11
"2i7uayYAAAAJ",2,2
"2kXsgI4AAAAJ",1,2
"2kXsgI4AAAAJ",1,3
"2kXsgI4AAAAJ",2,1
"2kXsgI4AAAAJ",1,2
"2LQimEIAAAAJ",0,3
"2LQimEIAAAAJ",0,1
"2mkaUvkAAAAJ",0,1
"2nGk3QQAAAAJ",0,3
"2oclnIwAAAAJ",1,3
"2OJOZTUAAAAJ",1,1
"2OJOZTUAAAAJ",1,1
"2oSSsLYAAAAJ",1,4
"2oSSsLYAAAAJ",2,1
"2oy3OXYAAAAJ",1,1
"2oy3OXYAAAAJ",1,2
"2SF6AXQAAAAJ",0,1
"2SF6AXQAAAAJ",0,4
"2SF6AXQAAAAJ",2,1
"2SF6AXQAAAAJ",0,8
"2SF6AXQAAAAJ",2,1
"2SF6AXQAAAAJ",0,3
"2SF6AXQAAAAJ",0,5
"2SF6AXQAAAAJ",0,3
"2SF6AXQAAAAJ",0,3
"2SF6AXQAAAAJ",2,2
"2SF6AXQAAAAJ",0,6
"2SF6AXQAAAAJ",2,2
"2SF6AXQAAAAJ",0,3
"2SF6AXQAAAAJ",0,7
"2SF6AXQAAAAJ",2,2
"2SF6AXQAAAAJ",0,4
"2SF6AXQAAAAJ",0,5
"2SF6AXQAAAAJ",2,1
"2SF6AXQAAAAJ",0,3
"2SF6AXQAAAAJ",2,1
"2SF6AXQAAAAJ",0,2
"2SF6AXQAAAAJ",0,2
"2SF6AXQAAAAJ",2,1
"2SF6AXQAAAAJ",0,5
"2SF6AXQAAAAJ",2,1
"2SF6AXQAAAAJ",0,4
"2SF6AXQAAAAJ",2,3
"2SF6AXQAAAAJ",0,4
"2SF6AXQAAAAJ",0,3
"2SF6AXQAAAAJ",0,6
"2SF6AXQAAAAJ",0,6
"2SF6AXQAAAAJ",2,2
"2SF6AXQAAAAJ",0,6
"2SF6AXQAAAAJ",2,2
"2SF6AXQAAAAJ",0,3
"2SF6AXQAAAAJ",2,1
"2tT-FokAAAAJ",0,2
"2tT-FokAAAAJ",0,1
"2tT-FokAAAAJ",0,5
"2tT-FokAAAAJ",0,1
"2tT-FokAAAAJ",0,3
"3-gk0ioAAAAJ",1,1
"38ev4xkAAAAJ",1,1
"398l2V8AAAAJ",0,1
"398l2V8AAAAJ",2,1
"3pZs3j0AAAAJ",1,1
"3pZs3j0AAAAJ",1,2
"3S5qpXsAAAAJ",1,2
"3S5qpXsAAAAJ",1,2
"3S5qpXsAAAAJ",1,1
"kWnv_YkAAAAJ",1,1
"3xIRwTgAAAAJ",0,2
"3XYmsKQAAAAJ",1,1
"3XYmsKQAAAAJ",1,1
"3XYmsKQAAAAJ",1,2
"3_WYcR4AAAAJ",1,1
"4aheXvQAAAAJ",0,2
"4arkOLcAAAAJ",1,2
"4arkOLcAAAAJ",1,2
"4arkOLcAAAAJ",1,3
"4esyQS4AAAAJ",1,1
"4ew4MwwAAAAJ",0,1
"4ew4MwwAAAAJ",0,1
"4ew4MwwAAAAJ",0,2
"4ew4MwwAAAAJ",0,5
"4ew4MwwAAAAJ",0,5
"4ew4MwwAAAAJ",0,2
"4ew4MwwAAAAJ",0,1
"4ew4MwwAAAAJ",0,1
"4ew4MwwAAAAJ",0,1
"4ew4MwwAAAAJ",0,1
"4ew4MwwAAAAJ",0,1
"4ew4MwwAAAAJ",0,1
"4ew4MwwAAAAJ",0,1
"4ew4MwwAAAAJ",0,2
"4LCdnkYAAAAJ",1,6
"4LCdnkYAAAAJ",1,3
"hmq4rGIAAAAJ",1,3
"4Mj-BjwAAAAJ",1,2
"4Mj-BjwAAAAJ",1,1
"4Mj-BjwAAAAJ",1,2
"4Mj-BjwAAAAJ",1,1
"4Mj-BjwAAAAJ",1,1
"4OOz4DcAAAAJ",0,10
"4OOz4DcAAAAJ",0,4
"4OOz4DcAAAAJ",2,3
"4OOz4DcAAAAJ",0,6
"4OOz4DcAAAAJ",0,5
"4OOz4DcAAAAJ",0,6
"4OOz4DcAAAAJ",2,1
"4OOz4DcAAAAJ",0,5
"4OOz4DcAAAAJ",2,1
"4OOz4DcAAAAJ",0,8
"4OOz4DcAAAAJ",0,6
"4OOz4DcAAAAJ",2,1
"4OOz4DcAAAAJ",0,1
"4OOz4DcAAAAJ",0,7
"4OOz4DcAAAAJ",0,7
"4OOz4DcAAAAJ",0,4
"4OOz4DcAAAAJ",2,1
"4OOz4DcAAAAJ",0,8
"4OOz4DcAAAAJ",2,1
"4OOz4DcAAAAJ",0,8
"4OOz4DcAAAAJ",2,1
"4OOz4DcAAAAJ",0,15
"4OOz4DcAAAAJ",2,1
"4OOz4DcAAAAJ",0,7
"4OOz4DcAAAAJ",2,1
"4OOz4DcAAAAJ",0,7
"4OOz4DcAAAAJ",0,6
"4OOz4DcAAAAJ",2,1
"4OOz4DcAAAAJ",0,4
"4OOz4DcAAAAJ",2,1
"4pkd0FsAAAAJ",0,1
"4pkd0FsAAAAJ",2,1
"4pkd0FsAAAAJ",0,2
"4pWpdEIAAAAJ",1,4
"4pWpdEIAAAAJ",2,1
"4PYV1OEAAAAJ",0,2
"4PYV1OEAAAAJ",0,1
"4q6YakgAAAAJ",0,4
"4q6YakgAAAAJ",2,2
"4q6YakgAAAAJ",0,2
"4q6YakgAAAAJ",0,4
"4q6YakgAAAAJ",2,2
"4q6YakgAAAAJ",0,4
"4q6YakgAAAAJ",2,1
"4SYHiigAAAAJ",0,1
"4SYHiigAAAAJ",0,2
"4tJhnt8AAAAJ",0,2
"4tJhnt8AAAAJ",0,1
"4tJhnt8AAAAJ",2,1
"4tJhnt8AAAAJ",0,1
"4tJhnt8AAAAJ",0,2
"4tJhnt8AAAAJ",0,1
"4tJhnt8AAAAJ",0,1
"4tJhnt8AAAAJ",0,2
"4tJhnt8AAAAJ",0,1
"4tJhnt8AAAAJ",0,1
"4tJhnt8AAAAJ",0,1
"4tJhnt8AAAAJ",0,1
"4uiMIaEAAAAJ",0,1
"4uiMIaEAAAAJ",2,1
"4uiMIaEAAAAJ",0,1
"4uiMIaEAAAAJ",0,1
"4uiMIaEAAAAJ",0,2
"4uiMIaEAAAAJ",2,1
"4veQB4cAAAAJ",0,2
"4veQB4cAAAAJ",0,4
"4veQB4cAAAAJ",2,1
"4veQB4cAAAAJ",0,3
"4veQB4cAAAAJ",0,5
"4veQB4cAAAAJ",0,1
"4veQB4cAAAAJ",2,1
"4veQB4cAAAAJ",0,2
"4veQB4cAAAAJ",0,5
"4veQB4cAAAAJ",0,5
"4veQB4cAAAAJ",0,5
"4veQB4cAAAAJ",0,1
"4VJre9IAAAAJ",1,1
"4VJre9IAAAAJ",2,1
