"year","Source","Target","s_dept","t_dept"
1995,1448,1858,"CS","CS"
1995,1484,3116,"BIO","BIO"
1995,1486,2422,"CS","CS"
1995,1525,3361,"BIO","BIO"
1995,1526,3156,"BIO","BIO"
1995,1550,3570,"BIO","BIO"
1995,1555,2717,"CS","CS"
1995,1070,1562,"BIO","BIO"
1995,1563,2609,"BIO","BIO"
1995,1568,3098,"BIO","BIO"
1995,1574,4116,"CS","CS"
1995,533,1576,"BIO","BIO"
1995,1577,2275,"CS","CS"
1995,353,1588,"CS","CS"
1995,289,1593,"CS","CS"
1995,1599,2903,"CS","CS"
1995,1601,3864,"CS","CS"
1995,1601,2658,"CS","CS"
1995,1623,2310,"CS","CS"
1995,1623,3857,"CS","CS"
1995,1630,2041,"CS","CS"
1995,1634,2951,"CS","CS"
1995,1641,2775,"CS","CS"
1995,1666,3977,"CS","CS"
1995,387,1668,"BIO","BIO"
1995,1668,2584,"BIO","BIO"
1995,1668,2715,"BIO","BIO"
1995,1700,3231,"BIO","BIO"
1995,1282,1719,"CS","BIO"
1995,1721,3697,"CS","CS"
1995,1734,1958,"BIO","BIO"
1995,1751,2057,"BIO","BIO"
1995,1754,3384,"CS","CS"
1995,1760,2522,"CS","CS"
1995,1776,2210,"CS","CS"
1995,1785,2333,"BIO","BIO"
1995,1814,1821,"CS","CS"
1995,1826,2103,"BIO","CS"
1995,1826,3624,"BIO","CS"
1995,1826,3711,"BIO","BIO"
1995,513,1832,"CS","CS"
1995,1850,3783,"CS","CS"
1995,98,1870,"CS","CS"
1995,1877,2032,"CS","CS"
1995,1878,3008,"CS","CS"
1995,1879,2406,"BIO","BIO"
1995,1880,1996,"CS","CS"
1995,1186,1882,"CS","CS"
1995,1899,3761,"BIO","BIO"
1995,83,1904,"BIO","BIO"
1995,1911,3869,"CS","CS"
1995,1929,3844,"BIO","BIO"
1995,718,1947,"CS","CS"
1995,1711,1947,"CS","CS"
1995,1397,1955,"CS","CS"
1995,1956,2064,"BIO","BIO"
1995,1956,2843,"BIO","BIO"
1995,1956,2527,"BIO","BIO"
1995,2064,2843,"BIO","BIO"
1995,2064,2527,"BIO","BIO"
1995,2527,2843,"BIO","BIO"
1995,3262,3765,"CS","CS"
1995,1968,3262,"CS","CS"
1995,1968,3765,"CS","CS"
1995,1219,1969,"CS","BIO"
1995,1969,3881,"BIO","BIO"
1995,1970,2363,"CS","CS"
1995,1990,2399,"CS","CS"
1995,2018,2905,"CS","CS"
1995,2022,2797,"CS","CS"
1995,1751,2023,"BIO","BIO"
1995,387,2062,"BIO","BIO"
1995,2095,4128,"CS","CS"
1995,2112,3363,"CS","CS"
1995,2120,4171,"CS","CS"
1995,2127,2640,"CS","CS"
1995,2144,3996,"CS","CS"
1995,706,2148,"CS","CS"
1995,578,2149,"BIO","BIO"
1995,2156,2901,"CS","CS"
1995,2214,3427,"CS","CS"
1995,2214,3588,"CS","CS"
1995,2215,3465,"BIO","BIO"
1995,2225,3160,"BIO","CS"
1995,2231,3572,"CS","CS"
1995,2261,2776,"BIO","BIO"
1995,2272,3157,"BIO","BIO"
1995,2277,3651,"BIO","BIO"
1995,2305,3423,"CS","CS"
1995,3423,3799,"CS","BIO"
1995,2305,3799,"CS","BIO"
1995,459,2330,"CS","CS"
1995,2356,3718,"CS","CS"
1995,3587,3718,"CS","CS"
1995,2356,3587,"CS","CS"
1995,2369,3668,"CS","CS"
1995,399,2396,"CS","CS"
1995,602,2427,"CS","CS"
1995,2427,2769,"CS","CS"
1995,2444,2798,"BIO","CS"
1995,1311,2454,"CS","CS"
1995,101,2506,"CS","BIO"
1995,294,2550,"CS","CS"
1995,1227,2592,"CS","CS"
1995,2596,3168,"CS","CS"
1995,2602,3145,"CS","CS"
1995,2606,3257,"CS","CS"
1995,2606,3800,"CS","CS"
1995,2606,2620,"CS","CS"
1995,2613,3000,"BIO","BIO"
1995,2615,3319,"CS","CS"
1995,2015,2635,"CS","CS"
1995,2452,2683,"CS","CS"
1995,2690,2975,"CS","CS"
1995,1112,2690,"CS","CS"
1995,107,2699,"CS","CS"
1995,2699,3668,"CS","CS"
1995,1376,2705,"CS","CS"
1995,1397,2705,"CS","CS"
1995,2708,3586,"CS","CS"
1995,2716,2951,"CS","CS"
1995,2717,3340,"CS","CS"
1995,2723,2778,"CS","CS"
1995,1121,2750,"CS","CS"
1995,1694,2752,"CS","CS"
1995,2527,2753,"BIO","BIO"
1995,2775,3519,"CS","CS"
1995,1880,2778,"CS","CS"
1995,401,2783,"CS","CS"
1995,2783,3786,"CS","CS"
1995,1574,2795,"CS","CS"
1995,2797,3777,"CS","CS"
1995,353,2816,"CS","CS"
1995,236,2824,"CS","CS"
1995,913,2824,"CS","CS"
1995,107,2828,"CS","CS"
1995,2835,3777,"CS","CS"
1995,2296,2858,"BIO","CS"
1995,2907,3439,"BIO","BIO"
1995,775,2915,"BIO","BIO"
1995,2060,2922,"BIO","BIO"
1995,2939,3071,"CS","CS"
1995,1153,2960,"BIO","BIO"
1995,2602,2974,"CS","CS"
1995,2976,3221,"BIO","BIO"
1995,1464,2981,"CS","CS"
1995,2458,2985,"CS","CS"
1995,2692,3028,"CS","CS"
1995,3034,3191,"CS","CS"
1995,2701,3035,"BIO","BIO"
1995,3038,3465,"BIO","BIO"
1995,1186,3041,"CS","CS"
1995,2704,3056,"CS","CS"
1995,3057,3556,"CS","CS"
1995,2060,3062,"BIO","BIO"
1995,1392,3062,"BIO","BIO"
1995,1955,3089,"CS","CS"
1995,2407,3114,"CS","CS"
1995,2244,3114,"CS","CS"
1995,770,3153,"CS","CS"
1995,1280,3153,"CS","CS"
1995,3153,4024,"CS","CS"
1995,3168,3384,"CS","CS"
1995,3184,3272,"CS","CS"
1995,2398,3185,"BIO","BIO"
1995,2858,3205,"CS","CS"
1995,2369,3227,"CS","CS"
1995,1748,3267,"CS","CS"
1995,3284,3351,"CS","CS"
1995,550,3352,"CS","CS"
1995,3357,3598,"CS","CS"
1995,591,3357,"CS","CS"
1995,3357,3467,"CS","CS"
1995,3359,3969,"BIO","BIO"
1995,557,3370,"BIO","BIO"
1995,3371,4030,"CS","CS"
1995,3375,3743,"CS","CS"
1995,3377,3425,"CS","CS"
1995,2922,3379,"BIO","BIO"
1995,907,3381,"CS","CS"
1995,3394,3577,"BIO","BIO"
1995,1311,3419,"CS","CS"
1995,3419,3668,"CS","CS"
1995,2369,3419,"CS","CS"
1995,2454,3419,"CS","CS"
1995,1955,3422,"CS","CS"
1995,3435,4026,"CS","CS"
1995,3467,3754,"CS","CS"
1995,1523,3754,"CS","CS"
1995,1428,3471,"CS","CS"
1995,3493,3726,"CS","CS"
1995,2603,3496,"BIO","BIO"
1995,3506,4154,"CS","CS"
1995,1953,3533,"CS","CS"
1995,3339,3533,"CS","CS"
1995,3581,4006,"CS","CS"
1995,1634,3588,"CS","CS"
1995,2996,3609,"CS","CS"
1995,679,3642,"CS","CS"
1995,3659,3930,"CS","CS"
1995,1948,3709,"CS","CS"
1995,3494,3718,"CS","CS"
1995,978,3722,"BIO","BIO"
1995,2775,3740,"CS","CS"
1995,1641,3740,"CS","CS"
1995,3783,3933,"CS","CS"
1995,3304,3796,"CS","CS"
1995,1519,3796,"CS","CS"
1995,2088,3801,"CS","CS"
