"FacultyI","FacultyJ","XDIndicator"
"RBuoCYEAAAAJ","zAo6f24AAAAJ",2
"rD8a4hQAAAAJ","h6jljQQAAAAJ",1
"runT3RsAAAAJ","Da-s1FQAAAAJ",1
"rXYLXJMAAAAJ","_pPy-pAAAAAJ",1
"rXYLXJMAAAAJ","v6PsQKIAAAAJ",1
"rXYLXJMAAAAJ","KICA5DoAAAAJ",1
"rXYLXJMAAAAJ","bWTPrLEAAAAJ",1
"rXYLXJMAAAAJ","bWTPrLEAAAAJ",1
"s6XjtCMAAAAJ","EFEC_toAAAAJ",2
"sbyIxv0AAAAJ","IPbxgZkAAAAJ",0
"SG5c300AAAAJ","GPlRHI8AAAAJ",0
"sxjynOsAAAAJ","Ormag-QAAAAJ",1
"sxjynOsAAAAJ","zdKmnYwAAAAJ",1
"U-0PM_cAAAAJ","3XYmsKQAAAAJ",1
"U-0PM_cAAAAJ","3XYmsKQAAAAJ",1
"u0BOuAsAAAAJ","7btxQB0AAAAJ",1
"UCiXhq4AAAAJ","Wj4ZBFIAAAAJ",1
"UCiXhq4AAAAJ","WYctQAQAAAAJ",1
"UF1_VRcAAAAJ","7P3t1woAAAAJ",0
"Uph176YAAAAJ","bAipNH8AAAAJ",1
"uSfaEgUAAAAJ","XF6Yk98AAAAJ",1
"uT9_8hcAAAAJ","kYK4tvsAAAAJ",1
"UUAn_V8AAAAJ","4Mj-BjwAAAAJ",1
"UVuQeJIAAAAJ","Q_lOnawAAAAJ",0
"UVuQeJIAAAAJ","Q_lOnawAAAAJ",0
"v0tJmyYAAAAJ","ATOfqHEAAAAJ",1
"v0tJmyYAAAAJ","ATOfqHEAAAAJ",1
"v6PsQKIAAAAJ","rXYLXJMAAAAJ",1
"v6PsQKIAAAAJ","KICA5DoAAAAJ",1
"ve5gS08AAAAJ","hTsDchEAAAAJ",2
"VFMbBPgAAAAJ","Ormag-QAAAAJ",1
"VizsSmEAAAAJ","7egtxu0AAAAJ",1
"VjNg25EAAAAJ","JN4tlsMAAAAJ",1
"vUDs6oEAAAAJ","FfqHjHoAAAAJ",0
"VVPS_0UAAAAJ","CoxGqVsAAAAJ",0
"Why1TLIAAAAJ","Y-KJRwoAAAAJ",0
"Wj4ZBFIAAAAJ","UCiXhq4AAAAJ",1
"Wj4ZBFIAAAAJ","WYctQAQAAAAJ",1
"wtZwMSgAAAAJ","bAa___kAAAAJ",1
"wtZwMSgAAAAJ","bAa___kAAAAJ",1
"WUWmiBcAAAAJ","-cL-RwUAAAAJ",0
"WYctQAQAAAAJ","Wj4ZBFIAAAAJ",1
"WYctQAQAAAAJ","UCiXhq4AAAAJ",1
"XcaEg-cAAAAJ","pNKH6b8AAAAJ",2
"XDgY-fMAAAAJ","IrPitBgAAAAJ",0
"XF6Yk98AAAAJ","uSfaEgUAAAAJ",1
"Y-KJRwoAAAAJ","Why1TLIAAAAJ",0
"y2fSlecAAAAJ","jDm73CQAAAAJ",1
"y2fSlecAAAAJ","jDm73CQAAAAJ",1
"ymwKqZsAAAAJ","NhY4TT4AAAAJ",1
"YZHj-Y4AAAAJ","SKVnHakAAAAJ",1
"YZHj-Y4AAAAJ","SKVnHakAAAAJ",1
"zdKmnYwAAAAJ","Ormag-QAAAAJ",1
"zdKmnYwAAAAJ","sxjynOsAAAAJ",1
"zO6kmIAAAAAJ","p2ttvlEAAAAJ",1
"zZ0-4SUAAAAJ","gQOKAggAAAAJ",1
"zZ0-4SUAAAAJ","gQOKAggAAAAJ",1
"zZ0-4SUAAAAJ","gQOKAggAAAAJ",1
"_pPy-pAAAAAJ","rXYLXJMAAAAJ",1
"_Z12v2IAAAAJ","jUzA3H8AAAAJ",1
